Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119)
7.41369203608605e-14,0.11224537200223689,0.9,0.0,0.0,0.0,0.0,0.0999999999800717,5.10387299726118e-12,5.085283640231805e-12,3.5264838181084085e-12,3.526485588607156e-12,3.0543596737161165e-12,3.0543984917384023e-12,3.054314015181521e-12,3.0543141241606796e-12,2.7234267115263688e-12,2.7234267115263688e-12,2.465837846187597e-12,2.4658391485968875e-12,1.8511490430895022e-14,7.253999926534516e-17,3.077558956052327e-17,6.669057587085892e-18,2.7761459922573472e-18,1.3254961388976489e-21,6.347758207170668e-18,2.772469220504168e-18,4.907679185871002e-19,1.4959818211777878e-18,2.351484049672788e-21,1.3763344342762087e-19,2.0843539143279215e-25,9.231881225858364e-20
9.754902510217583e-14,0.11224537200294328,0.9,0.0,0.0,0.0,0.0,0.09999999997377843,6.7156535921605e-12,6.689783764544995e-12,4.640131105303269e-12,4.640134193217237e-12,4.018896963471498e-12,4.018963925878141e-12,4.018852261387806e-12,4.018852449793342e-12,3.583472571360968e-12,3.583472571360968e-12,3.2445380387336768e-12,3.2445402855797983e-12,2.5735085168356575e-14,1.2509689193225917e-16,5.308840649360911e-17,1.1504025083398114e-17,5.198478699826562e-18,2.9934938637511108e-21,1.0950180875914761e-17,5.190177178600434e-18,8.466463648951701e-19,2.5793113178933655e-18,5.308546966510464e-21,1.8768241321365372e-19,5.196041328557771e-25,1.2571396843766352e-19
1.4437323458480648e-13,0.11224537200435605,0.9,0.0,0.0,0.0,0.0,0.09999999996119187,9.939216114433959e-12,9.898691756576085e-12,6.867424758397996e-12,6.867432323084908e-12,5.947933629214711e-12,5.9480952295459885e-12,5.947927956587457e-12,5.947928411802322e-12,5.3035642907595554e-12,5.3035642907595554e-12,4.8019377796950816e-12,4.801943203186345e-12,4.0197723993364324e-14,3.017481037481462e-16,1.2811392712607045e-16,2.7760023976365654e-17,1.4003951638456298e-17,1.2937984658227296e-20,2.6429535087736348e-17,1.396810807502772e-17,2.043655979853402e-18,6.214105061365646e-18,2.2908212748744348e-20,2.87636986220369e-19,2.633978393653011e-24,1.9241125966748679e-19
1.9119744406743715e-13,0.11224537200576884,0.9,0.0,0.0,0.0,0.0,0.09999999994860531,1.3162779702638263e-11,1.310754985845357e-11,9.094717674417117e-12,9.094731189424197e-12,7.876939977218556e-12,7.877226881542996e-12,7.877003014715724e-12,7.877003822376532e-12,7.023656009941644e-12,7.023656009941644e-12,6.359337005324188e-12,6.359346635733143e-12,5.464884323933926e-14,5.355915016981452e-16,2.2744702789805697e-16,4.9281480692974056e-17,2.598641368003097e-17,3.0592120386160395e-20,4.6928724031804437e-17,2.5901713311080266e-17,3.628888890983867e-18,1.101845060845241e-17,5.411480585133938e-20,3.875832211250939e-19,6.5572867931069395e-24,2.59105538445342e-19
2.8484586303269844e-13,0.11224537200859443,0.9,0.0,0.0,0.0,0.0,0.0999999999234322,1.9609911142737444e-11,1.9525027660398378e-11,1.3549300558154882e-11,1.3549331867885653e-11,1.1734831495110563e-11,1.1735491578851135e-11,1.173515058723889e-11,1.1735152437786936e-11,1.0463839447439818e-11,1.0463839447439818e-11,9.474133395254572e-12,9.474155560586394e-12,8.35441010106499e-14,1.231793848859688e-15,5.2325861693490225e-16,1.1336333567815357e-16,6.269763874537824e-17,1.118125580228359e-19,1.0800618401174152e-16,6.238857239776306e-17,8.352248458721791e-18,2.527431681394279e-17,1.9727927584564987e-19,5.87472705651705e-19,2.5486253291335782e-23,3.9249308928492145e-19
3.784942819979598e-13,0.11224537201141999,0.9,0.0,0.0,0.0,0.0,0.09999999989825908,2.6057046846521943e-11,2.5942262201671083e-11,1.8003880493594123e-11,1.8003935492036496e-11,1.5592601927646458e-11,1.5593757669470892e-11,1.5593295620546417e-11,1.5593298847460408e-11,1.3904022884071989e-11,1.3904022884071989e-11,1.2588927723858487e-11,1.258896654519794e-11,1.1243749099578563e-13,2.1562586514227677e-15,9.16130734260254e-16,1.9846126713619798e-16,1.1219555136842076e-16,2.5400236634405934e-19,1.891624661050144e-16,1.1149426436637283e-16,1.4628502332723766e-17,4.4146531858775173e-17,4.473439910335947e-19,7.873620320352399e-19,5.935532972848823e-23,5.258806294981861e-19
4.721427009632211e-13,0.11224537201424557,0.9,0.0,0.0,0.0,0.0,0.09999999987308597,3.2504186813989043e-11,3.235925306630092e-11,2.245845748073679e-11,2.2458542061784215e-11,1.945025136750367e-11,1.9452025153399753e-11,1.945143811912474e-11,1.9451443051398015e-11,1.7344206319838163e-11,1.7344206319838163e-11,1.57037199911373e-11,1.5703779589566427e-11,1.4132968269007003e-13,3.3087330693882457e-15,1.40597859446634e-15,3.045524346250348e-16,1.7452064068811997e-16,4.722023855618004e-19,2.9039731013114925e-16,1.7321826587811117e-16,2.2457651073775832e-17,6.760447393689287e-17,8.302844578983681e-19,9.87251463480999e-19,1.1203345137056845e-22,6.592682489319274e-19
6.594395388937438e-13,0.11224537201989676,0.9,0.0,0.0,0.0,0.0,0.09999999982273974,4.539847675551766e-11,4.51926634740442e-11,3.136760453555661e-11,3.136776211412874e-11,2.7165266571976616e-11,2.716856339126085e-11,2.7167717181224188e-11,2.716772628254955e-11,2.4224573189338054e-11,2.4224573189338054e-11,2.1933299687895346e-11,2.1933410512422647e-11,1.9911146635191514e-13,6.148023277541404e-15,2.6130077271918554e-15,5.659338536949524e-16,3.294004027637689e-16,1.1335869976970324e-18,5.399893474038994e-16,3.262791698367564e-16,4.176049947322783e-17,1.251885833479595e-16,1.987919507833951e-18,1.3870306307519347e-18,2.735785184126258e-22,9.260436927931641e-19
8.467363768242665e-13,0.11224537202554796,0.9,0.0,0.0,0.0,0.0,0.09999999977239352,5.829278237610754e-11,5.802517951934439e-11,4.02767407484546e-11,4.027699299771678e-11,3.487983761190829e-11,3.488510675279559e-11,3.488398695904655e-11,3.488400140243256e-11,3.110494005565335e-11,3.110494005565335e-11,2.816287180443713e-11,2.8163049009728564e-11,2.56889221671724e-13,9.823689817267488e-15,4.175948001477986e-15,9.043255078653002e-16,5.31784237610933e-16,2.1991971263775193e-18,8.634152596780117e-16,5.257380986535506e-16,6.677390080805549e-17,1.9938460193897313e-16,3.847478422596674e-18,1.7868102848351978e-18,5.365915917503049e-22,1.192819461094053e-18
1e-12,0.11224537203119915,0.9,0.0,0.0,0.0,0.0,0.09999999973119557,6.884411020596486e-11,6.852522126665029e-11,4.756701266032026e-11,4.756735965283814e-11,4.1192260703536305e-11,4.1199501442900004e-11,4.119814631504072e-11,4.119816604298809e-11,3.6735093591002846e-11,3.6735093591002846e-11,3.326047874912381e-11,3.3260722352877324e-11,3.041651242622781e-13,1.3496872608821607e-14,5.738162231156088e-15,1.2424995849339716e-15,7.354567556007649e-16,3.4679017692994795e-18,1.186923023415257e-15,7.259347516600673e-16,9.179399241624987e-17,2.7319087879984284e-16,6.0549542866948065e-18,2.1139474171424978e-18,8.521152966253082e-22,1.4111203654011132e-18
