Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189)
4.804494959482084e-10,0.11224538656362217,0.9,0.0,0.0,0.0,0.0,0.09999987085299121,3.3132053459980556e-08,3.184497836452875e-08,2.2814874354761505e-08,2.2891338940999055e-08,1.910403818754414e-08,1.9812519477392215e-08,1.9767526340669736e-08,1.9764696793315025e-08,1.764934582719464e-08,1.764934582719464e-08,1.595294177859898e-08,1.6007121367287622e-08,1.4337540867040534e-10,8.716733109043403e-10,4.4316656255763797e-10,8.09936568899749e-11,3.3966695715693436e-10,1.2830554680562632e-10,2.615396030743837e-10,1.6158223351108695e-10,2.0449063148121655e-11,3.5329624392920094e-12,4.9902561119597484e-11,1.0272160339289575e-15,1.2338427937647703e-13,6.854382993346343e-16,5.099797713074257e-16,6.849328897319606e-16
4.960833107198454e-10,0.112245387039943,0.9,0.0,0.0,0.0,0.0,0.0999998666505457,3.4212051194812345e-08,3.2868352786567904e-08,2.355596914807566e-08,2.3637469616393538e-08,1.9714455521993288e-08,2.045783060468375e-08,2.0409879555460907e-08,2.040686588045342e-08,1.822365472304418e-08,1.822365472304418e-08,1.6471140746714958e-08,1.6528901835790057e-08,1.479830755965551e-10,9.057868589823983e-10,4.613370259689517e-10,8.415738723913114e-11,3.635499617970478e-10,1.3818217585369734e-10,2.787906283118754e-10,1.7220367305827098e-10,2.180197522714727e-11,3.651224422418919e-12,5.329934619899738e-11,1.060700572611804e-15,1.3523331391794611e-13,7.077801842235764e-16,5.266037819834919e-16,7.072422189772755e-16
5.117171254914825e-10,0.11224538751641806,0.9,0.0,0.0,0.0,0.0,0.09999986244809968,3.5292167397102995e-08,3.389127648504939e-08,2.429698206106309e-08,2.4383678071330724e-08,2.032440321609675e-08,2.1103180193274117e-08,2.1052176659890856e-08,2.104897365328113e-08,1.8797963594758665e-08,1.8797963594758665e-08,1.698928246752484e-08,1.705073955181385e-08,1.5258871314282404e-10,9.399042425606918e-10,4.795215429583672e-10,8.732049556213289e-11,3.882583626202728e-10,1.484371758284705e-10,2.965906844072205e-10,1.8316098205303862e-10,2.319824801074827e-11,3.769476122268328e-12,5.6807958235221434e-11,1.0941887811830476e-15,1.477534964577597e-13,7.301243960507531e-16,5.4322961502602e-16,7.295528757785727e-16
5.273509402631195e-10,0.11224538799304735,0.9,0.0,0.0,0.0,0.0,0.09999985824565315,3.6372402055536746e-08,3.491375272059435e-08,2.5037913102766925e-08,2.5129964246191105e-08,2.0933885394615528e-08,2.1748568231536244e-08,2.169441761914654e-08,2.16910201167919e-08,1.9372272442338095e-08,1.9372272442338095e-08,1.7507366947350504e-08,1.7572634510354626e-08,1.571923360327229e-10,9.74022383295191e-10,4.977164315335112e-10,9.048269114298191e-11,4.1379189919735445e-10,1.5907045429678565e-10,3.149396330454239e-10,1.944540130890232e-10,2.4637884082805767e-11,3.887717498750121e-12,6.042838749135351e-11,1.127680659324149e-15,1.609556798080048e-13,7.524709330354644e-16,5.598572703050879e-16,7.518648598356082e-16
5.586185698063936e-10,0.11224538894676835,0.9,0.0,0.0,0.0,0.0,0.09999984984075858,3.8533226695575175e-08,3.6957373296618737e-08,2.6519529608491172e-08,2.6622769519626694e-08,2.2151467159700754e-08,2.3039459610576463e-08,2.2978730964530856e-08,2.2974929135836453e-08,2.0520890065091786e-08,2.0520890065091786e-08,1.8543364209333217e-08,1.8616596134954346e-08,1.6639358499243823e-10,1.0422511768869125e-09,5.34125046149667e-10,9.680342783533964e-11,4.67333189550282e-10,1.8147132150093934e-10,3.532836587325151e-10,2.1804665648956102e-10,2.764725642390896e-11,4.1241692701191e-12,6.800465855926573e-11,1.1946754228241918e-15,1.8944699948406677e-13,7.971709753945232e-16,5.931180468554755e-16,7.96492807842203e-16
5.867594363953404e-10,0.1122453898056441,0.9,0.0,0.0,0.0,0.0,0.0999998422763516,4.0478373878118385e-08,3.8795124788129877e-08,2.785270455455302e-08,2.7966559478972085e-08,2.3245730454180478e-08,2.4201393232983895e-08,2.4134420615831586e-08,2.4130237625205224e-08,2.1554645843028188e-08,2.1554645843028188e-08,1.9475566044358456e-08,1.955635731623576e-08,1.7466792375997777e-10,1.103638231740648e-09,5.669005958301122e-10,1.0248696308699833e-10,5.183391574891501e-10,2.0292431460373093e-10,3.8966912200733555e-10,2.404267441110173e-10,3.050401988292606e-11,4.336940368856212e-12,7.520561942865249e-11,1.2549832563144248e-15,2.1752065425057043e-13,8.374089479093395e-16,6.2305897613782595e-16,8.366624960331591e-16
6.149003029842871e-10,0.11224539066501868,0.9,0.0,0.0,0.0,0.0,0.09999983471194285,4.2423904682624764e-08,4.063145813628661e-08,2.9185614378248687e-08,2.9310600342831353e-08,2.433852979478085e-08,2.5363451251585172e-08,2.5289927828022e-08,2.5285347550039508e-08,2.2588401542766962e-08,2.2588401542766962e-08,2.040758251688082e-08,2.049630388530495e-08,1.8293587749678176e-10,1.1649989755544648e-09,5.996716135028177e-10,1.0816486246882342e-10,5.720134159741412e-10,2.256003359774489e-10,4.278308774813571e-10,2.638923153209123e-10,3.350132054536428e-11,4.549677863551482e-12,8.276871599301001e-11,1.3153029737403686e-15,2.479513172301061e-13,8.776544267371749e-16,6.530058069723993e-16,8.768364782623804e-16
6.430411695732339e-10,0.11224539152489174,0.9,0.0,0.0,0.0,0.0,0.09999982714753225,4.4369819043134165e-08,4.246638020840154e-08,3.0518259132281455e-08,3.065489177644706e-08,2.5429876090748245e-08,2.6525633598635646e-08,2.6445252406341935e-08,2.6440258939454707e-08,2.3622157164308105e-08,2.3622157164308105e-08,2.1339413663744278e-08,2.1436435812867053e-08,1.911974769347564e-10,1.2263276274415728e-09,6.324293194398884e-10,1.1383660162834683e-10,6.283537541773793e-10,2.4949811521309594e-10,4.677681393942019e-10,2.8844253420317026e-10,3.663917345218355e-11,4.762381823553608e-12,9.069389099562056e-11,1.3756345728969059e-15,2.8078623450744205e-13,9.179074018282156e-16,6.829585382824312e-16,9.170147517024159e-16
6.711820361621806e-10,0.11224539238526297,0.9,0.0,0.0,0.0,0.0,0.0999998195831198,4.6316116893696065e-08,4.4299896195965254e-08,3.185063886934412e-08,3.199943344733167e-08,2.651977813901105e-08,2.768794020640931e-08,2.7600394157356545e-08,2.759497182256386e-08,2.4655912707651576e-08,2.4655912707651576e-08,2.2271059521785468e-08,2.2376753069596022e-08,1.994527455833809e-10,1.2876200847420595e-09,6.651669815871036e-10,1.1950181576820465e-10,6.873578716592614e-10,2.7461628472102204e-10,5.094801254561345e-10,3.1407656844655723e-10,3.9917593636151596e-11,4.975052181991163e-12,9.898108723449475e-11,1.4359780518429288e-15,3.1606874281275273e-13,9.581678632402765e-16,7.129171692290041e-16,9.571973143428502e-16
6.993229027511274e-10,0.11224539324613192,0.9,0.0,0.0,0.0,0.0,0.09999981201870543,4.826279816836967e-08,4.613201010544335e-08,3.318275364211903e-08,3.334422502483317e-08,2.7608243120980905e-08,2.8850371007198823e-08,2.875535288864769e-08,2.874948622847769e-08,2.568966817279737e-08,2.568966817279737e-08,2.320252012783372e-08,2.331725562613486e-08,2.0770170162105616e-10,1.3488734315003868e-09,6.978794366240957e-10,1.25160252049194e-10,7.490234072835211e-10,3.009534099007148e-10,5.529660561205664e-10,3.4079358847233114e-10,4.3336596121846117e-11,5.1876888321766624e-12,1.0763024748095943e-10,1.496333408642142e-15,3.538385704843366e-13,9.984358010868266e-16,7.428816989762856e-16,9.97384164187724e-16
