Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19)
6.616072847656872e-14,0.11224537200199618,0.9,0.0,0.0,0.0,0.0,0.0999999999822157,4.5547599473077115e-12,4.538638733933814e-12,3.1470797391733236e-12,3.1470797391733236e-12,2.7257537810333374e-12,2.725783579036381e-12,2.72570930339529e-12,2.72570930339529e-12,2.4304205558047072e-12,2.4304205558047072e-12,2.200545564891612e-12,2.200545564891612e-12,1.6063481218167723e-14,5.773215573052562e-17,2.4490046445327497e-17,5.307956598610303e-18,0.0
8.821470347033152e-14,0.1122453720026616,0.9,0.0,0.0,0.0,0.0,0.0999999999762875,6.073040720187559e-12,6.050059393342313e-12,4.196125290197568e-12,4.196125290197568e-12,3.634338459294162e-12,3.634394537014264e-12,3.6342955023783925e-12,3.6342955023783925e-12,3.240575392191071e-12,3.240575392191071e-12,2.934074018569138e-12,2.934074018569138e-12,2.2872722769016295e-14,1.0860407622959904e-16,4.608802959579615e-17,9.989690506441292e-18,0.0
1.1026867846409433e-13,0.11224537200332702,0.9,0.0,0.0,0.0,0.0,0.0999999999703593,7.5913214929774e-12,7.56146965778384e-12,5.245170841159625e-12,5.245170841159625e-12,4.5429165709583905e-12,4.543005494938283e-12,4.542881701307633e-12,4.542881701307633e-12,4.0507302285294066e-12,4.0507302285294066e-12,3.66760247220318e-12,3.66760247220318e-12,2.9679659693088835e-14,1.7217550047207097e-16,7.30823989678689e-17,1.5841580924997428e-17,0.0
1.5437662845161994e-13,0.11224537200465785,0.9,0.0,0.0,0.0,0.0,0.09999999995850288,1.0627883038197053e-11,1.0584241818694207e-11,7.343261942834978e-12,7.343261942834978e-12,6.360046537594668e-12,6.360227410570864e-12,6.360054098950661e-12,6.360054098950661e-12,5.671039901013966e-12,5.671039901013966e-12,5.134659379297321e-12,5.134659379297321e-12,4.329112955710725e-14,3.5008994573956355e-16,1.486478054615242e-16,3.2225170734705594e-17,0.0
2.4259252842667114e-13,0.11224537200731957,0.9,0.0,0.0,0.0,0.0,0.09999999993479006,1.670100612719625e-11,1.6629585372349777e-11,1.153944414519065e-11,1.153944414519065e-11,9.994201521591493e-12,9.994671240974195e-12,9.99439889337491e-12,9.99439889337491e-12,8.911659245214643e-12,8.911659245214643e-12,8.068773192789843e-12,8.068773192789843e-12,7.051196100094039e-14,9.087938455390587e-16,3.860143305292494e-16,8.37050521741352e-17,0.0
3.308084284017224e-13,0.11224537200998122,0.9,0.0,0.0,0.0,0.0,0.09999999991107723,2.277412921475534e-11,2.2674727334418646e-11,1.573562634655129e-11,1.573562634655129e-11,1.3628251633744954e-11,1.3629115070515698e-11,1.3628743686937355e-11,1.3628743686937355e-11,1.2152278588646878e-11,1.2152278588646878e-11,1.1002887005586605e-11,1.1002887005586605e-11,9.773171877465776e-14,1.6701615620382695e-15,7.095456668898008e-16,1.5389110385416481e-16,0.0
4.1902432837677364e-13,0.11224537201264286,0.9,0.0,0.0,0.0,0.0,0.09999999988736441,2.884725230087432e-11,2.871966777259729e-11,1.9931808546916896e-11,1.9931808546916896e-11,1.7262196951426848e-11,1.7263558899195373e-11,1.7263088479637996e-11,1.7263088479637996e-11,1.5392897931310674e-11,1.5392897931310674e-11,1.3937000817687604e-11,1.3937000817687604e-11,1.2495054615928894e-13,2.633982117744365e-15,1.1191709718380737e-15,2.4277679668522857e-16,0.0
5.954561283268762e-13,0.11224537201796617,0.9,0.0,0.0,0.0,0.0,0.09999999983993875,4.0993498469732426e-11,4.080907628839278e-11,2.8324172945312825e-11,2.8324172945312825e-11,2.4529841880355204e-11,2.4532446554532055e-11,2.4531778063016668e-11,2.4531778063016668e-11,2.187413661483477e-11,2.187413661483477e-11,1.98052284402567e-11,1.98052284402567e-11,1.793860672944527e-13,5.036114045207838e-15,2.1402593253515033e-15,4.64414851501404e-16,0.0
7.718879282769787e-13,0.11224537202328942,0.9,0.0,0.0,0.0,0.0,0.09999999979251309,5.313974463329475e-11,5.289774538740895e-11,3.6716537340049654e-11,3.6716537340049654e-11,3.179710208449377e-11,3.180133420669949e-11,3.180046764322617e-11,3.180046764322617e-11,2.8355375295533033e-11,2.8355375295533033e-11,2.567345606026722e-11,2.567345606026722e-11,2.338182580510596e-13,8.180987834741029e-15,3.4773582512230575e-15,7.547639544914554e-16,0.0
9.483197282270812e-13,0.11224537202861273,0.9,0.0,0.0,0.0,0.0,0.09999999974508743,6.5285990791183e-11,6.498562365397367e-11,4.510890173086604e-11,4.510890173086604e-11,3.906395059931073e-11,3.9070221855471293e-11,3.9069157220040136e-11,3.9069157220040136e-11,3.483661397320361e-11,3.483661397320361e-11,3.154168367753643e-11,3.154168367753643e-11,2.882468860290645e-13,1.2120251180260441e-14,5.152567708620992e-15,1.1186884519393983e-15,0.0
