Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98)
8.288759678373783e-14,0.11224537200250094,0.9,0.0,0.0,0.0,0.0,0.0999999999777194,5.7063036605004295e-12,5.684999999234246e-12,3.942728646485604e-12,3.942730596710249e-12,3.4148728656962538e-12,3.4149212842956102e-12,3.4148267747427077e-12,3.4148269110991536e-12,3.044883629226267e-12,3.044926739946381e-12,2.7568904367824627e-12,2.756891987463843e-12,2.1206199194690103e-14,9.066132322625266e-17,3.846838592716823e-17,8.336025095339878e-18,4.8514251904274896e-17,1.852384785486495e-21,7.934514096826402e-18,3.592573362894849e-18,6.134598732704878e-19,1.8695689466822517e-18,3.2857290382141257e-21,1.5633490192079153e-19,6.64422796112229e-20,1.0479802601610357e-19,7.7330197727026e-20,1.027248876236108e-19,1.5727295515225094e-26,2.123158837961919e-18,4.2859815318517675e-17,1.7730097079719668e-24,2.2593258971435858e-20,2.5089269880031345e-19
1.0906312563240147e-13,0.1122453720032907,0.9,0.0,0.0,0.0,0.0,0.09999999997068329,7.508329276948155e-12,7.478868081439097e-12,5.187824075920904e-12,5.187827479005852e-12,4.493254668597405e-12,4.493338228823172e-12,4.493213240230163e-12,4.493213475888219e-12,4.006444132325282e-12,4.00650163924864e-12,3.6275036567446346e-12,3.6275063601976935e-12,2.929257935823421e-14,1.563482350712142e-16,6.63580217004003e-17,1.4379360917829263e-17,6.578923676429893e-17,4.1833797193678424e-21,1.3687453558361305e-17,6.6766553062393145e-18,1.0583079136685046e-18,3.223217801864793e-18,7.417233545287484e-21,2.1227410370374139e-19,8.742397697985923e-20,1.4212263233213798e-19,1.0510451387851044e-19,1.4006444391577178e-19,2.8674378508579146e-26,2.123237905473991e-18,5.706515182562396e-17,3.1222197215486345e-24,3.0053042882888955e-20,4.417501974755149e-19
1.6141418332972874e-13,0.11224537200487023,0.9,0.0,0.0,0.0,0.0,0.09999999995661106,1.1112382175397467e-11,1.1066516435288852e-11,7.678013783243844e-12,7.678022124016517e-12,6.649970888188238e-12,6.6501726622204154e-12,6.649985174982378e-12,6.649985743895987e-12,5.9295651381270915e-12,5.929651707571867e-12,5.3687292915056216e-12,5.368735910288802e-12,4.5457155950251235e-14,3.771273183674274e-16,1.6013166478758495e-16,3.4697133284807344e-17,1.0529467855201893e-16,1.808006794229742e-20,3.3036462105195725e-17,1.7774738103798347e-17,2.5545698928559018e-18,7.76366362175345e-18,3.2000950437382555e-20,3.2401280262379314e-19,1.2938748716895452e-19,2.1668473108884328e-19,1.605805558188301e-19,2.146367554283207e-19,7.430259460657197e-26,2.1236961500472604e-18,8.547551398006583e-17,8.07893024007989e-24,4.497256089588361e-20,1.093877849406037e-18
2.13765241027056e-13,0.11224537200644978,0.9,0.0,0.0,0.0,0.0,0.09999999994253883,1.4716436406247453e-11,1.4654097310556452e-11,1.016820256927919e-11,1.0168217473307218e-11,8.806649217600378e-12,8.807007531034932e-12,8.806756313739845e-12,8.806757322610372e-12,7.852686143611912e-12,7.852801992348205e-12,7.109954282101339e-12,7.109966104055122e-12,6.161246841247594e-14,6.693775656984847e-16,2.8428338350801765e-16,6.159500301230429e-17,1.4877410897274378e-16,4.274973001282929e-20,5.866025542263752e-17,3.281704027844351e-17,4.53611100191715e-18,1.3763702626511956e-17,7.558384959971578e-20,4.357537763550645e-19,1.7135195051864615e-19,2.9124996343696976e-19,2.1605659728378556e-19,2.8920306995128387e-19,1.357156835396311e-25,2.1237281637930312e-18,1.1388629400476336e-16,1.5082419884265682e-23,5.989223448271919e-20,1.962347226098132e-18
3.1846735642171055e-13,0.11224537200960888,0.9,0.0,0.0,0.0,0.0,0.09999999991439437,2.1924550197554903e-11,2.1828958052609996e-11,1.514857645620224e-11,1.5148610988890373e-11,1.3119854445418966e-11,1.3120679010307738e-11,1.3120295413619708e-11,1.3120297722867104e-11,1.1698928153313583e-11,1.1699103426072344e-11,1.0592401686633593e-11,1.0592429066286644e-11,9.391748776298128e-14,1.5394088840785254e-15,6.539804629835179e-16,1.4167915490028596e-16,2.5168393861549227e-16,1.5623870486133754e-19,1.3500662001419877e-16,7.867578500382893e-17,1.0440310523260872e-17,3.1558888171596977e-17,2.7544690653741535e-19,6.592366402894227e-19,2.552900731927072e-19,4.403815265348952e-19,3.2700875496067003e-19,4.383335256858052e-19,3.2168117900711076e-25,2.1237308191327797e-18,1.7070788348577403e-16,3.8778288336855424e-23,8.973161872200551e-20,4.564653951336894e-18
4.231694718163651e-13,0.11224537201276799,0.9,0.0,0.0,0.0,0.0,0.09999999988624991,2.91326693184671e-11,2.90035144099592e-11,2.0128946657980364e-11,2.0129007321346512e-11,1.743290837181253e-11,1.7434352231218782e-11,1.74338313421573e-11,1.743383536595331e-11,1.5545170161747286e-11,1.554540572391075e-11,1.4074846514508579e-11,1.4074894603215145e-11,1.2622063244679686e-13,2.6946174821333687e-15,1.1449526393549835e-15,2.480197807291526e-16,3.7060127550910836e-16,3.5490950210680107e-19,2.364513990537622e-16,1.4030775472881017e-16,1.8285628131548965e-17,5.510623664117043e-17,6.244357825571012e-19,8.827197325145236e-19,3.3924279262079353e-19,5.895132564953272e-19,4.379609939773086e-19,5.874638341105527e-19,5.707860000178971e-25,2.123731317609283e-18,2.2752944469022845e-16,7.36701416710604e-23,1.195710205114234e-19,8.032329155502062e-18
5.278715872110196e-13,0.11224537201592712,0.9,0.0,0.0,0.0,0.0,0.09999999985810545,3.6340793768980695e-11,3.6177766292836834e-11,2.5109313174616298e-11,2.5109406470546116e-11,2.1745811126233475e-11,2.1748027193764355e-11,2.174736410559708e-11,2.174737025187048e-11,1.939141216891302e-11,1.9391708885863288e-11,1.7557288765728195e-11,1.7557362714838736e-11,1.585223462799323e-13,4.134650234961342e-15,1.7570814827312166e-15,3.805849804775617e-16,5.055825792836859e-16,6.597687406273636e-19,3.629942290805413e-16,2.1771225078674228e-16,2.80720646105029e-17,8.436312164140668e-17,1.1587090843407019e-18,1.106202995156086e-18,4.232155269973921e-19,7.386450774363468e-19,5.489133149020676e-19,7.365941833891426e-19,8.830301704487145e-25,2.123731792866992e-18,2.8435097699691475e-16,1.2127039123927742e-22,1.4941043919947056e-19,1.2365373326778995e-17
7.372758180003287e-13,0.11224537202224534,0.9,0.0,0.0,0.0,0.0,0.09999999980181655,5.075705517824553e-11,5.0525556442279e-11,3.507003755909351e-11,3.5070211379268224e-11,3.037126224477564e-11,3.0375381206354206e-11,3.037442222336993e-11,3.037443355280258e-11,2.7083896180268642e-11,2.7084317237797387e-11,2.4522167220920952e-11,2.4522304980731803e-11,2.2312254568250827e-13,7.682086888110615e-15,3.2653195258836154e-15,7.071640447331596e-16,8.13420410225362e-16,1.5837683975791559e-18,6.749823520585796e-16,4.0953631419005355e-16,5.220062714498078e-17,1.561458312444559e-16,2.773224045827764e-18,1.5531699088525329e-18,5.912248448510168e-19,1.0369089182375761e-18,7.70818149058332e-19,1.034855019040593e-18,1.6557027771070993e-24,2.123732867455001e-18,3.9799397832276187e-16,2.5100898797597055e-22,2.090893161830195e-19,2.3062431165685066e-17
9.466800487896377e-13,0.11224537202856362,0.9,0.0,0.0,0.0,0.0,0.09999999974552765,6.517333618632726e-11,6.487222963265058e-11,4.50307483920112e-11,4.503102664508575e-11,3.899615852357463e-11,3.900274162352619e-11,3.9001468753134385e-11,3.900148671465328e-11,3.4776380186961494e-11,3.477692876740376e-11,3.148703620084878e-11,3.1487256714681347e-11,2.87717715756373e-13,1.2273996402168228e-14,5.218111704784395e-15,1.1299157806074089e-15,1.1807961917826246e-15,3.07239507409472e-18,1.079261945689366e-15,6.593560165471269e-16,8.346738259085514e-17,2.485750016653268e-16,5.365600383265867e-18,2.0001374293512167e-18,7.593530245115518e-19,1.3351730684115343e-18,9.927232845938078e-19,1.333116076553738e-18,2.6605615012573703e-24,2.123734160445878e-18,5.116368857178039e-16,4.401211087427072e-22,2.6876825521728746e-19,3.694176338627158e-17
1e-12,0.1122453720348819,0.9,0.0,0.0,0.0,0.0,0.09999999973119497,6.884411255727272e-11,6.85250878450747e-11,4.7567011045237225e-11,4.756731998132972e-11,4.1192194352602127e-11,4.1199500802207797e-11,4.1198144934882435e-11,4.119816482658228e-11,3.673509358167288e-11,3.673567517750767e-11,3.3260477612358235e-11,3.326072243955162e-11,3.041645242409206e-13,1.3621595975095787e-14,5.7913001995431076e-15,1.2539848388299462e-15,1.284588560877726e-15,3.570406714204878e-18,1.1979968043438065e-15,7.328915091827267e-16,9.265037259001665e-17,2.755990049507985e-16,6.230695466430361e-18,2.1139474897788478e-18,8.021891709760261e-19,1.4111191989991918e-18,1.0492263540720225e-18,1.4090614041278185e-18,2.9561619813952862e-24,2.1237345241099025e-18,5.405734130807908e-16,5.000689114267694e-22,2.839641293854353e-19,4.102043049077175e-17
