Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825)
9.011201092567934e-14,0.11224537200271885,0.9,0.0,0.0,0.0,0.0,0.09999999997577749,6.203658689531292e-12,6.180088408840114e-12,4.286374868583494e-12,4.286374868583494e-12,3.71250398645429e-12,3.712562501974673e-12,3.7124613373180046e-12,3.7124613373180046e-12,3.310273159213485e-12,3.310273159213485e-12,2.9971796040356996e-12,2.9971796040356996e-12,2.345695789097032e-14,1.1332280020789093e-16,4.8091525687569204e-17,1.0421197418569376e-17,2.7972772769766925e-21,2.7972772769766925e-21
1.1264031921683619e-13,0.11224537200339858,0.9,0.0,0.0,0.0,0.0,0.09999999996972178,7.754594397556754e-12,7.724003702028965e-12,5.357983120160494e-12,5.357983120160494e-12,4.640622926680305e-12,4.640715716190896e-12,4.6405892600270265e-12,4.6405892600270265e-12,4.1378526736387605e-12,4.1378526736387605e-12,3.7464846680149346e-12,3.7464846680149346e-12,3.041103913343101e-14,1.796563943567041e-16,7.625922602946434e-17,1.6524639200511325e-17,5.645361484347579e-21,5.645361484347579e-21
1.5769693579914993e-13,0.11224537200475805,0.9,0.0,0.0,0.0,0.0,0.09999999995761036,1.0856465813231997e-11,1.0811784922930068e-11,7.501199623054919e-12,7.501199623054919e-12,6.496833409604284e-12,6.497022144398517e-12,6.496845105220252e-12,6.496845105220252e-12,5.7930117022888495e-12,5.7930117022888495e-12,5.245094795791901e-12,5.245094795791901e-12,4.4315589745197814e-14,3.653005567318832e-16,1.5510871329090389e-16,3.3608850355023396e-17,1.7230587008796136e-20,1.7230587008796136e-20
2.4781016896377734e-13,0.11224537200747695,0.9,0.0,0.0,0.0,0.0,0.09999999993338753,1.7060208643079765e-11,1.6987138454396612e-11,1.1787632627805475e-11,1.1787632627805475e-11,1.0209144867925544e-11,1.020963499991446e-11,1.0209356794707428e-11,1.0209356794707428e-11,9.103329758787173e-12,9.103329758787173e-12,8.242315050619824e-12,8.242315050619824e-12,7.212191718389461e-14,9.48271499253602e-16,4.027884011739917e-16,8.7266194517054e-17,7.739322473432944e-20,7.739322473432944e-20
3.3792340212840476e-13,0.11224537201019585,0.9,0.0,0.0,0.0,0.0,0.0999999999091647,2.3263951471424802e-11,2.316228172155727e-11,1.6074065631517734e-11,1.6074065631517734e-11,1.3921346901235216e-11,1.3922247854531102e-11,1.3921868483295327e-11,1.3921868483295327e-11,1.2413647814483643e-11,1.2413647814483643e-11,1.1239535304721736e-11,1.1239535304721736e-11,9.992704990115512e-14,1.7426999663778845e-15,7.403732327570318e-16,1.6039209316200386e-16,1.8796996580053753e-19,1.8796996580053753e-19
4.280366352930322e-13,0.11224537201291476,0.9,0.0,0.0,0.0,0.0,0.09999999988494186,2.946769429826712e-11,2.9337214734924894e-11,2.0360498634191696e-11,2.0360498634191696e-11,1.763343959197809e-11,1.7634860708248444e-11,1.7634380170983952e-11,1.7634380170983952e-11,1.5723965869378262e-11,1.5723965869378262e-11,1.4236755558097635e-11,1.4236755558097635e-11,1.2773120224525398e-13,2.748361096972236e-15,1.1677877016169071e-15,2.529662000373668e-16,3.6236869985646903e-19,3.6236869985646903e-19
6.08263101622287e-13,0.11224537201835255,0.9,0.0,0.0,0.0,0.0,0.09999999983649618,4.1875179948424964e-11,4.1686587933245143e-11,2.893336463710281e-11,2.893336463710281e-11,2.5057368608625802e-11,2.5060086413572525e-11,2.5059403544250657e-11,2.5059403544250657e-11,2.23446019772856e-11,2.23446019772856e-11,2.0231196063145527e-11,2.0231196063145527e-11,1.8333727828796198e-13,5.2547368918562564e-15,2.2332073217809588e-15,4.836951355356814e-16,9.024894048487893e-19,9.024894048487893e-19
7.884895679515419e-13,0.11224537202379037,0.9,0.0,0.0,0.0,0.0,0.0999999997880505,5.4282665593056755e-11,5.40351896873804e-11,3.7506230636195734e-11,3.7506230636195734e-11,3.2480896217516126e-11,3.248531211558956e-11,3.24844269142104e-11,3.24844269142104e-11,2.8965238082244237e-11,2.8965238082244237e-11,2.6225636565523614e-11,2.6225636565523614e-11,2.3893987963579755e-13,8.536026040562448e-15,3.628336233078352e-15,7.857733564225353e-16,1.7884839390296608e-18,1.7884839390296608e-18
9.687160342807967e-13,0.11224537202922817,0.9,0.0,0.0,0.0,0.0,0.09999999973960483,6.669015123176778e-11,6.638296638649859e-11,4.6079096631197756e-11,4.6079096631197756e-11,3.990399429616729e-11,3.9910537814063325e-11,3.9909450280626975e-11,3.9909450280626975e-11,3.558587418404355e-11,3.558587418404355e-11,3.2220077065041204e-11,3.2220077065041204e-11,2.9453876343555043e-13,1.264608183362943e-14,5.37622181680874e-15,1.1641617148234924e-15,3.1343644037429343e-18,3.1343644037429343e-18
1e-12,0.11224537204010378,0.9,0.0,0.0,0.0,0.0,0.09999999973119555,6.884386019126576e-11,6.852622552942295e-11,4.756718687281817e-11,4.756718687281817e-11,4.119246165190227e-11,4.119941902487075e-11,4.1198296370348873e-11,4.1198296370348873e-11,3.673509359119994e-11,3.673509359119994e-11,3.326060055117838e-11,3.326060055117838e-11,3.041893118019388e-13,1.3445350040877294e-14,5.716189471193625e-15,1.2377472107225543e-15,3.4362865671362643e-18,3.4362865671362643e-18
