Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032)
8.288393894153683e-15,0.11224537200025009,0.9,0.0,0.0,0.0,0.0,0.09999999999777204,5.706050467688379e-13,5.698566811196197e-13,3.9425556638874574e-13,3.942555889495596e-13,3.414763792326031e-13,3.4147701665123687e-13,3.4146769527704765e-13,3.4146769703959757e-13,3.044749258386006e-13,3.044777166078018e-13,2.756769481424384e-13,2.7567696462247907e-13,7.471095882529056e-16,1.201449160906058e-18,5.086902048333866e-19,1.1023829907355292e-19,4.508301776664675e-18,3.9952881222991474e-24,1.0494570328426547e-19,1.683486313788386e-20,8.110301566714566e-21,2.4759652296781215e-20,7.094523989589355e-24,6.7504327466047916e-21,6.6440798738427235e-21,4.607990159479514e-21,3.2917422481495507e-21,4.188112385143994e-21,8.582894438374514e-29,1.7100143032395437e-18,2.788085648129208e-18,2.238658821737674e-26,1.5127744972913242e-21,2.1028714556521594e-21,2.1156425971792652e-29,1.1709128885645178e-21,5.805830571896444e-22,7.212036068144902e-30,1.334298037331902e-30,1.0152708860721024e-25,6.259029572931764e-31,3.261174044674159e-33,6.2596501133509965e-31,2.2061750310462334e-34,8.105887659059883e-43,5.514591706823829e-40
1.2433490384739767e-14,0.11224537200037515,0.9,0.0,0.0,0.0,0.0,0.09999999999665782,8.559695095364977e-13,8.545172740542956e-13,5.914261287109856e-13,5.914261777984318e-13,5.122512329517644e-13,5.122525885200485e-13,5.122385942586027e-13,5.122385980172319e-13,4.567454335688718e-13,4.567502649832607e-13,4.135453348410281e-13,4.1354537064697035e-13,1.4495561901516279e-15,2.5525319018612952e-18,1.0810536730677566e-18,2.3427436171426123e-19,6.782559179589672e-18,1.1424782825399113e-23,2.230172015606762e-19,4.485627041816113e-20,1.7236041153191488e-20,5.2613159000896336e-20,2.0285856990227883e-23,1.271206848417571e-20,9.966824679459822e-21,8.651741894742008e-21,6.213119647375176e-21,7.958545445376506e-21,2.241290922535212e-28,1.9228230255581098e-18,4.824815068961435e-18,4.7667335587483403e-26,2.5979237216080443e-21,5.086059472778637e-21,6.229513697598722e-29,2.2092641354706568e-21,1.5130206373416632e-21,2.3736308870774247e-29,1.9729744494364824e-30,2.157657242643661e-25,7.20370154232435e-31,9.325829180212212e-33,7.20401991752453e-31,4.981719303397601e-34,2.7108882804926308e-42,2.171726551301063e-39
1.657858687532585e-14,0.11224537200050023,0.9,0.0,0.0,0.0,0.0,0.0999999999955436,1.1413339797879128e-12,1.139046291347489e-12,7.885966852573952e-13,7.885967704888746e-13,6.830258487428464e-13,6.830281625236472e-13,6.830094882439091e-13,6.830094946734816e-13,6.090159412966973e-13,6.090229246295434e-13,5.514137175016117e-13,5.514137796154636e-13,2.283104159485835e-15,4.353440226454632e-18,1.844216984606857e-18,3.9965755814006996e-19,9.072944475558981e-18,2.4098959216821108e-23,3.804412714099352e-19,8.899101441388758e-20,2.9404134133700045e-20,8.974672024839903e-20,4.2787349033730736e-23,1.95431411416778e-20,1.3289560056700564e-20,1.3269662658260425e-20,9.56932164387643e-21,1.23239215659177e-20,4.37430575858697e-28,2.026166419036942e-18,6.97100980301106e-18,8.148507475018273e-26,3.7344656079771384e-21,9.374163400645484e-21,1.310943439270593e-28,3.401662311757645e-21,2.9484356080657796e-21,5.462422887431373e-29,2.8258389562812473e-30,3.680894172063325e-25,7.772580624936208e-31,1.9671936592595608e-32,7.772241532683312e-31,8.875490086607178e-34,6.761748915478093e-42,6.103842071522923e-39
2.4868779856498017e-14,0.11224537200075035,0.9,0.0,0.0,0.0,0.0,0.09999999999331516,1.7120629386027745e-12,1.707882454145336e-12,1.182937784794699e-12,1.1829379653907447e-12,1.0245745219474119e-12,1.0245793160179257e-12,1.0245512644812285e-12,1.024551277843956e-12,9.135569567466077e-13,9.135683542482364e-13,8.271504733458262e-13,8.271506048295083e-13,4.170953628115783e-15,9.010434420225917e-18,3.8183162555099385e-18,8.274569665412931e-19,1.3697288207359635e-17,6.582343006926353e-23,7.876387706753938e-19,2.2078819841288057e-19,6.088053735286575e-20,1.8578505725142582e-19,1.1685552484867085e-22,3.449768715027299e-20,1.9935009450397318e-20,2.33479641226524e-20,1.6934565956442127e-20,2.197410090132464e-20,1.0600450169704373e-27,2.126968300035224e-18,1.136928413647646e-17,1.6937012207203867e-25,6.054953371906367e-21,2.1086140495890824e-20,3.454473874629704e-28,6.017372702508195e-21,7.130347149272075e-21,1.6357804611357502e-28,5.2194688012895665e-30,7.621201042022582e-25,8.547823755306796e-31,5.37331281268093e-32,8.545170862003394e-31,2.0008360693874194e-33,2.450877810608688e-41,2.6620228531783285e-38
3.315897283767018e-14,0.11224537200100049,0.9,0.0,0.0,0.0,0.0,0.09999999999108672,2.282791926666299e-12,2.276443066690164e-12,1.577278863092225e-12,1.577279175581899e-12,1.3661223202726163e-12,1.366130478476504e-12,1.3660930223281705e-12,1.3660930451231586e-12,1.2180979721875246e-12,1.2181138795129792e-12,1.1028872143408535e-12,1.1028874417214515e-12,6.332596914277943e-15,1.5320295133313867e-17,6.4939932690686525e-18,1.4072879940410563e-18,1.8394654253889315e-17,1.3772587900914432e-22,1.339528802903366e-18,4.255239614257439e-19,1.0354475938460365e-19,3.159266910201315e-19,2.444786168411277e-22,5.0921236502067654e-20,2.658042629993927e-20,3.4375162264185215e-20,2.5047061144885487e-20,3.2698169268586336e-20,2.0048698919922718e-27,2.1392167847385805e-18,1.5856111800768553e-17,2.8924163369808017e-25,8.413699179836467e-21,3.774749006131409e-20,6.892051855996299e-28,8.897094624093644e-21,1.3464359432743388e-20,3.603847394649715e-28,8.817046108478192e-30,1.296203139309503e-24,9.021327468178198e-31,1.1243131884006396e-31,9.014570164148484e-31,3.56267679986046e-33,5.822645893399515e-41,7.127849138752786e-38
4.9739358800014515e-14,0.11224537200150074,0.9,0.0,0.0,0.0,0.0,0.09999999998662983,3.4242500020939343e-12,3.4131614304074897e-12,2.365960949943285e-12,2.3659616483059114e-12,2.049215044459055e-12,2.04923283509412e-12,2.0491764776011582e-12,2.0491765275001865e-12,1.8271800030398236e-12,1.8272049801094455e-12,1.65436064757137e-12,1.6543611554885866e-12,1.1052948025034768e-14,3.336384253438599e-17,1.4148777794854775e-17,3.066086345274478e-18,2.8062290690276275e-17,4.348885605677394e-22,2.918377688528901e-18,1.1074744524223717e-18,2.2561009163490234e-19,6.880798912483995e-19,7.717516574325952e-22,8.533382076540227e-20,3.9871165341677163e-20,5.740803234285847e-20,4.2088645213991355e-20,5.540774105281154e-20,5.043039655112646e-27,2.1376324488530893e-18,2.4855848215812278e-17,6.374192866685827e-25,1.3140511231254385e-20,8.743850510437373e-20,1.856957576860097e-27,1.494389021740519e-20,3.377869983848273e-20,1.1761362619010622e-27,2.0686110905063004e-29,2.8242522137074802e-24,9.892068588764652e-31,3.5503891969783504e-31,9.86820675145802e-31,8.027492694022725e-33,2.0468444155071527e-40,3.089379506913669e-37
6.466170616612442e-14,0.112245372001951,0.9,0.0,0.0,0.0,0.0,0.09999999998261862,4.451562382736251e-12,4.4359313464165955e-12,3.0757747495135615e-12,3.07577593328457e-12,2.663995259454926e-12,2.664024992426202e-12,2.663951519252611e-12,2.6639516028354365e-12,2.375353830773612e-12,2.3753870066846407e-12,2.1506866825308927e-12,2.1506875433764775e-12,1.5571332830631516e-14,5.571358318700446e-17,2.3633624195012607e-17,5.121426775373973e-18,3.7082471089764036e-17,9.16788308738772e-22,4.874686402203356e-18,2.0399427898480515e-18,3.7686831261356165e-19,1.1489989767373136e-18,1.6265751185846058e-21,1.172153759281988e-19,5.183273379904716e-20,7.869772004209539e-20,5.790663058244606e-20,7.661543795953346e-20,9.096429524828393e-27,2.127360733549335e-18,3.2964456557973666e-17,1.0757608846572696e-24,1.7397493945260552e-20,1.5061380303227995e-19,3.464041070531443e-27,2.0554782741128874e-20,6.083341400647337e-20,2.4584762485760383e-27,3.6848069210569495e-29,4.71774635081835e-24,1.0664036839975966e-30,7.48490186543357e-31,1.0612359726913372e-30,1.3575942033962318e-32,4.586420830451424e-40,7.64935092206741e-37
7.958405353223433e-14,0.11224537200240124,0.9,0.0,0.0,0.0,0.0,0.09999999997860741,5.478874871316046e-12,5.458612370790468e-12,3.785588474366659e-12,3.78559027532022e-12,3.27877239780564e-12,3.27881718492777e-12,3.2787264961726847e-12,3.2787266222684442e-12,2.92352765847576e-12,2.923569052930733e-12,2.6470126652540146e-12,2.6470139749031402e-12,2.0172380211511448e-14,8.387030294049455e-17,3.558556138915902e-17,7.711336271384917e-18,4.641781579801384e-17,1.6676228357771585e-21,7.339903526521623e-18,3.286829873669815e-18,5.674830048825667e-19,1.7295466725198287e-18,2.9580653963265982e-21,1.4921791604811767e-19,6.379422627607972e-20,1.0005202345931159e-19,7.379497105627563e-20,9.796592320768426e-20,1.4425662989469266e-26,2.123410374065231e-18,4.1066743316026756e-17,1.6373569621612911e-24,2.165172708184155e-20,2.313373213611367e-19,5.6128139843637826e-27,2.619001893566395e-20,9.636317483128222e-20,4.348548458323654e-27,5.842500208862737e-29,7.103916237321654e-24,1.14811823556291e-30,1.3615505474181073e-30,1.1386131612318703e-30,2.0573744071437424e-32,8.655871431036608e-40,1.54874678811155e-36
9.450640089834423e-14,0.11224537200285148,0.9,0.0,0.0,0.0,0.0,0.0999999999745962,6.506187468133439e-12,6.481268892019875e-12,4.49540212441967e-12,4.495404674583385e-12,3.893546456453136e-12,3.893609412802737e-12,3.893501408300813e-12,3.893501585737176e-12,3.471701486146234e-12,3.4717511213589095e-12,3.143338595682773e-12,3.1433404502143546e-12,2.479169185602233e-14,1.1783912668759854e-16,5.0007001342519143e-17,1.0836320201743737e-17,5.607306937416804e-17,2.745557478678769e-21,1.0314586406110928e-17,4.852719256126089e-18,7.974978465207903e-19,2.429735101706465e-18,4.869082569050012e-21,1.811612299835485e-19,7.575565713388916e-20,1.213634556851291e-19,8.965638749075467e-20,1.1929446191961438e-19,2.1037830946085233e-26,2.123331863609646e-18,4.916515800060376e-17,2.3263712346026674e-24,2.590445272524673e-20,3.2962729046956187e-19,8.307079837474031e-27,3.181555178169821e-20,1.4041146214766156e-19,6.8967172553022e-27,8.549451737247727e-29,9.98330867276877e-24,1.2340147751202992e-30,2.2417381524899136e-30,1.2182809403403334e-30,2.902085137574798e-32,1.466529977777456e-39,2.7664238424060264e-36
1.2435109563056404e-13,0.11224537200375197,0.9,0.0,0.0,0.0,0.0,0.0999999999665738,8.560813203112624e-12,8.526564426112566e-12,5.91502905031938e-12,5.915033759283682e-12,5.123079171184911e-12,5.123194045522383e-12,5.123050908628107e-12,5.123051232699214e-12,4.568049141328722e-12,4.568115388018608e-12,4.135990194924543e-12,4.135993619825072e-12,3.401661773577771e-14,2.1484062918238405e-16,9.120013973049024e-17,1.976204027728551e-17,7.699287125831593e-17,7.25778875022339e-21,1.8812660832563848e-17,9.587267110647069e-18,1.454636790272448e-18,4.427147214585098e-18,1.2860918807586469e-20,2.4489306425331954e-19,9.967839266178596e-20,1.6388858693407226e-19,1.2129948095617597e-19,1.6183631454820567e-19,4.0678076135417895e-26,2.1236850700347566e-18,6.536147607084727e-17,4.392604405552848e-24,3.440984810977773e-20,6.14080382099519e-19,1.642221528366215e-26,4.303849269747249e-20,2.7110371466237437e-19,1.551811107230965e-26,1.672193559122304e-28,1.8209564990455865e-23,1.4264996809352367e-30,5.926892282760708e-30,1.3847059939299467e-30,5.027020047508168e-32,3.6036541727607025e-39,7.482231492223672e-36
1.8404048509500364e-13,0.11224537200555293,0.9,0.0,0.0,0.0,0.0,0.099999999950529,1.267006640523798e-11,1.2617082055318813e-11,8.754281704444681e-12,8.754292844292244e-12,7.582095331436678e-12,7.582363877052978e-12,7.582148873898648e-12,7.582149630541752e-12,6.760744451186536e-12,6.76084433899855e-12,6.121292556088127e-12,6.1213006597078896e-12,5.24401093016951e-14,5.01788772694275e-16,2.130888737102275e-16,4.617056090408227e-17,1.23994307107182e-16,2.8341867806193614e-20,4.396606210548588e-17,2.4184850496609576e-17,3.399777474285963e-18,1.0323463724710351e-17,5.0132515530001007e-20,3.723059975426094e-19,1.4752460768698245e-19,2.489109865680107e-19,1.8455667235370552e-19,2.468636988569532e-19,1.0048058681181114e-25,2.123729174249438e-18,9.775477141046585e-17,1.1047795884669862e-23,5.142088773205155e-20,1.464230707235317e-18,4.1371347956387123e-26,6.547431494117756e-20,6.687389069293202e-19,4.4358079552385704e-26,4.189358389673702e-28,4.255940474379933e-23,1.9159915393649467e-30,2.315277873491087e-29,1.752720348736723e-30,1.1015381626928304e-31,1.272453152965574e-38,2.8642412602391577e-35
2.4372987455944326e-13,0.1122453720073539,0.9,0.0,0.0,0.0,0.0,0.09999999993448419,1.6779321339485946e-11,1.6707505347106198e-11,1.1593533160896363e-11,1.1593552844860568e-11,1.0041062246525965e-11,1.0041534274626465e-11,1.0041245804968475e-11,1.0041247132303031e-11,8.953439760537186e-12,8.953573707009464e-12,8.10659407993211e-12,8.10660840022679e-12,7.085820618931039e-14,8.816165206403592e-16,3.744580643849077e-16,8.113023225507177e-17,1.7616681300961878e-16,6.539049970680249e-20,7.72766503462934e-17,4.390941986036646e-17,5.975781100017722e-18,1.811321374800107e-17,1.155280446418324e-19,4.997119391025384e-19,1.953725618127132e-19,3.339296592123462e-19,2.4780976538368615e-19,3.3188252490676956e-19,1.808036178164711e-25,2.123732545722033e-18,1.3014810465086195e-16,2.0503261222508092e-23,6.843194672561286e-20,2.5956254940708603e-18,7.503857034918988e-26,8.790872086148564e-20,1.2026161911993458e-18,8.482878996024066e-26,7.588935979256036e-28,7.480657510224744e-23,2.5438607243388983e-30,5.343068019091738e-29,2.1675760502860892e-30,1.9321964230777326e-31,2.908521076723699e-38,6.743441967925425e-35
3.631086534883225e-13,0.11224537201095582,0.9,0.0,0.0,0.0,0.0,0.09999999990239458,2.4997838136441187e-11,2.488795740383824e-11,1.72720312831093e-11,1.7272076508030006e-11,1.4958799288231883e-11,1.4959877333908314e-11,1.4959435539674933e-11,1.495943855150278e-11,1.3338830377209836e-11,1.3339034110995482e-11,1.2077193778344493e-11,1.207722668379051e-11,1.0769052524782143e-13,2.012266094991632e-15,8.549424635099751e-16,1.852068049802216e-16,3.012793603224143e-16,2.3454219930430803e-19,1.7652603678925622e-16,1.0386434531437136e-16,1.3651241279988646e-17,4.1202521797613126e-17,4.130413033422257e-19,7.545219365597022e-19,2.910834167952341e-19,5.039660303524799e-19,3.7431478091071586e-19,5.019174280465889e-19,4.235308610960618e-25,2.123734188015522e-18,1.9493476713383036e-16,5.284461428846727e-23,1.024540882844688e-19,5.983393691143848e-18,1.7724493608265182e-25,1.3277713072518245e-19,2.815334248771682e-18,2.123416169514122e-25,1.7917371474785186e-27,1.7089026588869938e-22,4.620023540830582e-30,1.9176605008829246e-28,3.27628690973417e-30,4.2893375104539605e-31,1.0263483695227353e-37,2.471956672502883e-34
