Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32)
9.557822098785622e-14,0.1122453720028838,0.9,0.0,0.0,0.0,0.0,0.09999999997430814,6.579976061191711e-12,6.554698737974282e-12,4.546385466842381e-12,4.54638874191526e-12,3.937699714762505e-12,3.9377679557685546e-12,3.937661096616536e-12,3.9376586546968e-12,3.5110748976619876e-12,3.5110748976619876e-12,3.1789878887429224e-12,3.17899017855077e-12,2.5139752488563872e-14,1.274781599323008e-16,5.410187626109697e-17,1.1723553973202183e-17,5.364179111416199e-18,3.337761143617741e-21,1.1159443137115533e-17,5.3608413502725814e-18,8.628348269942872e-19
1.4336797967187065e-13,0.11224537200432573,0.9,0.0,0.0,0.0,0.0,0.09999999996146204,9.870010862155305e-12,9.829788224284626e-12,6.819607548585117e-12,6.819615428528405e-12,5.906515183674283e-12,5.9066793401429245e-12,5.906519449204762e-12,5.906513575942276e-12,5.266636157380531e-12,5.266636157380531e-12,4.7685023545754945e-12,4.768507863960167e-12,3.9890490623764026e-14,3.0651329384957715e-16,1.3014000909033915e-16,2.8198889636008365e-17,1.4264953680283405e-17,1.3647771569931206e-20,2.6847996262277737e-17,1.4251305908713473e-17,2.0760211456085473e-18
2.389474970398995e-13,0.11224537200720955,0.9,0.0,0.0,0.0,0.0,0.09999999993576984,1.645008490542498e-11,1.637972095907822e-11,1.1366048640923267e-11,1.1366071870324735e-11,9.844019846890454e-12,9.844503560261829e-12,9.844238429657166e-12,9.84422112078892e-12,8.777758675915534e-12,8.777758675915534e-12,7.947529139023455e-12,7.947545380369347e-12,6.938246806956949e-14,9.027499691420285e-16,3.834527521276031e-16,8.307681246374424e-17,4.525249036935439e-17,7.439646158872977e-20,7.914095264853517e-17,4.517809390776565e-17,6.119991148073598e-18
3.3452701440792836e-13,0.1122453720100934,0.9,0.0,0.0,0.0,0.0,0.09999999991007764,2.3030163390034546e-11,2.2929400445656697e-11,1.5912486662116166e-11,1.591253138059274e-11,1.37813983341573e-11,1.378232923174823e-11,1.3781959685213279e-11,1.3781926367992392e-11,1.2288881193548452e-11,1.2288881193548452e-11,1.112655377625568e-11,1.1126585042370153e-11,9.887222744638229e-14,1.7368838440017711e-15,7.379117178986314e-16,1.5985766555039198e-16,8.944104211350792e-17,1.9129001447856413e-19,1.523494855221864e-16,8.924975209902933e-17,1.1781559111974529e-17
4.301065317759572e-13,0.11224537201297725,0.9,0.0,0.0,0.0,0.0,0.09999999988438545,2.961024631598141e-11,2.9478826017463966e-11,2.0458921612165882e-11,2.0458993959234126e-11,1.771865074404372e-11,1.7720156354599453e-11,1.771968321570041e-11,1.7719629317553843e-11,1.5800003710279285e-11,1.5800003710279285e-11,1.4305576266273614e-11,1.4305626849963826e-11,1.2836070499141423e-13,2.808645980130707e-15,1.1934267318641447e-15,2.585171543985218e-16,1.468460359732016e-16,3.8032685895248233e-19,2.4647332086136933e-16,1.464657091142491e-16,1.906072563350959e-17
6.212655665120149e-13,0.11224537201874493,0.9,0.0,0.0,0.0,0.0,0.09999999983300105,4.2770422591413816e-11,4.257708178301658e-11,2.9551784304486754e-11,2.955192631749675e-11,2.559285997333949e-11,2.5595814006558002e-11,2.559513561526326e-11,2.5595029824255127e-11,2.2822248741623817e-11,2.2822248741623817e-11,2.066361620693352e-11,2.0663715500730105e-11,1.8733494255377276e-13,5.509036149636363e-15,2.3413497062481287e-15,5.071086928571058e-16,2.927221638082504e-16,9.772746978927017e-19,4.83807076620195e-16,2.9174488911035767e-16,3.741546530412765e-17
8.124246012480726e-13,0.11224537202451267,0.9,0.0,0.0,0.0,0.0,0.09999999978161665,5.5930615199205985e-11,5.567440553285191e-11,3.864463570313602e-11,3.8644869958447256e-11,3.346660638867155e-11,3.347147699568048e-11,3.347059637912619e-11,3.3470421881716714e-11,2.9844493769651066e-11,2.9844493769651066e-11,2.702164825153272e-11,2.70218120416169e-11,2.4630498233084397e-13,9.08104044726503e-15,3.860143883377136e-15,8.359543485387495e-16,4.873282448187013e-16,1.972162528428664e-18,7.980515858184275e-16,4.853560822902726e-16,6.171869675159106e-17
1e-12,0.1122453720302804,0.9,0.0,0.0,0.0,0.0,0.09999999973119555,6.884411223098716e-11,6.852522635357196e-11,4.7567012721811125e-11,4.756736100252336e-11,4.119226322759522e-11,4.1199501413840574e-11,4.1198425514744355e-11,4.119816608899181e-11,3.6735093591020914e-11,3.6735093591020914e-11,3.3260478792115646e-11,3.326072231049888e-11,3.041651461375301e-13,1.3492115565583422e-14,5.73613912868352e-15,1.2420615983560038e-15,7.291379869963392e-16,3.4664107030293756e-18,1.1865048358642843e-15,7.256715762933098e-16,9.176160461745624e-17
1.0035836359841303e-12,0.1122453720302804,0.9,0.0,0.0,0.0,0.0,0.09999999973023226,6.909082530593768e-11,6.87707324894317e-11,4.7737475001436765e-11,4.773782568733663e-11,4.1339857588755596e-11,4.134714570317501e-11,4.134606610358834e-11,4.1345804886429116e-11,3.686673879412407e-11,3.686673879412407e-11,3.337967183607657e-11,3.337991703621253e-11,3.0527052487745506e-13,1.3585126154016997e-14,5.775699114214263e-15,1.2506247680508008e-15,7.34248132821372e-16,3.4999535145120896e-18,1.1946986472417468e-15,7.307481793068599e-16,9.239531623073403e-17
1.194742670720188e-12,0.11224537203604822,0.9,0.0,0.0,0.0,0.0,0.09999999967884786,8.225105323045578e-11,8.186604656945692e-11,5.683030197891162e-11,5.6830793723663726e-11,4.921260532006675e-11,4.922282023322134e-11,4.922154495058118e-11,4.9221178673441316e-11,4.388898381497808e-11,4.388898381497808e-11,3.973768680641657e-11,3.973803063857094e-11,3.6423151271446194e-13,1.9036178237092893e-14,8.094540429359868e-15,1.7524941766440471e-15,1.034556014385771e-15,5.695261335152125e-18,1.675247665583241e-15,1.028860753050619e-15,1.29561464859274e-16
