Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54)
6.897732765940471e-14,0.11224537200208118,0.9,0.0,0.0,0.0,0.0,0.0999999999814586,4.748666673822699e-12,4.731675114303051e-12,3.2810566333984866e-12,3.2810582446162602e-12,2.84179263466883e-12,2.841826634747078e-12,2.8417489905466596e-12,2.8417477887528786e-12,2.533888590519777e-12,2.533888590519777e-12,2.294226782087494e-12,2.2942279085878715e-12,1.6926482490904632e-14,6.274873458567386e-17,2.6619365983881566e-17,5.7684301330839825e-18,1.0643583160333064e-21,1.0643583160333064e-21,5.0660123109054526e-18
9.197018602667386e-14,0.11224537200277493,0.9,0.0,0.0,0.0,0.0,0.09999999997527802,6.331584830929654e-12,6.3074330883324e-12,4.3747615147077954e-12,4.374764547183416e-12,3.7890557671593125e-12,3.789119752915152e-12,3.789016112742135e-12,3.7890138516286104e-12,3.3785333955342895e-12,3.3785333955342895e-12,3.058982563797704e-12,3.058984683990156e-12,2.4029319921701433e-14,1.180413695760404e-16,5.0094986662252306e-17,1.0855319663244597e-17,2.973894270949599e-21,2.973894270949599e-21,9.533974049767006e-18
1.3795590276121217e-13,0.11224537200416242,0.9,0.0,0.0,0.0,0.0,0.09999999996291685,9.497422173232735e-12,9.458904651574307e-12,6.562170566412173e-12,6.562177862658946e-12,5.683552777753635e-12,5.683706699660958e-12,5.683550883861072e-12,5.683545445517686e-12,5.067823005354497e-12,5.067823005354497e-12,4.588493630176754e-12,4.588498731458863e-12,3.8223158273191505e-14,2.8382375974268093e-16,1.205026935360103e-16,2.6110806928237123e-17,1.2160086145181975e-20,1.2160086145181975e-20,2.2937154378171942e-17
2.2992733623028875e-13,0.11224537200693742,0.9,0.0,0.0,0.0,0.0,0.09999999993819451,1.5829100970193277e-11,1.5761630294327625e-11,1.0936985826165818e-11,1.0937007334887162e-11,9.472429869384368e-12,9.472883434789352e-12,9.47262253286849e-12,9.472606505847302e-12,8.446402224159651e-12,8.446402224159651e-12,7.647513774770667e-12,7.647528813053932e-12,6.660367308847205e-14,8.359374727248656e-16,3.550634767522229e-16,7.692691860612383e-17,6.628828191879462e-20,6.628828191879462e-20,6.761230906727493e-17
3.2189876969936536e-13,0.11224537200971235,0.9,0.0,0.0,0.0,0.0,0.09999999991347218,2.216078387950589e-11,2.206413335464809e-11,1.5311798242266197e-11,1.5311839648304884e-11,1.3261190119369318e-11,1.3262063011552679e-11,1.3261696288499722e-11,1.32616654387294e-11,1.1824981442129539e-11,1.1824981442129539e-11,1.070653193120168e-11,1.0706560881307762e-11,9.498236433820342e-14,1.6083606431941361e-15,6.832892055846328e-16,1.480264947198014e-16,1.7044437228424458e-19,1.7044437228424458e-19,1.301560211712933e-16
4.13870203168442e-13,0.11224537201248735,0.9,0.0,0.0,0.0,0.0,0.09999999988874984,2.849247090116826e-11,2.8366413361936763e-11,1.9686607814715157e-11,1.9686674802824523e-11,1.704983361554417e-11,1.7051245429949095e-11,1.705077215060874e-11,1.7050722244164997e-11,1.5203560659264166e-11,1.5203560659264166e-11,1.3765548099471094e-11,1.376559493622146e-11,1.2335994200633524e-13,2.6008540310502213e-15,1.1050995248688624e-15,2.3938788549162573e-16,3.38885206344773e-19,3.38885206344773e-19,2.1056805383290287e-16
5.978130701065952e-13,0.1122453720180373,0.9,0.0,0.0,0.0,0.0,0.09999999983930519,4.115585459591894e-11,4.0970450397523295e-11,2.8436220285743044e-11,2.843635177948461e-11,2.462684686602037e-11,2.4629616935875074e-11,2.4628928818148584e-11,2.4628830862052676e-11,2.1960719091573103e-11,2.1960719091573103e-11,1.9883575769920362e-11,1.988366770862136e-11,1.8011271259143095e-13,5.101591007314422e-15,2.1681084714266478e-15,4.695968367759606e-16,8.708049459535188e-19,8.708049459535188e-19,4.1332723945204633e-16
7.817559370447484e-13,0.11224537202358727,0.9,0.0,0.0,0.0,0.0,0.09999999978986053,5.381925341322719e-11,5.357366876552946e-11,3.718582229966581e-11,3.7186039203163104e-11,3.220343149964827e-11,3.2207998891484055e-11,3.220709323074714e-11,3.2206931656569277e-11,2.8717877520810486e-11,2.8717877520810486e-11,2.6001596129201057e-11,2.600174778668731e-11,2.3686179502906073e-13,8.409621004548368e-15,3.574594811108282e-15,7.741361922397489e-16,1.757335147414816e-18,1.757335147414816e-18,6.817926476731532e-16
9.656988039829016e-13,0.11224537202913726,0.9,0.0,0.0,0.0,0.0,0.09999999974041587,6.648266843326028e-11,6.617601158187325e-11,4.593541310955973e-11,4.593573781949163e-11,3.9779557486336246e-11,3.9786392043169616e-11,3.9785265940649784e-11,3.9785024068909356e-11,3.5475035946756905e-11,3.5475035946756905e-11,3.211960865509547e-11,3.211983569226e-11,2.9360692800500564e-13,1.2581014477072331e-14,5.348557073189288e-15,1.1581710686965908e-15,3.1187595777708843e-18,3.1187595777708843e-18,1.0206560013806518e-15
1e-12,0.11224537204023721,0.9,0.0,0.0,0.0,0.0,0.09999999973119555,6.884411155245843e-11,6.852596579028929e-11,4.756701319100727e-11,4.75673605337832e-11,4.1192282455518684e-11,4.119959270658204e-11,4.119842516900934e-11,4.119816644001589e-11,3.6735093591158724e-11,3.6735093591158724e-11,3.3260479120157886e-11,3.3260721982703434e-11,3.041881721987897e-13,1.3455998431352973e-14,5.720730993079395e-15,1.238727376815275e-15,3.449917549174867e-18,3.449917549174867e-18,1.0917968604692049e-15
