Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20)
1.7229674466421884e-15,0.112245372000052,0.9,0.0,0.0,0.0,0.0,0.09999999999953688,1.186157307394844e-13,1.1857515118282492e-13,8.195671395836379e-14,8.195671501466998e-14,7.098523047795468e-14,7.098525797270913e-14,7.098332302837816e-14,7.098332310379085e-14,6.329337049465639e-14,6.329337049465639e-14,5.73069316196296e-14,5.730693235700625e-14,4.052586094311567e-17,5.1981552066196336e-20,2.1989912496631226e-20,4.7654766626154114e-21,9.338580416548731e-19,3.591872367649723e-26,4.537303125103525e-21,1.8704359633474289e-22,3.505838599568302e-22,1.0705713566660767e-21,6.379622550422671e-26,3.9848814918998886e-22,1.3811565326351961e-21,2.744178061901126e-22,1.9300978305914952e-22,2.4081075190561576e-22,1.0205869433020126e-30,9.350520548762244e-19
3.4474318241676458e-15,0.11224537200010404,0.9,0.0,0.0,0.0,0.0,0.09999999999907333,2.373345172471473e-13,2.371821679664298e-13,1.6398463137492143e-13,1.6398463570070978e-13,1.420320787261175e-13,1.4203218885188957e-13,1.4202831590979395e-13,1.420283162125997e-13,1.26641730885094e-13,1.26641730885094e-13,1.146636511275362e-13,1.1466365414425577e-13,1.5213361567658683e-16,2.0800511284280426e-19,8.801614765190938e-20,1.9074107487239254e-20,1.869564311063656e-18,2.8756511814700917e-25,1.8160031995026426e-20,1.4105314273658145e-21,1.4032490861146492e-21,4.284774364826189e-21,5.107242209047578e-25,1.4570528943190516e-21,2.7635107236652438e-21,1.000574613434234e-21,7.07250739135065e-22,8.878845138505925e-22,7.536176475403598e-30,1.8709164920706158e-18
6.8963605792185605e-15,0.1122453720002081,0.9,0.0,0.0,0.0,0.0,0.09999999999814624,4.747720946607754e-13,4.742304563946357e-13,3.2804046220914044e-13,3.280404801314568e-13,2.8412561048995097e-13,2.8412605161931027e-13,2.841182982204625e-13,2.8411829943848945e-13,2.5333845166479466e-13,2.5333845166479466e-13,2.293770873474892e-13,2.29377099832866e-13,5.407703806607326e-16,8.319068135397257e-19,3.521727574018261e-19,7.631952778054508e-20,3.74723203281521e-18,2.301345737399041e-24,7.265699993462673e-20,1.0108490483659647e-20,5.614824159137997e-21,1.7142269915116195e-20,4.086809996935346e-24,4.958886385763536e-21,5.528212266203689e-21,3.3900662575429335e-21,2.41535477070174e-21,3.062785612780765e-21,5.21547490065252e-29,3.742645366442019e-18
1.0345289334269475e-14,0.11224537200031215,0.9,0.0,0.0,0.0,0.0,0.09999999999721915,7.122096768383106e-13,7.111455343776902e-13,4.920962890444632e-13,4.920963278747012e-13,4.2621897752594185e-13,4.2621991561018323e-13,4.262082770759623e-13,4.2620827967265126e-13,3.800351724433207e-13,3.800351724433207e-13,3.440905207715819e-13,3.440905478114557e-13,1.0622917607398313e-15,1.7674755413702803e-18,7.484292531945018e-19,1.6219195971383574e-19,5.633294400944969e-18,6.58097160208486e-24,1.5440222740699092e-19,2.71948002579928e-20,1.1932643861595473e-20,3.642727430523277e-20,1.1685981993850224e-23,9.479818810282173e-21,8.292907062661084e-21,6.462901064299329e-21,4.627212582411327e-21,5.904047766153088e-21,1.3776942115722806e-28,5.614374240796041e-18
1.379421808932039e-14,0.11224537200041623,0.9,0.0,0.0,0.0,0.0,0.09999999999629205,9.496472640488268e-13,9.479535374339332e-13,6.561521118808898e-13,6.561521791155224e-13,5.683121798387399e-13,5.683137809867133e-13,5.682982524739242e-13,5.682982569150852e-13,5.06731893220672e-13,5.06731893220672e-13,4.588039513998145e-13,4.58803998210383e-13,1.6905606763747943e-15,3.0145581362864317e-18,1.2767813817696748e-18,2.7669025632860034e-19,7.529470479665252e-18,1.3881769863476205e-23,2.633931005440719e-19,5.438642922132835e-20,2.035670820701536e-20,6.213820722952589e-20,2.4648766976345484e-23,1.4750776259496672e-20,1.1057595225597907e-20,1.0033995402753948e-20,7.212465944098285e-21,9.24946575932582e-21,2.713913793868225e-28,7.486103115132683e-18
2.069207559942222e-14,0.11224537200062432,0.9,0.0,0.0,0.0,0.0,0.09999999999443787,1.424522450853571e-12,1.4213800015585163e-12,9.84263748168579e-13,9.842638901945416e-13,8.524981978835093e-13,8.525015153481269e-13,8.524781951497912e-13,8.524782043785512e-13,7.601253347726184e-13,7.601253347726184e-13,6.882308060945672e-13,6.882309049679447e-13,3.1358684487231684e-15,6.239456010349813e-18,2.643492808320093e-18,5.728664436279951e-19,1.1349622448215162e-17,3.791681010531893e-23,5.453125230664854e-19,1.3654330454420753e-19,4.2148064176494817e-20,1.2863643327291251e-19,6.73194855852062e-23,2.6481339391476223e-20,1.6586956389908125e-20,1.7956775420534105e-20,1.2979986074029924e-20,1.676722403301045e-20,6.664255836295577e-28,1.1229560863765174e-17
2.758993310952405e-14,0.11224537200083246,0.9,0.0,0.0,0.0,0.0,0.09999999999258369,1.899397657511473e-12,1.894562954231338e-12,1.312375369750902e-12,1.3123756150471597e-12,1.1366836102209702e-12,1.136689255652122e-12,1.1366581250980319e-12,1.136658140840367e-12,1.0135187763202453e-12,1.0135187763202453e-12,9.176576505079454e-13,9.176578212849518e-13,4.823474796357622e-15,1.0608988547444628e-17,4.495931659179347e-18,9.743006177426607e-19,1.5216853551273973e-17,7.933591395289999e-23,9.274088427072305e-19,2.6573105209426384e-19,7.16848330628705e-20,2.187519682703139e-19,1.4084522733995417e-22,3.9624920166837157e-20,2.2116294295328772e-20,2.680003192932748e-20,1.9461613442528462e-20,2.529191677729804e-20,1.2737422315895257e-27,1.4973018612333753e-17
4.1385648129727704e-14,0.1122453720012487,0.9,0.0,0.0,0.0,0.0,0.09999999998887533,2.8491481388913634e-12,2.840529124545389e-12,1.9685985646282686e-12,1.968599111883952e-12,1.7050524461572445e-12,1.7050647577101496e-12,1.705017943171226e-12,1.7050179776384283e-12,1.5203056594013153e-12,1.5203056594013153e-12,1.376511305574265e-12,1.3765116867412736e-12,8.594416306705092e-15,2.310395916538602e-17,9.7955924068048e-18,2.1227519342220605e-18,2.3132262693498615e-17,2.50517454444143e-22,2.0205070635050295e-18,7.048083307468518e-19,1.5619160049974627e-19,4.764686895645192e-19,4.44636467587985e-22,6.767867237245179e-20,3.3174900431287915e-20,4.560500691819042e-20,3.333731399675342e-20,4.3711040593498826e-20,3.26415030769825e-27,2.2459934109261023e-17
5.3801791647910995e-14,0.1122453720016233,0.9,0.0,0.0,0.0,0.0,0.09999999998553781,3.703923649715196e-12,3.691606695543215e-12,2.55919938560215e-12,2.5592003127171063e-12,2.216582157504327e-12,2.2166027343780265e-12,2.2165417322973053e-12,2.2165417900461685e-12,1.976413854158295e-12,1.976413854158295e-12,1.7894795570887475e-12,1.7894802030877262e-12,1.2275722137645595e-14,3.8580771216027094e-17,1.6362339997787778e-17,3.545764990021962e-18,3.047052061935958e-17,5.281201872535022e-22,3.3749285373964292e-18,1.3140248403277425e-18,2.609088285744674e-19,7.956835340580694e-19,9.371756067140024e-22,9.403848751672476e-20,4.312757302118494e-20,6.322305673283079e-20,4.6405943311599583e-20,6.118858730068573e-20,5.954746680893711e-27,2.919815805625906e-17
6.621793516609429e-14,0.11224537200199795,0.9,0.0,0.0,0.0,0.0,0.09999999998220029,4.558699235104256e-12,4.5425709060025805e-12,3.1498001548455625e-12,3.1498015650987077e-12,2.72810973867386e-12,2.7281407352511994e-12,2.7280654766049496e-12,2.728065563752354e-12,2.4325220489000794e-12,2.4325220489000794e-12,2.20244777243546e-12,2.2024487554394422e-12,1.6066078674752002e-14,5.807860358430922e-17,2.4637249564091996e-17,5.338911788965863e-18,3.80234794067915e-17,9.606495377056721e-22,5.0816763258002894e-18,2.1375125301375335e-18,3.9287284331732536e-19,1.1977833836293442e-18,1.70440934338111e-21,1.2064312605981409e-19,5.308018525936647e-20,8.098284612891215e-20,5.960956394819531e-20,7.890780261619142e-20,9.523619167011141e-27,3.593638200303225e-17
