Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164)
6.470646894483528e-14,0.11224537200195236,0.9,0.0,0.0,0.0,0.0,0.09999999998260663,4.454643107302012e-12,4.438969301323847e-12,3.0779047041820203e-12,3.0779047041820203e-12,2.6658404285860377e-12,2.665868931145034e-12,2.6657962881349844e-12,2.6657962881349844e-12,2.3769981957358975e-12,2.3769981957358975e-12,2.152176019450313e-12,2.152176019450313e-12,1.5618582222454434e-14,5.522375570896522e-17,2.3425372900753244e-17,5.077186095288722e-18
7.5491075469758e-14,0.11224537200227772,0.9,0.0,0.0,0.0,0.0,0.09999999997970768,5.197097052012337e-12,5.1780766183331486e-12,3.5908980987182793e-12,3.5908980987182793e-12,3.1101497394015084e-12,3.1101884549167373e-12,3.1101037045193905e-12,3.1101037045193905e-12,2.773171726248494e-12,2.773171726248494e-12,2.5108785096077402e-12,2.5108785096077402e-12,1.894543538446533e-14,7.499829472153789e-17,3.1818982002482317e-17,6.896533226309164e-18
9.706028851960346e-14,0.1122453720029285,0.9,0.0,0.0,0.0,0.0,0.09999999997390978,6.682004941368415e-12,6.656283949132405e-12,4.616884887746182e-12,4.616884887746182e-12,3.9987636491549885e-12,3.998827502421501e-12,3.998718537249562e-12,3.998718537249562e-12,3.565518787239233e-12,3.565518787239233e-12,3.2282834898913978e-12,3.2282834898913978e-12,2.559733151023469e-14,1.236607257748719e-16,5.247848411660363e-17,1.1374782396676492e-17
1.4019871461929435e-13,0.11224537200423013,0.9,0.0,0.0,0.0,0.0,0.09999999996231397,9.651820719650111e-12,9.61262443196632e-12,6.668858465504563e-12,6.668858465504563e-12,5.775960068206901e-12,5.776105597173419e-12,5.775948202452303e-12,5.775948202452303e-12,5.1502129089910144e-12,5.1502129089910144e-12,4.6630934502507444e-12,4.6630934502507444e-12,3.89145786040046e-14,2.817090797865587e-16,1.19601738620417e-16,2.592722789733902e-17
1.8333714071898524e-13,0.11224537200553168,0.9,0.0,0.0,0.0,0.0,0.09999999995071816,1.2621636497587433e-11,1.256892078737397e-11,8.720832043025e-12,8.720832043025e-12,7.553131378248724e-12,7.553383691719248e-12,7.553177867448961e-12,7.553177867448961e-12,6.734907030559039e-12,6.734907030559039e-12,6.097903410443712e-12,6.097903410443712e-12,5.222740526401829e-14,4.883049494436876e-16,2.0735797119457944e-16,4.495549932892921e-17
2.69613992918367e-13,0.11224537200813478,0.9,0.0,0.0,0.0,0.0,0.09999999992752656,1.856126805208458e-11,1.8481322733720232e-11,1.2824779197114104e-11,1.2824779197114104e-11,1.1107373634769059e-11,1.1107939879986545e-11,1.110763719661794e-11,1.110763719661794e-11,9.904295272960056e-12,9.904295272960056e-12,8.967523330164139e-12,8.967523330164139e-12,7.884982925326076e-14,1.0954891110866913e-15,4.653359834574327e-16,1.0090923402847624e-16
3.558908451177488e-13,0.11224537201073796,0.9,0.0,0.0,0.0,0.0,0.09999999990433496,2.4500899605204234e-11,2.439353208380872e-11,1.6928726350251434e-11,1.6928726350251434e-11,1.466151560014769e-11,1.4662496067429483e-11,1.4662096524962582e-11,1.4662096524962582e-11,1.307368351462604e-11,1.307368351462604e-11,1.1837143249219053e-11,1.1837143249219053e-11,1.0547105320616176e-13,1.8964681893442296e-15,8.057132308407049e-16,1.7475405095581806e-16
4.4216769731713057e-13,0.11224537201334107,0.9,0.0,0.0,0.0,0.0,0.09999999988114336,3.044053115694639e-11,3.030554874936219e-11,2.1032673502437e-11,2.1032673502437e-11,1.8215557346750808e-11,1.8217052254048063e-11,1.8216555852482886e-11,1.8216555852482886e-11,1.624307175555699e-11,1.624307175555699e-11,1.4706763167608456e-11,1.4706763167608456e-11,1.320913627139596e-13,2.891044870234925e-15,1.2284234544805029e-15,2.6648384278016187e-16
6.147214017158941e-13,0.11224537201854744,0.9,0.0,0.0,0.0,0.0,0.09999999983476016,4.231979425719781e-11,4.2129130374296205e-11,2.9240567804574366e-11,2.9240567804574366e-11,2.5323405856892747e-11,2.5326164625350505e-11,2.5325474505588833e-11,2.5325474505588833e-11,2.258184823569382e-11,2.258184823569382e-11,2.0446003002825353e-11,2.0446003002825353e-11,1.8532993424233807e-13,5.333948659259837e-15,2.26686902652193e-15,4.918994312447314e-16
7.872751061146577e-13,0.1122453720237537,0.9,0.0,0.0,0.0,0.0,0.09999999978837695,5.419905735238368e-11,5.395200488846328e-11,3.7448462103211747e-11,3.7448462103211747e-11,3.2430886427204e-11,3.243527699362149e-11,3.2434393155663404e-11,3.2434393155663404e-11,2.8920624713127677e-11,2.8920624713127677e-11,2.6185242835594925e-11,2.6185242835594925e-11,2.385653202463787e-13,8.48714367401136e-15,3.607532667462506e-15,7.830337500291617e-16
