Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481)
6.704089724053324e-10,0.11224539236162098,0.9,0.0,0.0,0.0,0.0,0.09999981979092445,4.6262644607259864e-08,4.424954603070512e-08,3.181404032089327e-08,3.1962493915893755e-08,2.6489856432670175e-08,2.7656009528637536e-08,2.7568663455662908e-08,2.7563253109898476e-08,2.4627514189358862e-08,2.4627514189358862e-08,2.2245468554371873e-08,2.2350918937835018e-08,1.9922604772733993e-10,1.285936820315762e-09,6.642679562111378e-10,1.1934627529191804e-10,6.857013920184728e-10,2.739099672632534e-10,5.083105462812502e-10,3.133578990312234e-10,3.982565486118379e-11,4.969210319857316e-12,9.8748592159069e-11,1.4343201845273587e-15,3.1506643507285534e-13,9.570617595669527e-16,7.120940904537513e-16
6.985809226092471e-10,0.11224539322342746,0.9,0.0,0.0,0.0,0.0,0.09999981221815472,4.8211465799770395e-08,4.608372138214224e-08,3.3147633650173476e-08,3.330876418224046e-08,2.7579562347647278e-08,2.881972101216984e-08,2.8724902856733833e-08,2.8719048108483268e-08,2.5662411514015284e-08,2.5662411514015284e-08,2.317796301759401e-08,2.3292455354020488e-08,2.0748428525408417e-10,1.34725890957436e-09,6.970172798738501e-10,1.2501114690199894e-10,7.473633511663468e-10,3.002433536048507e-10,5.517967151047275e-10,3.40075255694987e-10,4.324464529911095e-11,5.182082747471875e-12,1.0739755233053749e-10,1.4947418881680839e-15,3.5281046402841924e-13,9.973739749332812e-16,7.420915592732629e-16
7.267528728131618e-10,0.11224539408573248,0.9,0.0,0.0,0.0,0.0,0.09999980464538305,5.016067119956477e-08,4.791649466271336e-08,3.448096148089489e-08,3.46552845863914e-08,2.866783383713395e-08,2.998355689717937e-08,2.988095864654016e-08,2.987464421956937e-08,2.6697308760301164e-08,2.6697308760301164e-08,2.4110271855279312e-08,2.4234177450920078e-08,2.1573620991675117e-10,1.4085397609473964e-09,7.297374600299499e-10,1.3066905408678648e-10,8.116902683881882e-10,3.277969461730912e-10,5.970599910491157e-10,3.678771844741367e-10,4.6804543434586685e-11,5.3949213732069376e-12,1.1640922060892986e-10,1.5551754935935099e-15,3.9308286796940844e-13,1.0376936735588446e-15,7.720949387479972e-16
7.549248230170765e-10,0.11224539494853569,0.9,0.0,0.0,0.0,0.0,0.09999979707260938,5.211026074050258e-08,4.974786848123051e-08,3.5814023865893866e-08,3.600205479932489e-08,2.9754675944940873e-08,3.1147517115771143e-08,3.103683063344934e-08,3.103004147235941e-08,2.773220592821647e-08,2.773220592821647e-08,2.504239510436477e-08,2.5176085199018488e-08,2.2398183357075933e-10,1.4697778611267088e-09,7.624254194570185e-10,1.363198743682399e-10,8.786797088660598e-10,3.565692298789778e-10,6.440995959466587e-10,3.967628567845763e-10,5.050536432581537e-11,5.607726197802739e-12,1.2578353936533906e-10,1.6156209989070106e-15,4.3591716283324676e-13,1.0780208456373877e-15,8.021042280590849e-16
7.830967732209913e-10,0.11224539581183668,0.9,0.0,0.0,0.0,0.0,0.09999978949983372,5.406023435645312e-08,5.157784501148859e-08,3.714682085799628e-08,3.7349074493087594e-08,3.084009297783843e-08,3.231160160006892e-08,3.219251862639707e-08,3.2185239896053636e-08,2.8767103017761197e-08,2.8767103017761197e-08,2.597433280178003e-08,2.6118178568769657e-08,2.3222116624190314e-10,1.5309721317794155e-09,7.950787989905799e-10,1.4196352480786562e-10,9.483292203813789e-10,3.8655866800802514e-10,6.929147531576564e-10,4.2673144544259546e-10,5.4347123022781845e-11,5.8204971803795175e-12,1.3552045094614558e-10,1.6760784024006723e-15,4.813440153870749e-13,1.1183554814522992e-15,8.321194265339914e-16
8.11268723424906e-10,0.11224539667563514,0.9,0.0,0.0,0.0,0.0,0.09999978192705598,5.601059198129538e-08,5.3406426108922295e-08,3.847935251001741e-08,3.86963433406488e-08,3.192408867151024e-08,3.347581028221516e-08,3.3348022434813685e-08,3.3340239519849934e-08,2.980200002893531e-08,2.980200002893531e-08,2.6906084984447413e-08,2.706045753059688e-08,2.40454215915988e-10,1.5921218133772834e-09,8.276957959645226e-10,1.475999510051863e-10,1.0206363396178867e-09,4.177637089734999e-10,7.435046873553675e-10,4.5778212445837056e-10,5.832983456725381e-11,6.033234263299844e-12,1.45619897652086e-10,1.736547701483074e-15,5.293914660695741e-13,1.1586975710441498e-15,8.621405328082007e-16
8.394406736288207e-10,0.1122453975399307,0.9,0.0,0.0,0.0,0.0,0.09999977435427618,5.79613335489181e-08,5.523361339950068e-08,3.9811618874762076e-08,4.004386101578547e-08,3.3006666321322615e-08,3.464014309437107e-08,3.4503341868563884e-08,3.449504037294383e-08,3.08368969617388e-08,3.08368969617388e-08,2.7837651689281854e-08,2.8002922054892858e-08,2.486809899863819e-10,1.6532263750689992e-09,8.602750368339816e-10,1.5322911864877406e-10,1.095598596932531e-09,4.5018279148799583e-10,7.958686243572021e-10,4.89914068875544e-10,6.2453513992784e-11,6.2459374130604145e-12,1.5608182170370858e-10,1.7970288942062822e-15,5.800851347175678e-13,1.199047104674533e-15,8.921675460190686e-16
8.676126238327354e-10,0.11224539840472293,0.9,0.0,0.0,0.0,0.0,0.09999976678149428,5.991245899321968e-08,5.705940834837824e-08,4.1143620005024625e-08,4.139162719299158e-08,3.408782888536061e-08,3.580459996871657e-08,3.565847673790714e-08,3.564964248452848e-08,3.187179381617163e-08,3.187179381617163e-08,2.8769032953190982e-08,2.8945572112019785e-08,2.569014954311447e-10,1.7142854460153714e-09,8.928154767247055e-10,1.5885100713324418e-10,1.173213519941562e-09,4.838143484516904e-10,8.500057909929622e-10,5.231264546489545e-10,6.671817632471251e-11,6.4586066085586566e-12,1.669061652514602e-10,1.857521979072372e-15,6.334484105427744e-13,1.2394040727641148e-15,9.222004656546066e-16
8.957845740366501e-10,0.11224539927001155,0.9,0.0,0.0,0.0,0.0,0.09999975920871025,6.186396824810825e-08,5.8883812308382865e-08,4.247535595358881e-08,4.2739641547408686e-08,3.5167579063088565e-08,3.69691808374503e-08,3.681342685347298e-08,3.68040458837947e-08,3.2906690592233795e-08,3.2906690592233795e-08,2.9700228813075047e-08,2.988840767230939e-08,2.651157378794301e-10,1.7752987679479497e-09,9.253163225809842e-10,1.6446560520304843e-10,1.2534786358999383e-09,5.186568095695239e-10,9.059154150070339e-10,5.574184585600798e-10,7.112383658016893e-11,6.6712418151639945e-12,1.7809287039780348e-10,1.9180269533540665e-15,6.895026274688521e-13,1.2797684653766588e-15,9.522392902404904e-16
9.239565242405649e-10,0.11224540013579615,0.9,0.0,0.0,0.0,0.0,0.0999997516359241,6.381586124750168e-08,6.07068265495575e-08,4.3806826773227936e-08,4.4087903754773824e-08,3.624591935424196e-08,3.8133885632789604e-08,3.7968192026241466e-08,3.7958250599930926e-08,3.394158728992527e-08,3.394158728992527e-08,3.0631239305826975e-08,3.083142870606304e-08,2.733237230377269e-10,1.8362661642751787e-09,9.577769754723735e-10,1.700729081767112e-10,1.3363914731094634e-09,5.547086029804789e-10,9.635967249877268e-10,5.927892581616749e-10,7.567050976807487e-11,6.883842989632709e-12,1.896418791931592e-10,1.9785438149823884e-15,7.482672258497418e-13,1.3201402727951574e-15,9.822840188157907e-16
9.803004246483944e-10,0.11224540186885194,0.9,0.0,0.0,0.0,0.0,0.09999973649034534,6.772079821552292e-08,6.434869065047328e-08,4.646897323677168e-08,4.678517043406724e-08,3.839837950906593e-08,4.0463666732247936e-08,4.0277166788981125e-08,4.026606409955529e-08,3.601138045019603e-08,3.601138045019603e-08,3.249270433746942e-08,3.271802707501608e-08,2.8972094405690164e-10,1.9580627742215745e-09,1.0225760495254893e-09,1.8126563367631493e-10,1.5101504339151646e-09,6.304338967144315e-10,1.0842713211502924e-09,6.667639583094776e-10,8.518695493589416e-11,7.30894310574165e-12,2.138265756054614e-10,2.099613193633628e-15,8.73996714206174e-13,1.4009060937633994e-15,1.0423911853600246e-15
9.999999999999999e-10,0.1122454036038873,0.9,0.0,0.0,0.0,0.0,0.09999973119497912,6.90864473066174e-08,6.56206906077108e-08,4.739949213280337e-08,4.772845166062633e-08,3.9149621215254165e-08,4.12783472647678e-08,4.1084280994324674e-08,4.1072759850958236e-08,3.673504426935923e-08,3.673504426935923e-08,3.31433554044401e-08,3.337781535418182e-08,2.954480290707575e-10,2.0006031104708944e-09,1.0451930261135029e-09,1.851720796478383e-10,1.5733947552299859e-09,6.580473028119873e-10,1.1281330593369799e-09,6.936439281440451e-10,8.864731603396981e-11,7.45753909438178e-12,2.2262407756030076e-10,2.1419540182097836e-15,9.205532863475137e-13,1.4291513045278351e-15,1.0634120853258052e-15
