Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634)
6.399812596964313e-11,0.11224537393198772,0.9,0.0,0.0,0.0,0.0,0.09999998279698448,4.406873402769826e-09,4.340201082134729e-09,3.0435224982717217e-09,3.0447326726838605e-09,2.6126076069881114e-09,2.637010747159592e-09,2.636119677384634e-09,2.6360987511071015e-09,2.3509768589013575e-09,2.3512516278975204e-09,2.1281348849810397e-09,2.1290186935381533e-09,1.9537139369393142e-11,4.223109136975719e-11,1.881609998496337e-11,3.903297094672527e-12,4.2498388193047336e-12,6.745336404632771e-13,4.676933711796715e-12,2.9241059467530526e-12,3.626512043614305e-13,3.801437508747329e-13,6.168574232498073e-13,1.366117304299862e-16,3.1256867989081367e-16,9.115746898513934e-17,6.782059716751902e-17,9.11502131521913e-17,1.1792344038502845e-20,2.139237638642307e-18,3.480377095057114e-14,7.745858182569129e-17,1.824109350413549e-17,1.6166007694658308e-13,5.009604357875079e-21,2.4054422322657196e-17,7.82972108231046e-14,6.687113371863147e-21,5.032772193243271e-23,4.5404298417844176e-18,3.036022057108358e-24,6.5673988645863905e-22,1.980493124266785e-24,1.3333339316811193e-26,4.890065941275541e-31,1.1710450168048283e-27,1.0776008864702933e-31,1.1093335607954936e-22,2.0353244011216804e-29,1.7592424275004727e-28,1.7534576302980947e-33,1.5161636425320475e-32,5.1760036919267165e-25,6.520553484910465e-31
7.049628844906057e-11,0.11224537412828045,0.9,0.0,0.0,0.0,0.0,0.09999998105024607,4.854444380853138e-09,4.776888925583989e-09,3.3524749466749763e-09,3.353942873485887e-09,2.875638817818189e-09,2.904800637116941e-09,2.9037316420136274e-09,2.903702089151406e-09,2.589687403881034e-09,2.5900169381723615e-09,2.344164998099993e-09,2.345237383320249e-09,2.1503298623738572e-11,5.010446062644561e-11,2.2418742780602207e-11,4.632489886825205e-12,5.246076835387998e-12,8.865078952698004e-13,5.673636412168337e-12,3.5459730223771183e-12,4.400370405679298e-13,4.289786687596125e-13,7.758529287898152e-13,1.504883752995164e-16,4.102826523105181e-16,1.0041637794949663e-16,7.470937704701186e-17,1.0040811595529866e-16,1.4309117866814656e-20,2.142799404392376e-18,3.835730516019529e-14,1.0514676872635569e-16,2.009368651371958e-17,1.961592451413067e-13,6.078850220610633e-21,2.6497714620210665e-17,9.500809910516919e-14,8.11495614204305e-21,6.103081868802441e-23,5.509440268122739e-18,3.818508341819047e-24,8.777879276413928e-22,2.6027997903743257e-24,1.6178992463092846e-26,6.536184078841554e-31,1.572569342894773e-27,1.5842477432518813e-31,1.482766551520888e-22,2.8230435899321815e-29,2.54652039228597e-28,2.6775388026620374e-33,2.4201285222652794e-32,7.055731661079581e-25,8.7157077374362e-31
7.6994450928478e-11,0.11224537432459754,0.9,0.0,0.0,0.0,0.0,0.09999997930350767,5.302035878937587e-09,5.213021005762152e-09,3.6614132074516064e-09,3.6631636676197253e-09,3.1383314634711023e-09,3.172597226571557e-09,3.171334335469853e-09,3.1712948108402044e-09,2.8283979428498843e-09,2.828787198587713e-09,2.5601851923399673e-09,2.5614643723231994e-09,2.3466955234867166e-11,5.84565087108985e-11,2.6263965210592245e-11,5.406346462227846e-12,6.358471367396509e-12,1.1358666933388107e-12,6.766329140757413e-12,4.227385469611385e-12,5.249018060737789e-13,4.77943928366782e-13,9.54101243324113e-13,1.6436565584505996e-16,5.28052221459635e-16,1.0967560376276496e-16,8.159842107700612e-17,1.0966625001445858e-16,1.7069160895623135e-20,2.1467699095436566e-18,4.191692937205912e-14,1.3899339706158377e-16,2.194634299194879e-17,2.3399292991752186e-13,7.25145876092655e-21,2.8941100699783774e-17,1.1333436401213818e-13,9.680877289927208e-21,7.275875972807126e-23,6.572150977478312e-18,4.695742191795375e-24,1.1435890784961293e-21,3.3348529634688854e-24,1.929977983189371e-26,8.51561759676266e-31,2.056810361008069e-27,2.256312088861703e-31,1.931822478245563e-22,3.785064319605954e-29,3.5649107130811323e-28,3.924905361115115e-33,3.693286277062561e-32,9.344741653448677e-25,1.1355387989723939e-30
8.483016440022986e-11,0.11224537456135633,0.9,0.0,0.0,0.0,0.0,0.09999997719722889,5.841784780542936e-09,5.738235496167813e-09,4.033922989108014e-09,4.036047069151367e-09,3.45466718544047e-09,3.495524706550667e-09,3.4940067418066456e-09,3.4939534325869516e-09,3.116243520738333e-09,3.1167113832967114e-09,2.820656769549118e-09,2.8222095376512433e-09,2.5831699227752073e-11,6.911404997975369e-11,3.120298610972174e-11,6.39425561282844e-12,7.857259856231584e-12,1.4892937137931914e-12,8.211534542950636e-12,5.128144400305409e-12,6.371815036232053e-13,5.371265836270949e-13,1.1946728774252754e-12,1.8110021547454557e-16,6.996630435259269e-16,1.2084112541033756e-16,8.990582459178434e-17,1.2083034206067998e-16,2.072085944772737e-20,2.152111639106488e-18,4.6218323784597954e-14,1.8897230485530471e-16,2.41804257658124e-17,2.8404897970275407e-13,8.8029023379014e-21,3.1887546516837184e-17,1.3758125768192226e-13,1.175276328881519e-20,8.826191613144929e-23,7.978243220023454e-18,5.879690320288631e-24,1.5294858091291563e-21,4.372416764462387e-24,2.342888551426306e-26,1.1389457709203354e-30,2.761701461344585e-27,3.3214991699208826e-31,2.5838035429156914e-22,5.223716595452313e-29,5.149719052997157e-28,5.966733009059111e-33,5.880321971394341e-32,1.2706484153691612e-24,1.51878506752693e-30
9.266587787198173e-11,0.11224537479815125,0.9,0.0,0.0,0.0,0.0,0.09999997509095011,6.381563516411829e-09,6.262750526342619e-09,4.406412143496323e-09,4.408945818790102e-09,3.770558501671572e-09,3.818461925168985e-09,3.816665607661745e-09,3.816596618893736e-09,3.404089089886808e-09,3.4046427684867443e-09,3.0811139257847243e-09,3.082966769065031e-09,2.8193293510389398e-11,8.035878066885642e-11,3.645039802724627e-11,7.437065227429642e-12,9.531324940330678e-12,1.9036243799182584e-12,9.796175790343982e-12,6.1152584886196825e-12,7.603364538046066e-13,5.964132379048823e-13,1.4633092393831341e-12,1.9783569932047762e-16,9.070445263696986e-16,1.320071061212102e-16,9.82136121500409e-17,1.3199477026913386e-16,2.472630030335529e-20,2.158070144784881e-18,5.0530793094972444e-14,2.501266284664616e-16,2.641460049595091e-17,3.389539099101385e-13,1.0504650520691898e-20,3.4834128681851286e-17,1.6417717019346641e-13,1.4025437552838594e-20,1.052513441805449e-22,9.520632777735758e-18,7.201751594316784e-24,1.9936928148128507e-21,5.588770087773035e-24,2.7958135117498446e-26,1.4846539975530462e-30,3.611601177510531e-27,4.715057961828255e-31,3.3681335701170093e-22,7.01269081299043e-29,7.186798646193567e-28,8.730806322182836e-33,8.98757672179967e-32,1.679245674408315e-24,1.9798150800822437e-30
9.999999999999999e-11,0.1122453750349827,0.9,0.0,0.0,0.0,0.0,0.09999997311950158,6.886816162532553e-09,6.753101940114471e-09,4.755038280299499e-09,4.757987900266447e-09,4.065846767675881e-09,4.12073562847166e-09,4.11865766064286e-09,4.118572305343426e-09,3.6735086524711273e-09,3.6741491868675837e-09,3.3248852460860425e-09,3.3270429523789493e-09,3.0401068005021783e-11,9.136947979529316e-11,4.162193732435678e-11,8.45858426438754e-12,1.125974400805006e-11,2.3493950841113347e-12,1.1405650799230842e-11,7.117326180876605e-12,8.854614072497286e-13,6.519610685476039e-13,1.7402078056672747e-12,2.1350072381324903e-16,1.1367651999071615e-15,1.424587286550291e-16,1.0598993719027533e-16,1.4244482902329657e-16,2.879584901510725e-20,2.164215583019391e-18,5.4578345089580414e-14,3.1859677519187684e-16,2.850584107794183e-17,3.947375846877257e-13,1.2233649594384945e-20,3.759221337527795e-17,1.911989602524811e-13,1.6334558150078202e-20,1.224981372651523e-22,1.1087806980029262e-17,8.564470696436099e-24,2.5055531402573033e-21,6.897416718707126e-24,3.2560036209504327e-26,1.865857308374705e-30,4.55044190028207e-27,6.393426981488091e-31,4.233026691806058e-22,8.996023722493831e-29,9.572893307543807e-28,1.2089253788201175e-32,1.2912454476841644e-31,2.1335519167459855e-24,2.4881866747340598e-30
1.005015913437336e-10,0.1122453750349827,0.9,0.0,0.0,0.0,0.0,0.09999997298467134,6.921372085116501e-09,6.7866180596627414e-09,4.778880671758987e-09,4.781859888746425e-09,4.086028951381208e-09,4.1414088809567134e-09,4.139310904146822e-09,4.139224370390095e-09,3.69193465029531e-09,3.6925813557127017e-09,3.3415566618449625e-09,3.343736065850221e-09,3.055197208304768e-11,9.213865094312545e-11,4.198437362080421e-11,8.529958218614635e-12,1.1383719131806197e-11,2.381991494822575e-12,1.152018450937594e-11,7.1886173325790704e-12,8.943669845949809e-13,6.557612739661746e-13,1.7600453010768763e-12,2.1457210733842802e-16,1.1538114034401659e-15,1.4317354506312e-16,1.0652178372899431e-16,1.431595345889574e-16,2.908549410582836e-20,2.164656168429645e-18,5.485558354931673e-14,3.2370325725520613e-16,2.864886701588084e-17,3.987079191557037e-13,1.2356709455405568e-20,3.77808471867621e-17,1.931222101778775e-13,1.6498909353222817e-20,1.237251437869017e-22,1.1199352520738464e-17,8.66209815032753e-24,2.5434476317437702e-21,6.993109652906637e-24,3.288757679842822e-26,1.8940791638202236e-30,4.620002068861578e-27,6.523835695514487e-31,4.297059060095224e-22,9.141385710524904e-29,9.754908249702565e-28,1.2348824632041683e-32,1.3220954194567822e-31,2.167311516275794e-24,2.5258235438812634e-30
1.0833730481548546e-10,0.11224537527185086,0.9,0.0,0.0,0.0,0.0,0.09999997087839255,7.461210485229134e-09,7.309885539140539e-09,5.151328575038536e-09,5.154789252660773e-09,4.4011004227562504e-09,4.4643655724441846e-09,4.4619426041539484e-09,4.461836687705617e-09,3.979780201963837e-09,3.980527146549018e-09,3.6019849785280133e-09,3.604517427291017e-09,3.2907948589956364e-11,1.0440614094311443e-10,4.778459592749487e-11,9.668528517839943e-12,1.3417225976915714e-11,2.9272560636556343e-12,1.3383496458912343e-11,8.348118569924571e-12,1.0392734238320572e-12,7.151341971457959e-13,2.084910837389036e-12,2.3130943948405036e-16,1.4435690588184527e-15,1.5434044144667205e-16,1.1483033930580366e-16,1.5432463496930798e-16,3.379845149423561e-20,2.1718795053910272e-18,5.91939612882585e-14,4.1096904248826153e-16,3.0883225167667635e-17,4.633112056658678e-13,1.4359085276193963e-20,4.072770202348083e-17,2.2441648623820346e-13,1.9173187959143205e-20,1.4368155324595328e-22,1.3014437938883076e-17,1.0260876555698793e-23,3.185988293420275e-21,8.593834293384115e-24,3.8217258731925854e-26,2.3726127045324023e-30,5.800384662541538e-27,8.817640478789515e-31,5.382831184192597e-22,1.1645484006661282e-28,1.2927557047597158e-27,1.6985917584783023e-32,1.8856996877143655e-31,2.7418831224851683e-24,3.164001429684512e-30
1.1617301828723733e-10,0.11224537550875612,0.9,0.0,0.0,0.0,0.0,0.09999996877211374,8.001078715321989e-09,7.832596524697062e-09,5.52375585447749e-09,5.527733885442456e-09,4.715793339572953e-09,4.787331998161843e-09,4.7845606799516145e-09,4.784433571469859e-09,4.267625744892388e-09,4.268480142587192e-09,3.8623988766319995e-09,3.865310852670567e-09,3.526141918905406e-11,1.171176221573568e-10,5.383209088256102e-11,1.0848724538917787e-11,1.563438518656056e-11,3.5420448531298976e-12,1.5386050988846264e-11,9.593666744770557e-12,1.1950560993275493e-12,7.745149658021483e-13,2.437919118072418e-12,2.4804769571308784e-16,1.7799036663300744e-15,1.6550779452051804e-16,1.2313927885758016e-16,1.654900713593628e-16,3.8865183107132634e-20,2.1797490929438754e-18,6.354720975242763e-14,5.132082058255016e-16,3.3117674800959764e-17,5.327639673586185e-13,1.651178410777544e-20,4.367469318389771e-17,2.58060106976609e-13,2.204828264006692e-20,1.6511892973191878e-22,1.4965927242617877e-17,1.1998152159340849e-23,3.9285539844836774e-21,1.0398655217414853e-23,4.394722911150334e-26,2.9256446733538002e-30,7.166216281510892e-27,1.1648112613255589e-30,6.637707646009171e-22,1.461029906507053e-28,1.6772976838476507e-27,2.2842475930648298e-32,2.6244812289676e-31,3.409989119947982e-24,3.901535747039358e-30
1.2400873175898918e-10,0.11224537574569862,0.9,0.0,0.0,0.0,0.0,0.09999996666583492,8.540976773967376e-09,8.354790448408377e-09,5.896162511218382e-09,5.9006937633335e-09,5.030126587228787e-09,5.11030815664024e-09,5.1071651047155345e-09,5.107015022312375e-09,4.5554712790809636e-09,4.556440345436705e-09,4.122798356955007e-09,4.126116341270761e-09,3.76125614499148e-11,1.3023360269645242e-10,6.010929390657304e-11,1.2066870950861289e-11,1.8037486352861587e-11,4.228735935819396e-12,1.7527791250000668e-11,1.092517374284594e-11,1.3617153388323033e-12,8.338968661808512e-13,2.8190746486978694e-12,2.6478687598119144e-16,2.166385141010018e-15,1.766756035731681e-16,1.3144860236140996e-16,1.7665584370828566e-16,4.428569958075866e-20,2.188272988180744e-18,6.791663064313379e-14,6.317232996193805e-16,3.5352215773411736e-17,6.070664018154907e-13,1.8814812064300246e-20,4.662182065989821e-17,2.9405318098610335e-13,2.512420266428864e-20,1.8803575676460084e-22,1.7053861328900634e-17,1.3873947173307222e-23,4.778384855899214e-21,1.2414553557368793e-23,5.007753611910843e-26,3.558567764385991e-30,8.730946764626186e-27,1.5098014840313544e-30,8.0739521602769475e-22,1.8069328031252947e-28,2.1370602804534063e-27,3.011200424913935e-32,3.572899173954366e-31,4.178650698037345e-24,4.745619404774404e-30
