Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106)
2.0853897901362822e-07,0.11225749971217185,0.9,0.0,0.0,0.0,0.0,0.09994237288756948,2.1462430750030028e-05,2.443498163101687e-06,5.557143917563321e-06,9.511138481216804e-06,8.618605779733319e-07,9.263448706789427e-06,3.3262297437328254e-06,4.7581890540573195e-06,7.65879071816847e-06,1.19583518964808e-05,3.628322659495321e-06,8.710432572300482e-06,1.1001663679428764e-08,8.152629681489002e-08,2.5816611887086727e-08,4.46361981473017e-09,1.905024666077602e-05,6.382460630412742e-06,2.708902961923151e-05,8.84164666571619e-06,4.18971953653119e-06,6.123763320715977e-10,5.44699478943311e-06,6.649735576208147e-13,2.107573402690337e-08,2.846042747118181e-13,2.773267179258072e-13,3.2003247226355205e-13,1.3618699401163525e-13,6.6995909107113e-14,1.05797692622759e-06,1.566394925934755e-06,5.698476234629975e-14,1.7186167995743514e-06,5.323691891960662e-14,9.842874191597592e-14,1.0143029100902814e-06,8.664081207251792e-14,1.5218446597145267e-16,2.731058441320225e-08,2.681894845871281e-17,2.700831969550338e-09,1.8739792819663483e-17,3.3022775099764333e-19,2.6437340357784574e-20,1.8395775303985245e-17,3.763453897533879e-18,1.8099092518914163e-09,8.756204476842295e-19,8.106862299345174e-18,1.7891448608299072e-19,1.6579553156642271e-18
2.1398838367947488e-07,0.11225789550531581,0.9,0.0,0.0,0.0,0.0,0.09994081360160083,2.214277941942841e-05,2.44466572337975e-06,5.642374368768286e-06,9.721561097293145e-06,8.618608571542927e-07,9.483877546348475e-06,3.338900065208157e-06,4.81508359833737e-06,7.858967334431955e-06,1.2395307858678673e-05,3.6690374087965812e-06,8.939895830139206e-06,1.1006920537124013e-08,8.156534675335517e-08,2.5816622143353068e-08,4.463642277108234e-09,1.9619499822751543e-05,6.568532428888919e-06,2.8250228723592077e-05,9.121281114451144e-06,4.4089500870140755e-06,6.147125762984884e-10,5.64921706134918e-06,6.860397761037926e-13,2.170643447541241e-08,2.9089524159039316e-13,2.846270296894914e-13,3.276415537485191e-13,1.4331035059790598e-13,6.899651927697113e-14,1.1107679374605922e-06,1.6611395986027467e-06,5.824548263068556e-14,1.805420133660431e-06,5.592472218403924e-14,1.0102169954671051e-13,1.0695853676189234e-06,9.13612413141012e-14,1.5699758668298953e-16,2.984071936165418e-08,2.7814571228718424e-17,3.0104388842071256e-09,1.9286127987890294e-17,3.531435276879135e-19,2.8787334242731814e-20,1.9579088838857794e-17,4.085619920834483e-18,2.0144684642544034e-09,9.36912187956673e-19,8.60765166034634e-18,1.9526549502148997e-19,1.7955671983836362e-18
2.1943778834532155e-07,0.11225829384841793,0.9,0.0,0.0,0.0,0.0,0.09993925156029743,2.2826559965640695e-05,2.4456696878286625e-06,5.726389696846068e-06,9.93008565439366e-06,8.618584136637922e-07,9.702420030360053e-06,3.3504961187336077e-06,4.8699186835747126e-06,8.059153575562034e-06,1.2838368601251841e-05,3.7082126043533698e-06,9.168299758591334e-06,1.1011440816973513e-08,8.159892538012149e-08,2.5816550418416304e-08,4.463651145257281e-09,2.018660656484769e-05,6.754603597366884e-06,2.9427414104515453e-05,9.401037771638927e-06,4.633295597397105e-06,6.168511167129046e-10,5.852175183635139e-06,7.072114790008766e-13,2.23347362987425e-08,2.971291587512853e-13,2.9189332120953434e-13,3.3518516001153976e-13,1.5059968264708743e-13,7.098950428710008e-14,1.1642795055696948e-06,1.7586682322483797e-06,5.94948309582645e-14,1.894108759025572e-06,5.867081734367904e-14,1.0360268666770209e-13,1.1263018274548521e-06,9.620397157675096e-14,1.6181280921367738e-16,3.2526578388994966e-08,2.881381229113957e-17,3.345527622779525e-09,1.9832460879986704e-17,3.770600888325769e-19,3.1280887047916874e-20,2.080267718477068e-17,4.4251829728217196e-18,2.2355182792154117e-09,1.0005406569089523e-18,9.124793081272025e-18,2.1257287542119222e-19,1.940378910198938e-18
2.2488719301116821e-07,0.1122586946951731,0.9,0.0,0.0,0.0,0.0,0.09993768677459818,2.3513637466401812e-05,2.4465325081101575e-06,5.809262261688716e-06,1.0136729122462248e-05,8.618538595675998e-07,9.919074977043977e-06,3.3611065000560483e-06,4.922766323823687e-06,8.25935009728462e-06,1.3287499509603461e-05,3.7459063790418116e-06,9.395619074327674e-06,1.1015325605894407e-08,8.162778356754712e-08,2.5816415141215782e-08,4.463649596920151e-09,2.0751489169563514e-05,6.940673603177971e-06,3.062029645136201e-05,9.680899179211353e-06,4.8627105817081985e-06,6.188082657789452e-10,6.055806673425063e-06,7.284844773163483e-13,2.2960552819797525e-08,3.0330653644971445e-13,2.9912478855510343e-13,3.4266325302018756e-13,1.5805350114187217e-13,7.29745909951825e-14,1.2184731658519968e-06,1.8589700980746167e-06,6.073290900278413e-14,1.9846652664407695e-06,6.147466140991004e-14,1.0617141757592048e-13,1.1844455697630563e-06,1.0116842116879306e-13,1.6662983313595327e-16,3.537291836849114e-08,2.9816364096147005e-17,3.7073812568980432e-09,2.037878996479811e-17,4.01996051204945e-19,3.392292456078482e-20,2.2066676478945043e-17,4.782533323203978e-18,2.473862180051769e-09,1.0665156378344924e-18,9.658341838048223e-18,2.308603737363758e-19,2.0925468284163833e-18
2.3033659767701488e-07,0.11225909800149049,0.9,0.0,0.0,0.0,0.0,0.09993611925579343,2.4203881576001762e-05,2.4472735570364207e-06,5.891060258671539e-06,1.0341508342789527e-05,8.618476696896912e-07,1.0133843905483547e-05,3.370812804406333e-06,4.973696172025302e-06,8.459557555516035e-06,1.3742665611994698e-05,3.7821746704313157e-06,9.621831287068024e-06,1.1018662128514018e-08,8.165256921913508e-08,2.581623060839764e-08,4.4636400961850154e-09,2.1314077923409326e-05,7.126742031602913e-06,3.1828597921052406e-05,9.96085027042589e-06,5.097149536433867e-06,6.205990469460788e-10,6.260054210519378e-06,7.498547241606166e-13,2.3583806300228415e-08,3.094278810717776e-13,3.063207167963994e-13,3.500758880759797e-13,1.6567031657176677e-13,7.495153442654427e-14,1.273311552327228e-06,1.962034106245294e-06,6.195981766723375e-14,2.0770723933532624e-06,6.433571596631286e-14,1.0872763812983823e-13,1.2440097249525053e-06,1.0625399562359738e-13,1.714483991601617e-16,3.8384476320463396e-08,3.0821944516910766e-17,4.097304479356199e-09,2.0925114035117156e-17,4.2796982222140633e-19,3.6718405340895593e-20,2.3371214510426292e-17,5.158056324193108e-18,2.7303161744732743e-09,1.1348460627432165e-18,1.0208351213651137e-17,2.5015136627909187e-19,2.252225681018495e-18
2.3578600234286154e-07,0.11225950372517149,0.9,0.0,0.0,0.0,0.0,0.09993454901548855,2.4897166377101697e-05,2.447909552291658e-06,5.971847917393873e-06,1.054444002369295e-05,8.618402128338348e-07,1.034673081834137e-05,3.3796901349725916e-06,5.022775586838975e-06,8.659776605572154e-06,1.420383163248674e-05,3.817071303714052e-06,9.846916473069078e-06,1.102152565497647e-08,8.167384144026783e-08,2.581600792460338e-08,4.463624555838624e-09,2.1874310318842187e-05,7.312808559048037e-06,3.305205152616168e-05,1.0240878040785326e-05,5.336567001995502e-06,6.222372883040664e-10,6.464865227824623e-06,7.713183101435614e-13,2.420442704874612e-08,3.154936950188494e-13,3.13480472780964e-13,3.574232062996197e-13,1.7344864093054517e-13,7.6920114976407e-14,1.3287583936627053e-06,2.067848843225978e-06,6.317565705822606e-14,2.1713130228139587e-06,6.72534471343321e-14,1.1127112318889303e-13,1.3049872904594303e-06,1.1146008913379875e-13,1.762682833806003e-16,4.1565967840311684e-08,3.183029480736981e-17,4.516622868588893e-09,2.147143205561642e-17,4.549995999181332e-19,3.967231829881724e-20,2.4716410563687934e-17,5.552133565065694e-18,3.005708364469318e-09,1.2055401306443186e-18,1.077487231683423e-17,2.704688672608217e-19,2.419569787497222e-18
2.412354070087082e-07,0.11225991182587414,0.9,0.0,0.0,0.0,0.0,0.09993297606557104,2.559337023667546e-05,2.4484549220950215e-06,6.0516856927580845e-06,1.0745540737493163e-05,8.618317758428626e-07,1.0557741996926441e-05,3.387807581653557e-06,5.070069698353633e-06,8.860007901422121e-06,1.4670962038802081e-05,3.85064807152585e-06,1.0070857065173128e-05,1.1023981147250243e-08,8.169208276772568e-08,2.5815755726523603e-08,4.463604462479752e-09,2.2432130340548028e-05,7.498872932375377e-06,3.4290400564293654e-05,1.0520971264047885e-05,5.580917619304923e-06,6.237357106651436e-10,6.670191531484583e-06,7.928714589162754e-13,2.4822352623760596e-08,3.2150447660809965e-13,3.2060349845329637e-13,3.647054275444385e-13,1.8138698956042767e-13,7.88801358862403e-14,1.3847785055809656e-06,2.176402605434513e-06,6.438052646721672e-14,2.2673701823772983e-06,7.022732554129081e-14,1.1380167424358406e-13,1.367371146174715e-06,1.1678608587393257e-13,1.8108929262921628e-16,4.4922085630009356e-08,3.2841177783395524e-17,4.9666821671065545e-09,2.2017743319998507e-17,4.831033750243798e-19,4.278968322471053e-20,2.610237465072582e-17,5.9651398098849845e-18,3.3008785243034604e-09,1.2786052497480113e-18,1.1357948672787488e-17,2.9183553894816973e-19,2.594729254268619e-18
2.466848116745549e-07,0.11226032226494262,0.9,0.0,0.0,0.0,0.0,0.09993140041818097,2.6292375666108062e-05,2.4489221183352314e-06,6.130630448368027e-06,1.0944826918567338e-05,8.618225816940427e-07,1.0766885808379672e-05,3.3952286700391792e-06,5.115641472615835e-06,9.060252094986116e-06,1.5144021085425328e-05,3.882954810692964e-06,1.029363765888819e-05,1.1026084669014489e-08,8.170770964208103e-08,2.5815480727795935e-08,4.4635809706194396e-09,2.2987487829582413e-05,7.684934953356319e-06,3.554339808653602e-05,1.080112024903318e-05,5.830156181538706e-06,6.251060102668584e-10,6.875988949782032e-06,8.145105228146356e-13,2.5437527123029624e-08,3.2746072000503253e-13,3.2768930466808265e-13,3.719228437253198e-13,1.894838828329606e-13,8.083142100354384e-14,1.4413377801166687e-06,2.2876834294554446e-06,6.55745243591607e-14,2.365227042981172e-06,7.325682628492688e-14,1.1631911722280762e-13,1.4311540685732928e-06,1.222313612069794e-13,1.8591126016555402e-16,4.8457498129349364e-08,3.385437607160072e-17,5.44884757402153e-09,2.2564047283751306e-17,5.1229892666527e-19,4.607554748460879e-20,2.7529209728401484e-17,6.39744481127261e-18,3.6166776864949527e-09,1.354048137866234e-18,1.1957622281065636e-17,3.142736961948079e-19,2.777852231654327e-18
2.5213421634040154e-07,0.1122607350053133,0.9,0.0,0.0,0.0,0.0,0.09992982208568457,2.699406918531547e-05,2.4493218865243333e-06,6.208735632543674e-06,1.114231486213803e-05,8.618128035009112e-07,1.0974172524174073e-05,3.4020117817342565e-06,5.159551774945505e-06,9.26050983547496e-06,1.562297285255424e-05,3.914039476077605e-06,1.0515244833166704e-05,1.1027884601160912e-08,8.172108143571335e-08,2.581518814095349e-08,4.463554975489303e-09,2.3540337913703202e-05,7.8709944666419e-06,3.6810806400525336e-05,1.1081316629964426e-05,6.084237681508412e-06,6.263589362221461e-10,7.0822170084578455e-06,8.362319786298829e-13,2.604990054730943e-08,3.3336291520620354e-13,3.3473746547030167e-13,3.790758125421595e-13,1.9773784768557724e-13,8.277381279336324e-14,1.4984031723260107e-06,2.4016791192895967e-06,6.675774836575169e-14,2.464866917817881e-06,7.634142889650225e-14,1.1882330046683246e-13,1.4963287436731512e-06,1.2779528279038948e-13,1.9073404189521703e-16,5.2176848239168616e-08,3.486969046645326e-17,5.964503051858685e-09,2.3110343382133314e-17,5.426038225749103e-19,4.953498297300855e-20,2.899701167676944e-17,6.849415533396832e-18,3.9539677356039925e-09,1.4318749694273233e-18,1.2573934843241207e-17,3.378053148720164e-19,2.969087436331765e-18
2.575836210062482e-07,0.11226115001140419,0.9,0.0,0.0,0.0,0.0,0.09992824108065007,2.7698341190809493e-05,2.449663499250202e-06,6.286051447146912e-06,1.1338020723586386e-05,8.618025755794259e-07,1.117961414935666e-05,3.4082105469892453e-06,5.201859432005129e-06,9.460781768769812e-06,1.6107781281343928e-05,3.9439482116392246e-06,1.0735666984869633e-05,1.1029422692816116e-08,8.17325082607339e-08,2.5814882010226247e-08,4.4635271705888655e-09,2.409064049559989e-05,8.057051350255885e-06,3.809239660493263e-05,1.1361553185158542e-05,6.3431173549028104e-06,6.275043627233489e-10,7.288838630655601e-06,8.580324235332592e-13,2.6659428228747992e-08,3.3921154801052234e-13,3.417476128346195e-13,3.86164751576979e-13,2.0614741903410835e-13,8.470717052382381e-14,1.5559426848923768e-06,2.518377270978832e-06,6.79302952804291e-14,2.566273261202924e-06,7.948061730844079e-14,1.2131409286015009e-13,1.5628877789193118e-06,1.3347721159676296e-13,1.9555751357072026e-16,5.608475213002662e-08,3.588693852075602e-17,6.5150506475984395e-09,2.365663129460135e-17,5.740354234706407e-19,5.31730876208798e-20,3.050586774777596e-17,7.321412023545471e-18,4.313621009542828e-09,1.5120912699555469e-18,1.3206919674914516e-17,3.6245204395741165e-19,3.168579016972203e-18
2.6303302567209487e-07,0.11226156724902411,0.9,0.0,0.0,0.0,0.0,0.09992665741582575,2.8405085827620076e-05,2.449954958301585e-06,6.362625009440805e-06,1.153196051817357e-05,8.617920022138292e-07,1.1383224261974208e-05,3.4138742109336877e-06,5.242621292601055e-06,9.661068536840323e-06,1.6598410205814777e-05,3.972725418826171e-06,1.0954894175931914e-05,1.1030734971405896e-08,8.174225772887226e-08,2.5814565475416634e-08,4.463498093272552e-09,2.4638359792440605e-05,8.243105508063848e-06,3.9387948152693336e-05,1.1641823680046735e-05,6.606750719663513e-06,6.285513565003342e-10,7.49581985974057e-06,8.799085710871087e-13,2.7266070316593476e-08,3.450070999951619e-13,3.487194317891298e-13,3.931901327379902e-13,2.1471114105048636e-13,8.663136863867274e-14,1.6139253509830692e-06,2.6377652948851287e-06,6.90922610569676e-14,2.669429667444972e-06,8.26738798188671e-14,1.237913821032632e-13,1.6308237140802246e-06,1.392765028440801e-13,2.0038156798415545e-16,6.018579813063018e-08,3.690595316546563e-17,7.101909828005244e-09,2.4202910813765728e-17,6.066108785446417e-19,5.699498223214601e-20,3.2055859193964795e-17,7.813789036937796e-18,4.696519908246026e-09,1.5947019893661599e-18,1.3856608655395365e-17,3.8823520969662673e-19,3.3764686328799584e-18
