Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689)
6.38013642092989e-10,0.11224539135721148,0.9,0.0,0.0,0.0,0.0,0.09999982849923647,4.4022143487650445e-08,4.213866447907776e-08,3.028019393885321e-08,3.04147089205669e-08,2.5235007386630498e-08,2.6354063099876546e-08,2.6332721950489014e-08,2.623394195133546e-08,2.3437470789537477e-08,2.3437470789537477e-08,2.1172950273164907e-08,2.1268577238402595e-08,1.8972196713847437e-10,1.215373149250347e-09,6.265779469621421e-10,1.1282375279766732e-10,5.29115959565165e-10,2.4513903177254684e-10,4.245489113425967e-10,2.8397692779261804e-10
6.47448928454791e-10,0.11224539164517429,0.9,0.0,0.0,0.0,0.0,0.09999982596299381,4.467464753014377e-08,4.275366052628582e-08,3.072696987742907e-08,3.086547435601272e-08,2.5600685202030312e-08,2.6744824061433734e-08,2.672284085858353e-08,2.6621136984986524e-08,2.3784076318751644e-08,2.3784076318751644e-08,2.1485351412615993e-08,2.1583827429839986e-08,1.9249093574929885e-10,1.2359301304438586e-09,6.375582041177505e-10,1.1472436259481538e-10,5.457378609510066e-10,2.533518141072095e-10,4.3716038662861815e-10,2.923860468437968e-10
6.56884214816593e-10,0.11224539193318682,0.9,0.0,0.0,0.0,0.0,0.09999982342675123,4.532719468262605e-08,4.336849857687291e-08,3.1173716024277136e-08,3.1316267916880306e-08,2.5966200796627125e-08,2.7135614793475734e-08,2.711297975237901e-08,2.7008309703488886e-08,2.413068183917504e-08,2.413068183917504e-08,2.179773172293234e-08,2.1899098605884154e-08,1.9525919863267446e-10,1.2564829835129528e-09,6.48536104718602e-10,1.1662423367399254e-10,5.626187576184213e-10,2.6170176585283333e-10,4.499557073969041e-10,3.00916991765588e-10
6.757547875401971e-10,0.11224539250936089,0.9,0.0,0.0,0.0,0.0,0.09999981835426626,4.663241830806269e-08,4.459770128192896e-08,3.206711895037551e-08,3.221793936727701e-08,2.6696746351725937e-08,2.7917285561428412e-08,2.7893317452780366e-08,2.778258819923916e-08,2.4823892853649512e-08,2.4823892853649512e-08,2.2422429861463862e-08,2.2529703915898366e-08,2.007935907640867e-10,1.2975758876162852e-09,6.704840984209864e-10,1.2042172347670566e-10,5.97157210680933e-10,2.7881297090328266e-10,4.760977793116805e-10,3.1834423977765036e-10
6.946253602638012e-10,0.11224539308573361,0.9,0.0,0.0,0.0,0.0,0.09999981328178155,4.793781434381834e-08,4.5826273754822824e-08,3.296040273324026e-08,3.3119723170877385e-08,2.7426646143754565e-08,2.869907538764254e-08,2.867373495778421e-08,2.855677744747849e-08,2.55171038329609e-08,2.55171038329609e-08,2.3047044700009073e-08,2.3160393177151356e-08,2.0632514650573882e-10,1.3386510364544878e-09,6.924204500071987e-10,1.242161510944535e-10,6.327306237365027e-10,2.9647220514920204e-10,5.029749022273851e-10,3.362584185873007e-10
7.134959329874052e-10,0.11224539366230485,0.9,0.0,0.0,0.0,0.0,0.0999998082092971,4.924338276980713e-08,4.7054216984383676e-08,3.385356738891791e-08,3.402161922737504e-08,2.8155902011923328e-08,2.9480984256071503e-08,2.94542321738872e-08,2.9330877457074685e-08,2.6210314777109198e-08,2.6210314777109198e-08,2.3671576249785803e-08,2.37911663983158e-08,2.11853869115503e-10,1.3797077749064135e-09,7.143439255747181e-10,1.2800746126427087e-10,6.693382949110789e-10,3.1467901885204694e-10,5.305868523296351e-10,3.546592760590317e-10
7.323665057110093e-10,0.11224539423907454,0.9,0.0,0.0,0.0,0.0,0.09999980313681289,5.054912356606689e-08,4.8281531809167115e-08,3.474661293335556e-08,3.492362743735314e-08,2.8884515564194526e-08,3.026301215076807e-08,3.0234809008292884e-08,3.010488823684136e-08,2.690352568609442e-08,2.690352568609442e-08,2.429602452194242e-08,2.442202358800142e-08,2.1737976237771753e-10,1.4207455950404094e-09,7.362535128793403e-10,1.317956123304075e-10,7.069795193373328e-10,3.334329573662137e-10,5.589334075671072e-10,3.735465619711191e-10
7.512370784346133e-10,0.11224539481604257,0.9,0.0,0.0,0.0,0.0,0.09999979806432896,5.185503671270497e-08,4.950821895449636e-08,3.563953938244418e-08,3.5825747701976234e-08,2.9612488223917594e-08,3.104515905584116e-08,3.101546536863906e-08,3.0878809795561816e-08,2.7596736559916552e-08,2.7596736559916552e-08,2.4920389527588043e-08,2.5052964754778527e-08,2.229028295591955e-10,1.4617641011062672e-09,7.581483775768813e-10,1.3558057291422003e-10,7.456535891758378e-10,3.527335619004126e-10,5.880143469902487e-10,3.929200272754252e-10
7.701076511582174e-10,0.11224539539320882,0.9,0.0,0.0,0.0,0.0,0.09999979299184529,5.316112218984905e-08,5.073427907054201e-08,3.6532346752058065e-08,3.672797992268891e-08,3.033982128533914e-08,3.182742495541638e-08,3.179620116274099e-08,3.165264214201076e-08,2.8289947398575612e-08,2.8289947398575612e-08,2.5544671277820092e-08,2.5683989907200566e-08,2.2842307358719906e-10,1.5027629722079027e-09,7.800278106019553e-10,1.3936231842251251e-10,7.853597938231408e-10,3.7258037042191103e-10,6.17829450122029e-10,4.1277942340122983e-10
7.889782238818214e-10,0.11224539597057323,0.9,0.0,0.0,0.0,0.0,0.09999978791936186,5.446737997763392e-08,5.1959712729457334e-08,3.7425035058065135e-08,3.763032400117994e-08,3.106651590260699e-08,3.2609809833625674e-08,3.257701629854313e-08,3.242638528496016e-08,2.8983158202071587e-08,2.8983158202071587e-08,2.6168869783731587e-08,2.63150990538075e-08,2.339404970379771e-10,1.5437419653579412e-09,8.018912393085055e-10,1.431408312516984e-10,8.260974194654449e-10,3.929729173436759e-10,6.483784968496032e-10,4.3312450212176897e-10
8.267193693290296e-10,0.11224539712589598,0.9,0.0,0.0,0.0,0.0,0.09999977777439578,5.708041240565032e-08,5.440870275043698e-08,3.921005454273972e-08,3.9435347338920974e-08,3.251799399749357e-08,3.4174936462465225e-08,3.413888422729842e-08,3.397360399545677e-08,3.036957970357432e-08,3.036957970357432e-08,2.7417017106971313e-08,2.7577569363697874e-08,2.449668915492962e-10,1.6256395599590226e-09,8.455682070253923e-10,1.5068810715588456e-10,9.106640697459404e-10,4.3539335460912303e-10,7.116775414760131e-10,4.752707151368173e-10
8.606864002315168e-10,0.11224539816636292,0.9,0.0,0.0,0.0,0.0,0.09999976864392719,5.9432730693951753e-08,5.661065613570057e-08,4.0816165040601005e-08,4.1060249913232835e-08,3.382215062662761e-08,3.558395717615886e-08,3.554483578963439e-08,3.5365795846951385e-08,3.161735893466907e-08,3.161735893466907e-08,2.8540065113597412e-08,2.871407998820604e-08,2.5488102207240285e-10,1.6992778643134292e-09,8.848187114921674e-10,1.5746950082726904e-10,9.902943191536763e-10,4.754334645799729e-10,7.711545645320931e-10,5.148608545737036e-10
8.976564225895499e-10,0.11224539929954427,0.9,0.0,0.0,0.0,0.0,0.09999975870624389,6.199364925469061e-08,5.900498337421479e-08,4.2563832023958025e-08,4.282921865772832e-08,3.523927196220554e-08,3.7117985846311434e-08,3.707537665348174e-08,3.688074167695077e-08,3.297545295842328e-08,3.297545295842328e-08,2.9762094343901543e-08,2.9951377834334215e-08,2.6566130148897896e-10,1.7793509765894912e-09,9.274741942195852e-10,1.6483839101022122e-10,1.0807498005394474e-09,5.210146651057663e-10,8.385885911666348e-10,5.597351354336812e-10
9.34626444947583e-10,0.11224540043348329,0.9,0.0,0.0,0.0,0.0,0.09999974876856157,6.455522866531606e-08,6.139691745537936e-08,4.431104242722273e-08,4.4598614199943005e-08,3.665396552080647e-08,3.86524707704099e-08,3.860621966617495e-08,3.839534535237115e-08,3.433354684721409e-08,3.433354684721409e-08,3.0983804352368974e-08,3.1188998288806605e-08,2.764308058927906e-10,1.8593450064193044e-09,9.700604462810824e-10,1.721947199507725e-10,1.1751454580344467e-09,5.686783106512848e-10,9.088339593993738e-10,6.064671473831618e-10
9.71596467305616e-10,0.11224540156817928,0.9,0.0,0.0,0.0,0.0,0.09999973883088024,6.711746877650981e-08,6.378646110212858e-08,4.605779636963354e-08,4.6368435808542524e-08,3.8066236559828845e-08,4.018741182921502e-08,4.013736413937993e-08,3.990960693917175e-08,3.5691640601041514e-08,3.5691640601041514e-08,3.220519522235726e-08,3.242694141525734e-08,2.871895475438914e-10,1.9392597000531324e-09,1.0125764937523643e-09,1.7953848813082188e-10,1.2734758822699169e-09,6.184208485939901e-10,9.818890249173344e-10,6.550550336759268e-10
9.999999999999999e-10,0.11224540270363138,0.9,0.0,0.0,0.0,0.0,0.09999973119590432,6.908644944498843e-08,6.562069075017738e-08,4.739949213585106e-08,4.772845307423788e-08,3.9149621488181435e-08,4.136699457797511e-08,4.131392460401534e-08,4.1072759852765335e-08,3.67350442694515e-08,3.67350442694515e-08,3.314335540657072e-08,3.3378254411132764e-08,2.954480294253694e-10,2.000603021871653e-09,1.045192847403775e-09,1.8517207220477407e-10,1.3516911195002428e-09,6.58047231798272e-10,1.0399236987609523e-09,6.936438877019707e-10
