Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53)
1.2442078664645714e-12,0.11224537203754029,0.9,0.0,0.0,0.0,0.0,0.09999999966555138,8.565607238081552e-11,8.525605320884197e-11,5.918346807413356e-11,5.918346807413356e-11,5.126064122838945e-11,5.126064122838945e-11,5.1259244412802445e-11,5.1259244412802445e-11,4.570609240710565e-11,4.570609240710565e-11,4.138310083609428e-11,4.138310083609428e-11,3.795194522401946e-13,2.0499719733357158e-14
1.5732548700244989e-12,0.11224537204746839,0.9,0.0,0.0,0.0,0.0,0.09999999957710208,1.0830893823591676e-10,1.0779541617290304e-10,7.483530834486826e-11,7.483530834486826e-11,6.48171865744174e-11,6.48171865744174e-11,6.481542035272484e-11,6.481542035272484e-11,5.779366484979122e-11,5.779366484979122e-11,5.232740175781308e-11,5.232740175781308e-11,4.810084440808209e-13,3.251361893290161e-14
2.2313488771443538e-12,0.11224537206732439,0.9,0.0,0.0,0.0,0.0,0.09999999940020347,1.5361466988600923e-10,1.5286586862289875e-10,1.0613898884480508e-10,1.0613898884480508e-10,9.193027723050066e-11,9.193027723050066e-11,9.192777219659792e-11,9.192777219659792e-11,8.196880970308766e-11,8.196880970308766e-11,7.421600357220969e-11,7.421600357220969e-11,6.839491683666396e-13,6.485209474385085e-14
2.8894428842642087e-12,0.1122453720871805,0.9,0.0,0.0,0.0,0.0,0.09999999922330487,1.989204014559551e-10,1.9792534664645555e-10,1.3744266928936515e-10,1.3744266928936515e-10,1.1904336783862039e-10,1.1904336783862039e-10,1.190401239925088e-10,1.190401239925088e-10,1.0614395451361784e-10,1.0614395451361784e-10,9.610460534788498e-11,9.610460534788498e-11,8.868404696140448e-13,1.0821433988552612e-13
3.5475368913840636e-12,0.11224537210703646,0.9,0.0,0.0,0.0,0.0,0.09999999904640626,2.4422613294575526e-10,2.429739319424467e-10,1.687463496785491e-10,1.687463496785491e-10,1.4615645839877716e-10,1.4615645839877716e-10,1.46152475740458e-10,1.46152475740458e-10,1.3031909928138226e-10,1.3031909928138226e-10,1.1799320708483939e-10,1.1799320708483939e-10,1.089682715750192e-12,1.6251828755838835e-13
4.2056308985039185e-12,0.11224537212689256,0.9,0.0,0.0,0.0,0.0,0.09999999886950765,2.8953186435541e-10,2.880117077666403e-10,2.0005003001235712e-10,2.0005003001235712e-10,1.7326954891097115e-10,1.7326954891097115e-10,1.7326482744044574e-10,1.7326482744044574e-10,1.5449424400638113e-10,1.5449424400638113e-10,1.398818087830731e-10,1.398818087830731e-10,1.2924762817169653e-12,2.2768030705275144e-13
5.521818912743628e-12,0.11224537216660467,0.9,0.0,0.0,0.0,0.0,0.09999999851571045,3.8014332693428345e-10,3.780551354569888e-10,2.6265739051384564e-10,2.6265739051384564e-10,2.274957297914708e-10,2.274957297914708e-10,2.2748953069653683e-10,2.2748953069653683e-10,2.0284453332808226e-10,2.0284453332808226e-10,1.8365901206337846e-10,1.8365901206337846e-10,1.697918744258572e-12,3.902727330361293e-13
6.838006926983338e-12,0.11224537220631675,0.9,0.0,0.0,0.0,0.0,0.09999999816191325,4.707547891925759e-10,4.680562849650561e-10,3.25264750793831e-10,3.25264750793831e-10,2.8172191048011973e-10,2.8172191048011973e-10,2.817142337607824e-10,2.817142337607824e-10,2.511948224787213e-10,2.511948224787213e-10,2.2743621518880122e-10,2.2743621518880122e-10,2.1031708081274654e-12,5.953334193923261e-13
8.154194941223047e-12,0.11224537224602883,0.9,0.0,0.0,0.0,0.0,0.09999999780811605,5.613662511302874e-10,5.580158363151448e-10,3.878721108523132e-10,3.878721108523132e-10,3.3594809097691786e-10,3.3594809097691786e-10,3.359389366331825e-10,3.359389366331825e-10,2.995451114582986e-10,2.995451114582986e-10,2.712134181593415e-10,2.712134181593415e-10,2.508235535798294e-12,8.421792793444456e-13
1e-11,0.11224537232545305,0.9,0.0,0.0,0.0,0.0,0.09999999731195544,6.884385936129323e-10,6.841050958182072e-10,4.756718629935449e-10,4.756718629935449e-10,4.119941852817605e-10,4.119941852817605e-10,4.11982958736677e-10,4.11982958736677e-10,3.6735093148326665e-10,3.6735093148326665e-10,3.3260600150193016e-10,3.3260600150193016e-10,3.0759829986407998e-12,1.2575147960842727e-12
