Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113)
7.429085548032233e-14,0.11224537200224152,0.9,0.0,0.0,0.0,0.0,0.09999999998003027,5.114470627232875e-12,5.095834939314811e-12,3.533806075613881e-12,3.5338079446259028e-12,3.060701583595294e-12,3.060740530700821e-12,3.0606558771816764e-12,3.060655986524828e-12,2.7290815325537108e-12,2.7290815325537108e-12,2.470957818547635e-12,2.4709591252878505e-12,1.8557423353753192e-14,7.278113654443048e-17,3.0877929075687325e-17,6.691234565968342e-18,2.7864036773110395e-18,1.329742089635e-21,6.368864966163072e-18,2.782714912497133e-18,4.923998776822869e-19,1.5009567665403515e-18,2.359022724271454e-21
9.905492181929152e-14,0.1122453720029887,0.9,0.0,0.0,0.0,0.0,0.09999999997337358,6.8193257429745666e-12,6.792966451601399e-12,4.711762223875839e-12,4.711765741545894e-12,4.080932772599016e-12,4.0810060676918605e-12,4.080892509065044e-12,4.080892715356621e-12,3.6387918282350124e-12,3.6387918282350124e-12,3.294624961653825e-12,3.2946274210764455e-12,2.6211484816213455e-14,1.3691454702888745e-16,5.810868852176738e-17,1.2591767430896816e-17,5.820166122383999e-18,3.7153601369246055e-21,1.1985987043526204e-17,5.809864077858032e-18,9.267485227200356e-19,2.8224281185119835e-18,6.586684389043048e-21
1.4858305449722989e-13,0.11224537200448308,0.9,0.0,0.0,0.0,0.0,0.0999999999600602,1.0229037167041311e-11,1.01871809061815e-11,7.0676736957392985e-12,7.06768215937875e-12,6.1213612184682244e-12,6.1215375313943836e-12,6.121365059475162e-12,6.1213655560598715e-12,5.458212419355391e-12,5.458212419355391e-12,4.9419586712982594e-12,4.941964588782949e-12,4.1499438046175096e-14,3.292017910571517e-16,1.3977700851796132e-16,3.0286887120590686e-17,1.5437439261304895e-17,1.5191579803087578e-20,2.883659113118592e-17,1.5395356095976615e-17,2.2298005095124434e-18,6.777874916980812e-18,2.6891585525192264e-20
2.4763931985310664e-13,0.1122453720074718,0.9,0.0,0.0,0.0,0.0,0.09999999993343343,1.7048464785505367e-11,1.6975346283778986e-11,1.17794933408267e-11,1.1779518290906377e-11,1.0202082491564635e-11,1.0202602017678235e-11,1.0202307312273132e-11,1.02023087696263e-11,9.09705360062724e-12,9.09705360062724e-12,8.236623784316959e-12,8.236641228711602e-12,7.20642222836451e-14,9.695583268078527e-16,4.118403053803416e-16,8.922624220037061e-17,4.891492184453805e-17,8.281027903755305e-20,8.500293729209321e-17,4.8685976885742713e-17,6.573323933621741e-18,1.9901962880859057e-17,1.4613467975779083e-19
3.3678995867339574e-13,0.11224537201016166,0.9,0.0,0.0,0.0,0.0,0.09999999990946934,2.3185953495385188e-11,2.308447557149523e-11,1.602012835691039e-11,1.6020173471455622e-11,1.387462216940003e-11,1.3875561314525639e-11,1.3875153043135052e-11,1.3875155668423797e-11,1.237201066298927e-11,1.237201066298927e-11,1.1201820523130844e-11,1.1201852066133115e-11,9.957044306716472e-14,1.7522735948212503e-15,7.44449771718715e-16,1.6127416810994742e-16,9.058370558349315e-17,1.9254742871632963e-19,1.536987833136573e-16,9.005189904071333e-17,1.1885906881781342e-17,3.589835628518413e-17,3.3925911406348916e-19
4.2594059749368484e-13,0.11224537201285155,0.9,0.0,0.0,0.0,0.0,0.09999999988550524,2.932344628386164e-11,2.919337171871939e-11,2.0260760552682693e-11,2.026083146976682e-11,1.754704607306664e-11,1.7548521944199346e-11,1.7547996347662787e-11,1.7548000457236293e-11,1.5646967724522887e-11,1.5646967724522887e-11,1.4167015290101495e-11,1.416706487389777e-11,1.2707546701418161e-13,2.7531927616200966e-15,1.1698561709899488e-15,2.5341234069293713e-16,1.4450806502619125e-16,3.6951004390935646e-19,2.416016734230581e-16,1.434885465649834e-16,1.8683973142959123e-17,5.629258869857401e-17,6.500084172985327e-19
5.150912363139739e-13,0.11224537201554141,0.9,0.0,0.0,0.0,0.0,0.09999999986154115,3.546094292500285e-11,3.5302047743611895e-11,2.4501390084373615e-11,2.4501492129674912e-11,2.1219360693879317e-11,2.1221483832866657e-11,2.1220837364027263e-11,2.122084325294523e-11,1.8921924785273985e-11,1.8921924785273985e-11,1.7132208194458366e-11,1.7132279542859224e-11,1.5457947048985017e-13,3.960015544144676e-15,1.6828476411399257e-15,3.645086305119473e-16,2.1004319057850784e-16,6.226507023134579e-19,3.4764743307976396e-16,2.0832686232848253e-16,2.688523631280441e-17,8.081533417769302e-17,1.093677547711863e-18
6.933925139545521e-13,0.1122453720209212,0.9,0.0,0.0,0.0,0.0,0.09999999981361297,4.773594499321057e-11,4.75188983545509e-11,3.2982643072371524e-11,3.2982819518989134e-11,2.856374094339616e-11,2.8567410481306932e-11,2.8566514189442483e-11,2.8566524299129626e-11,2.5471838904991665e-11,2.5471838904991665e-11,2.3062589755518894e-11,2.306271312520397e-11,2.0958522054309688e-13,6.842605728972622e-15,2.908360485255912e-15,6.298793086311934e-16,3.6768953906035583e-16,1.3392280908739043e-18,6.011128004136078e-16,3.6400361867716283e-16,4.6487728815082856e-17,1.3920207868229014e-16,2.34669229231903e-18
8.716937915951303e-13,0.11224537202630096,0.9,0.0,0.0,0.0,0.0,0.0999999997656848,6.001096130241819e-11,5.97349369861012e-11,4.1463886212854043e-11,4.146415674599288e-11,3.590771789671479e-11,3.591334178348218e-11,3.591218258829718e-11,3.591219797799957e-11,3.202175302181684e-11,3.202175302181684e-11,2.8992964431610378e-11,2.8993153587280117e-11,2.6458731423175643e-13,1.0484505980158605e-14,4.457021676103875e-15,9.651648795351647e-16,5.685393022958679e-16,2.4440852087937453e-18,9.216397522164301e-16,5.618221736913187e-16,7.127701227669431e-17,2.1263492060172068e-16,4.273043395755357e-18
1e-12,0.11224537203168077,0.9,0.0,0.0,0.0,0.0,0.09999999973119553,6.884411437444866e-11,6.852510455823859e-11,4.756701123962839e-11,4.756736248307685e-11,4.1192202679869226e-11,4.1199502114287235e-11,4.1198145106859747e-11,4.119816498011183e-11,3.673509359058554e-11,3.673509359058554e-11,3.326047775583575e-11,3.3260723345409764e-11,3.0416459756210746e-13,1.3605982749891337e-14,5.784636598203885e-15,1.252546858036924e-15,7.417591426095114e-16,3.549801961990547e-18,1.196597510335715e-15,7.320136988529407e-16,9.25422886496202e-17,2.7531023546568337e-16,6.195641794580088e-18
1.0499950692357084e-12,0.11224537203168077,0.9,0.0,0.0,0.0,0.0,0.09999999971775662,7.228599281854606e-11,7.195011003049604e-11,4.9945118837898016e-11,4.994550447741601e-11,4.325126473864014e-11,4.325927805502998e-11,4.325784201456784e-11,4.3257863789853165e-11,3.857166713555331e-11,3.857166713555331e-11,3.492333175574899e-11,3.492360139571635e-11,3.1958551089021655e-13,1.4935748014395853e-14,6.350256071473628e-15,1.3749746556450692e-15,8.157554974051376e-16,4.0510429252991594e-18,1.3137754084937001e-15,8.046381204607114e-16,1.0160489820119331e-16,3.0196000887107115e-16,7.066334019127082e-18
1.4065976245168649e-12,0.11224537204244033,0.9,0.0,0.0,0.0,0.0,0.09999999962190027,9.683610232836833e-11,9.637781997435209e-11,6.690755194920735e-11,6.690823204198896e-11,5.793704730527083e-11,5.795116578616905e-11,5.7949133604277327e-11,5.7949171369251865e-11,5.1671495353586086e-11,5.1671495353586086e-11,4.67840439339424e-11,4.678451946558007e-11,4.295700331587967e-13,2.6302455733374637e-14,1.1186701244208246e-14,2.421516226383329e-15,1.4533723822274136e-15,9.35924004116241e-18,2.316898229554478e-15,1.4277799078106307e-15,1.791885940403794e-16,5.280853186955848e-16,1.623323437562034e-17
1.7632001797980213e-12,0.11224537205320004,0.9,0.0,0.0,0.0,0.0,0.09999999952604392,1.2138627361500557e-10,1.208020349452901e-10,8.386994234246814e-11,8.387100227214954e-11,7.262109045244328e-11,7.264307370481296e-11,7.26403891064366e-11,7.264044698955244e-11,6.477132355907125e-11,6.477132355907125e-11,5.864472624547089e-11,5.864546737939087e-11,5.395388171577326e-13,4.0935604830315586e-14,1.74157429572684e-14,3.768868778907151e-15,2.282689985377474e-15,1.798346559172725e-17,3.610904167444276e-15,2.233679674864776e-15,2.792725134987097e-16,8.162904034694038e-16,3.1026844920970845e-17
