Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107)
8.18449439982026e-14,0.11224537200246942,0.9,0.0,0.0,0.0,0.0,0.09999999997799965,5.6345233779249636e-12,5.613543590255147e-12,3.8931326155826565e-12,3.893134516027444e-12,3.3719173757606327e-12,3.3719645829536606e-12,3.3718712814200417e-12,3.3718714143537605e-12,3.0065816815803745e-12,3.0066239755769195e-12,2.722211199278948e-12,2.7222127103663146e-12,2.0884776016932208e-14,8.839629372215404e-17,3.7506804184800946e-17,8.127658957313139e-18,4.78455245057227e-17,1.7833623436954712e-21,7.736172393141255e-18,3.4890477788437606e-18,5.981233756909098e-19,1.8228771523869194e-18,3.163352888003828e-21,1.5410669633122898e-19,6.560651059463393e-20,1.0331121954926774e-19,7.622392560709695e-20,1.0123793573145808e-19,1.528908528044783e-26,2.1231434319913036e-18,4.2293984764591047e-17,1.7272586150946093e-24,2.665400631559802e-19
1.0769120780449657e-13,0.11224537200324929,0.9,0.0,0.0,0.0,0.0,0.09999999997105204,7.413881087965105e-12,7.384848034412907e-12,5.122565854267081e-12,5.122569170865031e-12,4.436734519511929e-12,4.4368159895018164e-12,4.4366926063690904e-12,4.436692836120695e-12,3.956046602563452e-12,3.956102923222895e-12,3.581872880938631e-12,3.5818755156323863e-12,2.8868672889584256e-14,1.5244204886517376e-16,6.469936000297486e-17,1.4019954778483423e-17,6.48581919069618e-17,4.027505378994671e-21,1.3345298775602127e-17,6.489480671494501e-18,1.0318502140588232e-18,3.1427443702269354e-18,7.141026426588351e-21,2.0934436052606978e-19,8.632428243012457e-20,1.4016776035136434e-19,1.0364988631885432e-19,1.381088313684167e-19,2.789352516061071e-26,2.123213624883304e-18,5.632063866025211e-17,3.040806403458181e-24,4.598201806924552e-19
1.593837354170845e-13,0.11224537200480894,0.9,0.0,0.0,0.0,0.0,0.09999999995715683,1.097259813196523e-11,1.0927369296260197e-11,7.581431208820566e-12,7.581439339007195e-12,6.566322604761595e-12,6.566519333333755e-12,6.56633428491587e-12,6.566334839623455e-12,5.854976444199673e-12,5.855060817847206e-12,5.301195459223713e-12,5.301201910674621e-12,4.483049687943768e-14,3.6770560029671264e-16,1.5612962127292526e-16,3.383004144593578e-17,1.0371467148290597e-16,1.7406471604664842e-20,3.221060507960473e-17,1.729688900018638e-17,2.4907056375221495e-18,7.57003278795075e-18,3.0810080617256183e-20,3.196786679890901e-19,1.277599099338245e-19,2.1379256660364725e-19,1.5842877421523516e-19,2.1174444952758838e-19,7.234322005117549e-26,2.1236940304693125e-18,8.437359594229273e-17,7.861723207680899e-24,1.1099223439998617e-18
2.1107626302967245e-13,0.11224537200636865,0.9,0.0,0.0,0.0,0.0,0.09999999994326163,1.4531316475057011e-11,1.4469825299501519e-11,1.0040295665073524e-11,1.0040310193868194e-11,8.695873746274434e-12,8.696223101698748e-12,8.69597518732779e-12,8.695976171065154e-12,7.753906285571933e-12,7.754018712656098e-12,7.020517409447646e-12,7.0205289333007756e-12,6.078275307509265e-14,6.526557519470817e-16,2.7717924965783497e-16,6.005592340202678e-17,1.4644546637993535e-16,4.1157142207040924e-20,5.719382876281073e-17,3.194995058884522e-17,4.422708207706243e-18,1.3420696951296786e-17,7.277227712483106e-20,4.300142181983387e-19,1.6919643315286232e-19,2.8741992369922065e-19,2.1320708518765648e-19,2.853730314839882e-19,1.3218320145902844e-25,2.1237279786831448e-18,1.1242699152077301e-16,1.4668874015524236e-23,1.9708682444053478e-18
3.144613182548483e-13,0.11224537200948802,0.9,0.0,0.0,0.0,0.0,0.0999999999154712,2.1648758357608307e-11,2.1554444112509125e-11,1.4958020984379958e-11,1.495805465035796e-11,1.2954828379233062e-11,1.2955632336532012e-11,1.2955253893721719e-11,1.2955256145705766e-11,1.1551765967260613e-11,1.1551934501292893e-11,1.045915879765274e-11,1.0459185488884766e-11,9.268149698732476e-14,1.5009618049693706e-15,6.376417319782756e-16,1.3814008165168977e-16,2.474571465288387e-16,1.5041928956697625e-19,1.316315981830991e-16,7.663590556053186e-17,1.0179302689478461e-17,3.077386346314516e-17,2.6521219445907934e-19,6.50685888846544e-19,2.5207824453551435e-19,4.346755541283854e-19,3.227635788102856e-19,4.326276044218806e-19,3.134240108832008e-25,2.123730796854154e-18,1.6853381655784962e-16,3.767372567155791e-23,4.536127355667219e-18
4.178463734800242e-13,0.11224537201260737,0.9,0.0,0.0,0.0,0.0,0.09999999988768078,2.8766205436524433e-11,2.863876617476455e-11,1.9875742710489537e-11,1.9875801853499496e-11,1.721363548688281e-11,1.721504326946277e-11,1.7214529507746426e-11,1.7214533432105036e-11,1.534962564789345e-11,1.5349850288887395e-11,1.38977976736169e-11,1.389784455479842e-11,1.2457837120491431e-13,2.627333218619928e-15,1.1163533066093505e-15,2.418258840392041e-16,3.640733429021114e-16,3.4169190980445637e-19,2.3054033970493494e-16,1.3670079086196584e-16,1.7828487267172803e-17,5.3737508241540626e-17,6.0125195287729865e-19,8.713577552881667e-19,3.3497401952993283e-19,5.819313354468462e-19,4.323201341831558e-19,5.798819870559863e-19,5.562256626160056e-25,2.1237312944638586e-18,2.2464061416804054e-16,7.151980109427301e-23,7.944746139492118e-18
5.212314287052001e-13,0.11224537201572675,0.9,0.0,0.0,0.0,0.0,0.09999999985989036,3.588365771180214e-11,3.572279135829969e-11,2.4793460843404875e-11,2.4793551803176197e-11,2.147229519385991e-11,2.1474455900487427e-11,2.14738020354166e-11,2.1473808030264408e-11,1.9147485327470447e-11,1.9147766075438768e-11,1.7336434037341962e-11,1.7336506131039905e-11,1.564738445804666e-13,4.031430000644524e-15,1.7131999498749611e-15,3.710826169389912e-16,4.963484263640574e-16,6.352003766441568e-19,3.5391970339117774e-16,2.121439310836401e-16,2.7370262695305743e-17,8.227057401567017e-17,1.1157191234221126e-18,1.0920297856670025e-18,4.178889733639547e-19,7.29187204581312e-19,5.418767678845798e-19,7.271364049206748e-19,8.60588178565454e-25,2.1237317605322422e-18,2.807473835180748e-16,1.1766282859691568e-22,1.2196716958045608e-17
7.280015391555518e-13,0.11224537202196552,0.9,0.0,0.0,0.0,0.0,0.09999999980430951,5.011857445788986e-11,4.989014588661569e-11,3.462888867623683e-11,3.4629058148118e-11,2.9989269053609345e-11,2.9993285147848616e-11,2.999233986575216e-11,2.9992350917453196e-11,2.6743204684146442e-11,2.6743597646097698e-11,2.4213700868726418e-11,2.4213835175102962e-11,2.2026164194480383e-13,7.490374948539699e-15,3.183795732448229e-15,6.895143592689335e-16,7.978167002804471e-16,1.5248034656683697e-18,6.581083985267315e-16,3.9912002848998993e-16,5.089561074517675e-17,1.5228160973909719e-16,2.6704510834199648e-18,1.5333742247095734e-18,5.837801349083787e-19,1.0236991366537569e-18,7.60990222486839e-19,1.0216453733342074e-18,1.6137928649800691e-24,2.1237328125207584e-18,3.9296086023489056e-16,2.433444993157724e-22,2.2679930494197842e-17
9.347716496059036e-13,0.11224537202820425,0.9,0.0,0.0,0.0,0.0,0.09999999974872867,6.435351031282519e-11,6.405641126430291e-11,4.446430329563385e-11,4.4464574592081586e-11,3.8505701902113804e-11,3.8512120639678524e-11,3.8510866395771195e-11,3.851088391903711e-11,3.433892403693972e-11,3.4339429212932505e-11,3.1090958461726935e-11,3.10911734505217e-11,2.8404453512124355e-13,1.1967796769604041e-14,5.087870676499301e-15,1.1017249213532808e-15,1.1573161694874208e-15,2.958026816386835e-18,1.0522813968123487e-15,6.426420935839579e-16,8.138069662560552e-17,2.424366638475711e-16,5.166960441797828e-18,1.974719255507512e-18,7.497853852865372e-19,1.318211370448186e-18,9.801039710101314e-19,1.316154558226027e-18,2.5933790075697627e-24,2.1237340783387945e-18,5.051742448649717e-16,4.264120507408194e-22,3.626438680197461e-17
1e-12,0.11224537203444308,0.9,0.0,0.0,0.0,0.0,0.09999999973119496,6.884411226753066e-11,6.852510430555866e-11,4.75670112367561e-11,4.7567319837548185e-11,4.1192202535972285e-11,4.119950070752502e-11,4.119814510529395e-11,4.1198164976474936e-11,3.6735093590564395e-11,3.673563416596727e-11,3.326047775243719e-11,3.32607222995792e-11,3.0416459841151693e-13,1.3606207152493348e-14,5.7847456224291835e-15,1.2525677806841915e-15,1.2837001312285946e-15,3.5589464581685805e-18,1.196632450707829e-15,7.3203421968389e-16,9.254484374033762e-17,2.7529993618379546e-16,6.211012212904104e-18,2.1139474808681697e-18,8.021865967125887e-19,1.4111191947276252e-18,1.0492263496548326e-18,1.4090614009433634e-18,2.9527294131882176e-24,2.1237345210224824e-18,5.405734142409359e-16,4.989628122499841e-22,4.123921133253218e-17
