Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165)
7.375541643813964e-14,0.11224537200222535,0.9,0.0,0.0,0.0,0.0,0.0999999999801742,5.077607584158127e-12,5.059124167517504e-12,3.508337681115841e-12,3.508337681115841e-12,3.0386499382245183e-12,3.038680311103951e-12,3.0385975092520666e-12,3.0385975092520666e-12,2.709412129203936e-12,2.709412129203936e-12,2.453149447795545e-12,2.453149447795545e-12,1.8411825093135967e-14,7.159154748701171e-17,3.0372879433124024e-17
9.482871922042157e-14,0.11224537200286121,0.9,0.0,0.0,0.0,0.0,0.0999999999745096,6.528375096354912e-12,6.503348647482741e-12,4.510735413752471e-12,4.510735413752471e-12,3.906838050124202e-12,3.906888143677636e-12,3.906781683787065e-12,3.906781683787065e-12,3.483541880085956e-12,3.483541880085956e-12,3.1540601547452105e-12,3.1540601547452105e-12,2.4908405466617263e-14,1.1804340555290893e-16,5.009355343356989e-17
1.369753247849854e-13,0.11224537200413286,0.9,0.0,0.0,0.0,0.0,0.0999999999631804,9.429910120337584e-12,9.391721405946525e-12,6.515530878741825e-12,6.515530878741825e-12,5.6431896414915206e-12,5.643303808579104e-12,5.643150032611165e-12,5.643150032611165e-12,5.031801381630741e-12,5.031801381630741e-12,4.555881568446026e-12,4.555881568446026e-12,3.7919801891773524e-14,2.6891249928425123e-16,1.1416708758357727e-16
1.7912193034954928e-13,0.11224537200540446,0.9,0.0,0.0,0.0,0.0,0.0999999999518512,1.2331445143991534e-11,1.2280052349558067e-11,8.520326343504052e-12,8.520326343504052e-12,7.379521536566265e-12,7.37971947328385e-12,7.379518381238551e-12,7.379518381238551e-12,6.580060883000121e-12,6.580060883000121e-12,5.957702981988026e-12,5.957702981988026e-12,5.0926669724673815e-14,4.661247087934332e-16,1.979367175864113e-16
2.6341514147867697e-13,0.11224537200794778,0.9,0.0,0.0,0.0,0.0,0.09999999992919281,1.8134515189984557e-11,1.8056532352372942e-11,1.2529917272119995e-11,1.2529917272119995e-11,1.0852106603053839e-11,1.0852550801906458e-11,1.0852255077706453e-11,1.0852255077706453e-11,9.676579885037261e-12,9.676579885037261e-12,8.761345808436764e-12,8.761345808436764e-12,7.69371003461238e-14,1.0457372654885755e-15,4.441988526197799e-16
3.477083526078047e-13,0.1122453720104911,0.9,0.0,0.0,0.0,0.0,0.09999999990653442,2.3937585234662692e-11,2.3832828533740288e-11,1.6539508199827432e-11,1.6539508199827432e-11,1.432461300733986e-11,1.4325382129742174e-11,1.4324991773387493e-11,1.4324991773387493e-11,1.2773098886372778e-11,1.2773098886372778e-11,1.1564988634250243e-11,1.1564988634250243e-11,1.0294634717273199e-13,1.8103537496733702e-15,7.691224023179293e-16
4.3200156373693246e-13,0.11224537201303442,0.9,0.0,0.0,0.0,0.0,0.09999999988387603,2.9740655278025946e-11,2.960894077324899e-11,2.054909912662636e-11,2.054909912662636e-11,1.779704081083671e-11,1.7798213456791005e-11,1.7797728468281666e-11,1.7797728468281666e-11,1.5869617887006674e-11,1.5869617887006674e-11,1.4368631459428461e-11,1.4368631459428461e-11,1.2895471465229979e-13,2.759790124655886e-15,1.1726459543011357e-15
6.005879859951878e-13,0.112245372018121,0.9,0.0,0.0,0.0,0.0,0.09999999983855926,4.134679536166651e-11,4.116073401515156e-11,2.8568280978091996e-11,2.8568280978091996e-11,2.474171213690638e-11,2.4743876109041887e-11,2.474320185622328e-11,2.474320185622328e-11,2.2062655886627806e-11,2.2062655886627806e-11,1.997591710829398e-11,1.997591710829398e-11,1.8096949284874363e-13,5.091853666205874e-15,2.1639721355154488e-15
7.691744082534433e-13,0.1122453720232076,0.9,0.0,0.0,0.0,0.0,0.09999999979324248,5.295293544047178e-11,5.271185217134288e-11,3.658746282621673e-11,3.658746282621673e-11,3.168609492930447e-11,3.1689538758399104e-11,3.168867524127131e-11,3.168867524127131e-11,2.8255693883668818e-11,2.8255693883668818e-11,2.5583202754823422e-11,2.5583202754823422e-11,2.329812294357107e-13,8.10203969319626e-15,3.4438290946492468e-15
9.377608305116988e-13,0.11224537202829417,0.9,0.0,0.0,0.0,0.0,0.0999999997479257,6.455907551409639e-11,6.426224824319134e-11,4.460664467076191e-11,4.460664467076191e-11,3.86301689878996e-11,3.8635201404655965e-11,3.863414862321907e-11,3.863414862321907e-11,3.444873187794543e-11,3.444873187794543e-11,3.119048839884992e-11,3.119048839884992e-11,2.8498971142246065e-13,1.1837559482594719e-14,5.032416756368008e-15
1e-12,0.11224537203846736,0.9,0.0,0.0,0.0,0.0,0.09999999973119554,6.884386019156794e-11,6.852626758133917e-11,4.7567186873026976e-11,4.7567186873026976e-11,4.119372070046775e-11,4.119941902505159e-11,4.1198296370529716e-11,4.1198296370529716e-11,3.673509359136119e-11,3.673509359136119e-11,3.326060055132438e-11,3.326060055132438e-11,3.0418950104722414e-13,1.3403109181565621e-14,5.6983245838500205e-15
1.2749336750282096e-12,0.11224537203846736,0.9,0.0,0.0,0.0,0.0,0.09999999965729214,8.777135564547815e-11,8.736083701012873e-11,6.064500834888879e-11,6.064500834888879e-11,5.25173742784306e-11,5.2526526687673865e-11,5.252509537761902e-11,5.252509537761902e-11,4.683480785803179e-11,4.683480785803179e-11,4.2405059679236875e-11,4.2405059679236875e-11,3.889967559240881e-13,2.152187942535093e-14,9.15240924327068e-15
1.6121065195447205e-12,0.11224537204864055,0.9,0.0,0.0,0.0,0.0,0.09999999956665859,1.1098363575581849e-10,1.1045651133570971e-10,7.668337201247723e-11,7.668337201247723e-11,6.640333179462847e-11,6.641785195809957e-11,6.641604211942713e-11,6.641604211942713e-11,5.922088382689044e-11,5.922088382689044e-11,5.361963094945806e-11,5.361963094945806e-11,4.929906754513027e-13,3.4133744657504984e-14,1.452016347111406e-14
2.2864522085777425e-12,0.11224537206898699,0.9,0.0,0.0,0.0,0.0,0.09999999938539146,1.574081959133837e-10,1.5663917746612754e-10,1.087600992960449e-10,1.087600992960449e-10,9.417152406509558e-11,9.420050246117971e-11,9.419793556527306e-11,9.419793556527306e-11,8.399303573092931e-11,8.399303573092931e-11,7.604877345940738e-11,7.604877345940738e-11,7.009394129948831e-13,6.807903426123709e-14,2.8978396084163404e-14
2.9607978976107644e-12,0.11224537208933336,0.9,0.0,0.0,0.0,0.0,0.09999999920412433,2.0383275598679494e-10,2.0281032805825076e-10,1.4083682652146698e-10,1.4083682652146698e-10,1.2193477325102235e-10,1.2198315291389816e-10,1.219798289607587e-10,1.219798289607587e-10,1.0876518759006364e-10,1.0876518759006364e-10,9.847791592869934e-11,9.847791592869934e-11,9.088362906170629e-13,1.1359163792709129e-13,4.83796628758366e-14
3.6351435866437863e-12,0.11224537210967979,0.9,0.0,0.0,0.0,0.0,0.09999999902285721,2.502573159760532e-10,2.4897005094289944e-10,1.7291355368874413e-10,1.7291355368874413e-10,1.4969310897756333e-10,1.4976580331625548e-10,1.497617223058846e-10,1.497617223058846e-10,1.3353733940429391e-10,1.3353733940429391e-10,1.2090705835733437e-10,1.2090705835733437e-10,1.1166817038606918e-12,1.7058332929305732e-13,7.269433869213835e-14
4.309489275676808e-12,0.11224537213002617,0.9,0.0,0.0,0.0,0.0,0.09999999884159008,2.9668187588115873e-10,2.9511843561133617e-10,2.0499028079787662e-10,2.0499028079787662e-10,1.7744656146840637e-10,1.775484536682519e-10,1.775436156006509e-10,1.775436156006509e-10,1.5830949117362037e-10,1.5830949117362037e-10,1.4333620074531266e-10,1.4333620074531266e-10,1.324476055748536e-12,2.3896421407399075e-13,1.0189219984552998e-13
5.658180653742851e-12,0.11224537217071894,0.9,0.0,0.0,0.0,0.0,0.09999999847905583,3.8953099543891205e-10,3.873815174748194e-10,2.6914373484170757e-10,2.6914373484170757e-10,2.329389274924268e-10,2.33113754221162e-10,2.33107402039105e-10,2.33107402039105e-10,2.0785379457756177e-10,2.0785379457756177e-10,1.881944853992991e-10,1.881944853992991e-10,1.7399130488823032e-12,4.095649152103675e-13,1.7482672873523258e-13
7.006872031808895e-12,0.11224537221141172,0.9,0.0,0.0,0.0,0.0,0.09999999811652158,4.823801146600553e-10,4.796002777010732e-10,3.332971886529602e-10,3.332971886529602e-10,2.8841210991340875e-10,2.886790545726288e-10,2.8867118827612125e-10,2.8867118827612125e-10,2.5739809780188806e-10,2.5739809780188806e-10,2.330527698906588e-10,2.330527698906588e-10,2.1551504406985536e-12,6.246865182834079e-13,2.669446592200467e-13
8.355563409874939e-12,0.11224537225210449,0.9,0.0,0.0,0.0,0.0,0.09999999775398732,5.752292335445886e-10,5.717754467124935e-10,3.9745064223163456e-10,3.9745064223163456e-10,3.4386635702184523e-10,3.442443547226523e-10,3.4423497431169975e-10,3.4423497431169975e-10,3.069424008465994e-10,3.069424008465994e-10,2.7791105421939185e-10,2.7791105421939185e-10,2.5701915206374867e-12,8.835953114575554e-13,3.7799770080706084e-13
1e-11,0.11224537233349013,0.9,0.0,0.0,0.0,0.0,0.09999999731195545,6.88438593612802e-10,6.841050900129433e-10,4.756718629934548e-10,4.756718629934548e-10,4.114555050124155e-10,4.119941852816825e-10,4.119829587365991e-10,4.119829587365991e-10,3.673509314831971e-10,3.673509314831971e-10,3.326060015018674e-10,3.326060015018674e-10,3.0759829724966236e-12,1.257520627361955e-12,5.386802692670637e-13
1.1052946166007027e-11,0.11224537233349013,0.9,0.0,0.0,0.0,0.0,0.09999999702891883,7.609274703038243e-10,7.559977549968086e-10,5.257575486912481e-10,5.257575486912481e-10,4.5471898509013284e-10,4.553749544183692e-10,4.5536254577854305e-10,4.5536254577854305e-10,4.060310063971768e-10,4.060310063971768e-10,3.676276223889778e-10,3.676276223889778e-10,3.3996971019838688e-12,1.530018205031752e-12,6.559693282364101e-13
1.3750328922139114e-11,0.11224537241487569,0.9,0.0,0.0,0.0,0.0,0.09999999630385034,9.466257057166189e-10,9.400538635249467e-10,6.540644542205477e-10,6.540644542205477e-10,5.654986713753055e-10,5.665055533083126e-10,5.664901164396347e-10,5.664901164396347e-10,5.051196112292939e-10,5.051196112292939e-10,4.573441899080568e-10,4.573441899080568e-10,4.228454207140833e-12,2.34338798453144e-12,1.0068819330071087e-12
1.6447711678271202e-11,0.11224537249626128,0.9,0.0,0.0,0.0,0.0,0.09999999557878188,1.1323239397829723e-09,1.123948990004292e-09,7.823713588195335e-10,7.823713588195335e-10,6.762072180348478e-10,6.776361513924821e-10,6.776176862949746e-10,6.776176862949746e-10,6.042082153429509e-10,6.042082153429509e-10,5.470607567766287e-10,5.470607567766287e-10,5.056486333914467e-12,3.318463444765842e-12,1.4289333576344394e-12
1.914509443440329e-11,0.11224537257764684,0.9,0.0,0.0,0.0,0.0,0.0999999948537134,1.318022172502884e-09,1.3076881793996189e-09,9.10678262488205e-10,9.10678262488205e-10,7.868463800112199e-10,7.88766748670878e-10,7.887452553445627e-10,7.887452553445627e-10,7.032968187381476e-10,7.032968187381476e-10,6.367773229946935e-10,6.367773229946935e-10,5.883816202169721e-12,4.450176901095118e-12,1.9203686596581215e-12
2.1842477190535378e-11,0.11224537265903244,0.9,0.0,0.0,0.0,0.0,0.09999999412864492,1.5037204038763528e-09,1.4912763188054635e-09,1.0389851652265623e-09,1.0389851652265623e-09,8.974178693113637e-10,8.998973451434997e-10,8.998728235883987e-10,8.998728235883987e-10,8.023854214148839e-10,8.023854214148839e-10,7.26493888562251e-10,7.26493888562251e-10,6.710465820807143e-12,5.733619250082102e-12,2.4794758321362126e-12
2.723724270279955e-11,0.11224537282180361,0.9,0.0,0.0,0.0,0.0,0.09999999267850801,1.8751168625839622e-09,1.8580182887139376e-09,1.295598967912333e-09,1.295598967912333e-09,1.1183644828317244e-09,1.1221585356714206e-09,1.1221279576588137e-09,1.1221279576588137e-09,1.0005626246129762e-09,1.0005626246129762e-09,9.059270177458438e-10,9.059270177458438e-10,8.36180915946572e-12,8.736764710558933e-12,3.794052839696677e-12
3.2632008215063725e-11,0.11224537298457479,0.9,0.0,0.0,0.0,0.0,0.09999999122837114,2.246513315905798e-09,2.2242110307982615e-09,1.5522127668768438e-09,1.5522127668768438e-09,1.3390599345515018e-09,1.3444197229762438e-09,1.3443830885062191e-09,1.3443830885062191e-09,1.198739824937227e-09,1.198739824937227e-09,1.0853601443274068e-09,1.0853601443274068e-09,1.00106790651985e-11,1.2291606042337539e-11,5.359788424742189e-12
3.80267737273279e-11,0.11224537314734585,0.9,0.0,0.0,0.0,0.0,0.09999998977823425,2.6179097638418564e-09,2.5898884281986458e-09,1.8088265621200935e-09,1.8088265621200935e-09,1.5595164683359866e-09,1.5666809070579683e-09,1.5666382161306133e-09,1.5666382161306133e-09,1.3969170223876371e-09,1.3969170223876371e-09,1.2647932683069383e-09,1.2647932683069383e-09,1.1657228129828163e-11,1.6364107513382456e-11,7.1644387219821335e-12
4.3421539239592076e-11,0.11224537331011702,0.9,0.0,0.0,0.0,0.0,0.09999998832809741,2.9893062063921336e-09,2.9550822804841504e-09,2.0654403536420807e-09,2.0654403536420807e-09,1.7797457327753276e-09,1.7889420879165928e-09,1.7888933405319952e-09,1.7888933405319952e-09,1.5950942169642063e-09,1.5950942169642063e-09,1.4442263896844388e-09,1.4442263896844388e-09,1.3301599561870025e-11,2.092232634611403e-11,9.196355141265456e-12
4.881630475185625e-11,0.11224537347288815,0.9,0.0,0.0,0.0,0.0,0.09999998687796056,3.3607026435566284e-09,3.319822438151423e-09,2.3220541414428037e-09,2.3220541414428037e-09,1.9997588117690267e-09,2.0112032655521164e-09,2.011148461710364e-09,2.011148461710364e-09,1.793271408666935e-09,1.793271408666935e-09,1.6236595084599072e-09,1.6236595084599072e-09,1.4943927792243516e-11,2.5936277612962414e-11,1.1444453783089905e-11
5.421107026412043e-11,0.11224537363565934,0.9,0.0,0.0,0.0,0.0,0.09999998542782376,3.732099075335336e-09,3.6841369153023528e-09,2.5786679255222607e-09,2.5786679255222607e-09,2.2195662502889198e-09,2.233464439964537e-09,2.233403579665718e-09,2.233403579665718e-09,1.9914485974958225e-09,1.9914485974958225e-09,1.803092624633342e-09,1.803092624633342e-09,1.6584338981713e-11,3.1377821051270375e-11,1.3898189675617569e-11
5.96058357763846e-11,0.1122453737984305,0.9,0.0,0.0,0.0,0.0,0.09999998397768696,4.103495501728254e-09,4.048051986977241e-09,2.83528170588045e-09,2.83528170588045e-09,2.439178076842022e-09,2.455725611153854e-09,2.455658694398056e-09,2.455658694398056e-09,2.189625783450869e-09,2.189625783450869e-09,1.9825257382047433e-09,1.9825257382047433e-09,1.8222951459225144e-11,3.722056329178896e-11,1.654753431183359e-11
7.039536680091295e-11,0.11224537412397279,0.9,0.0,0.0,0.0,0.0,0.09999998107741344,4.846288338356709e-09,4.774781051500122e-09,3.348509255433021e-09,3.348509255433021e-09,2.8778525982971924e-09,2.9002479438631755e-09,2.9001689141936823e-09,2.9001689141936823e-09,2.5859801467394416e-09,2.5859801467394416e-09,2.3413919575414417e-09,2.3413919575414417e-09,2.149521773498656e-11,5.0012069121599824e-11,2.2395345565984304e-11
8.010594472298846e-11,0.11224537441696082,0.9,0.0,0.0,0.0,0.0,0.09999997846716734,5.514801872902884e-09,5.427703149998049e-09,3.810414037303585e-09,3.810414037303585e-09,3.2720816321152867e-09,3.30031803227854e-09,3.300228100987021e-09,3.300228100987021e-09,2.9426990638706214e-09,2.9426990638706214e-09,2.6643715460455064e-09,2.6643715460455064e-09,2.4435150175997306e-11,6.266357272883785e-11,2.8236400163253723e-11
8.981652264506397e-11,0.11224537470994884,0.9,0.0,0.0,0.0,0.0,0.0999999758569213,6.183315389999052e-09,6.079671500258301e-09,4.27231880711722e-09,4.27231880711722e-09,3.665811894761077e-09,3.7003881102510323e-09,3.700287277337771e-09,3.700287277337771e-09,3.2994179716905574e-09,3.2994179716905574e-09,2.9873511261189714e-09,2.9873511261189714e-09,2.737078743714459e-11,7.62731023036066e-11,3.457621548995608e-11
9.952710056713948e-11,0.1122453750029369,0.9,0.0,0.0,0.0,0.0,0.09999997324667534,6.851828889645193e-09,6.730789464055578e-09,4.734223564873916e-09,4.734223564873916e-09,4.059086316950578e-09,4.100458177780644e-09,4.100346443245926e-09,4.100346443245926e-09,3.656136870199251e-09,3.656136870199251e-09,3.310330697761831e-09,3.310330697761831e-09,3.030259500543748e-11,9.073683058417814e-11,4.1371860830068044e-11
9.999999999999999e-11,0.11224537529592492,0.9,0.0,0.0,0.0,0.0,0.0999999731195579,6.884385103400149e-09,6.762478461071379e-09,4.756718054567721e-09,4.756718054567721e-09,4.078227608532023e-09,4.119941354473935e-09,4.119829089036671e-09,4.119829089036671e-09,3.6735088704900915e-09,3.6735088704900915e-09,3.3260596127028996e-09,3.3260596127028996e-09,3.0445281948079126e-11,9.146136038069367e-11,4.171374594191303e-11
1.0923767848921499e-10,0.11224537529592492,0.9,0.0,0.0,0.0,0.0,0.09999997063642944,7.520342371841288e-09,7.38114921515409e-09,5.196128310573663e-09,5.196128310573663e-09,4.451944138036235e-09,4.500528234867372e-09,4.500405598711479e-09,4.500405598711479e-09,4.012855759396701e-09,4.012855759396701e-09,3.6333102609740805e-09,3.6333102609740805e-09,3.3230987982976875e-11,1.0596216870422257e-10,4.8584096831138944e-11
1.189482564112905e-10,0.1122453755889129,0.9,0.0,0.0,0.0,0.0,0.09999996802618362,8.188855836587322e-09,8.030832933411941e-09,5.658033044216453e-09,5.658033044216453e-09,4.844421218981208e-09,4.900598281511208e-09,4.900464743734423e-09,4.900464743734423e-09,4.369574639282909e-09,4.369574639282909e-09,3.956289815755716e-09,3.956289815755716e-09,3.615633646457284e-11,1.2186656671080727e-10,5.617706253000206e-11
1.2865883433336602e-10,0.11224537588190095,0.9,0.0,0.0,0.0,0.0,0.09999996541593786,8.857369283883274e-09,8.679913887150184e-09,6.119937765802279e-09,6.119937765802279e-09,5.236550332806064e-09,5.3006683177121454e-09,5.300523878314753e-09,5.300523878314753e-09,4.726293509857873e-09,4.726293509857873e-09,4.279269362106734e-09,4.279269362106734e-09,3.9078970412164534e-11,1.3837642632092375e-10,6.411798490608328e-11
