Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66)
9.047317878270274e-12,0.11224537227299394,0.9,0.0,0.0,0.0,0.0,0.09999999756804064,6.228721771492776e-10,6.189581030154591e-10,4.303416943325397e-10,4.30369203347758e-10,3.7219086359508373e-10,3.727507464094973e-10,3.7272273914042155e-10,3.7272378453378047e-10,3.323540654252582e-10,3.323540654252582e-10,3.0090960148308844e-10,3.0092884405496496e-10,2.782460639484422e-12,1.0332363659172492e-12,4.422155080084376e-13,9.518327915283866e-14,6.43776986641859e-14,2.2261451758686705e-15,9.372227851290183e-14,5.867686137202878e-14,7.251133142130611e-15,1.80476876416387e-14,3.4746921162884383e-15,1.9291230881843905e-17
1e-11,0.11224537236055436,0.9,0.0,0.0,0.0,0.0,0.09999999731195544,6.884629008740449e-10,6.840097948968354e-10,4.756550528459292e-10,4.756886550177325e-10,4.113199069949679e-10,4.1200213772188007e-10,4.1196916904770884e-10,4.119703830955846e-10,3.6735093148232274e-10,3.6735093148232274e-10,3.325942485533993e-10,3.326177544601167e-10,3.0753524346852805e-12,1.2575682244979083e-12,5.386366989639099e-13,1.158569024144717e-13,7.929555873420162e-14,2.992658945710098e-15,1.1448259227094857e-13,7.16898343210773e-14,8.857705215576708e-15,2.1611884225222064e-14,4.6130654674142274e-15,2.1324828981523028e-17
1.194890801467917e-11,0.11224537236055436,0.9,0.0,0.0,0.0,0.0,0.09999999678808029,8.226436456692956e-10,8.170159460682651e-10,5.683519347042989e-10,5.683998988019883e-10,4.913304385179234e-10,4.922994134219274e-10,4.922551360733388e-10,4.922566940222333e-10,4.389442477895937e-10,4.389442477895937e-10,3.9741107268291574e-10,3.974446286718675e-10,3.674205533887305e-12,1.7819042618792308e-12,7.644034499263285e-13,1.6418528160851083e-13,1.150430446646094e-13,5.0670281872864535e-15,1.634170279952438e-13,1.0236330233441778e-13,1.2644953407754416e-14,2.964123374591162e-14,7.612714142905158e-15,2.548501642561229e-17
1.4560339137447175e-11,0.11224537243936218,0.9,0.0,0.0,0.0,0.0,0.09999999608611598,1.0024414667249476e-09,9.950914633043473e-10,6.925587312714975e-10,6.926299336502655e-10,5.984655101016009e-10,5.998943571106386e-10,5.998325146211054e-10,5.99834502200937e-10,5.348754112066819e-10,5.348754112066819e-10,4.842607049630485e-10,4.843105253518939e-10,4.475980950992526e-12,2.6192588816016146e-12,1.1259440715200706e-12,2.4138319537878335e-13,1.7430142598465766e-13,9.091427267279412e-15,2.4259821999673514e-13,1.5199325905126502e-13,1.8774063896483446e-14,4.1751839806795515e-14,1.3216739666113203e-14,3.1059531820404605e-17
1.717177026021518e-11,0.1122453725181732,0.9,0.0,0.0,0.0,0.0,0.09999999538415168,1.1822426029352083e-09,1.1730046092975895e-09,8.167632354712695e-10,8.168622487793294e-10,7.055166471474289e-10,7.074903839427369e-10,7.074082477134765e-10,7.074105953250136e-10,6.308065739503672e-10,6.308065739503672e-10,5.711087345161656e-10,5.711780235560437e-10,5.2770251909472355e-12,3.6066708707126955e-12,1.5535971088114257e-12,3.3243949303102006e-13,2.470213585037151e-13,1.4797656619974494e-14,3.373640636554431e-13,2.113832656057354e-13,2.6110771214332497e-14,5.51690798838089e-14,2.0840436278005166e-14,3.6634149913350534e-17
1.9783201382983184e-11,0.11224537259698752,0.9,0.0,0.0,0.0,0.0,0.09999999468218737,1.3620470542471406e-09,1.3507599452222401e-09,9.409654473459431e-10,9.410968424209765e-10,8.124855860394983e-10,8.150874938638067e-10,8.149823664192381e-10,8.149849734178088e-10,7.267377360206502e-10,7.267377360206502e-10,6.579551613718575e-10,6.580471232599898e-10,6.077358793522446e-12,4.739570243713197e-12,2.045769987425525e-12,4.369395025800807e-13,3.336565723294311e-13,2.245834671787456e-14,4.4770970137920406e-13,2.8052454577059226e-13,3.465508744838544e-14,6.966908136188797e-14,3.067367984096426e-14,4.220887070280625e-17
2.2394632505751188e-11,0.11224537267580528,0.9,0.0,0.0,0.0,0.0,0.09999999398022309,1.5418548206077476e-09,1.5283618929236019e-09,1.0651653669378905e-09,1.0653337128434103e-09,9.193740207660427e-10,9.226856868193948e-10,9.225548958889175e-10,9.225576365026972e-10,8.226688974175304e-10,8.226688974175304e-10,7.447999855597464e-10,7.449178244398157e-10,6.87700167106652e-12,6.013526641002982e-12,2.6009083380451527e-12,5.544809113234776e-13,4.346192734661286e-13,3.2337923143090974e-14,5.736303954347121e-13,3.59408570603309e-13,4.440702467905275e-14,8.506753915769079e-14,4.287277971972861e-14,4.7783694187125445e-17
2.5006063628519193e-11,0.11224537275462636,0.9,0.0,0.0,0.0,0.0,0.0999999932782588,1.721665901964091e-09,1.7058147409801029e-09,1.1893629942894468e-09,1.1895728583499134e-09,1.0261836045315344e-09,1.0302849627550467e-09,1.0301258565077529e-09,1.0301285846030212e-09,9.186000581410082e-10,9.186000581410082e-10,8.316432071094278e-10,8.317901270719797e-10,7.675973135803537e-12,7.42424325351517e-12,3.21749456190882e-12,6.846732381482962e-13,5.502869539683593e-13,4.4692958014709385e-14,7.1512152336742e-13,4.4802704796718837e-13,5.53665950259543e-14,1.0121209005256591e-13,5.756694798646158e-14,5.3358620364663903e-17
3.022892587405521e-11,0.11224537291227892,0.9,0.0,0.0,0.0,0.0,0.09999999187433024,2.081298009452384e-09,2.0602896920211176e-09,1.4377513724406248e-09,1.4380579679887496e-09,1.2395726458938412e-09,1.2454867633487498e-09,1.2452631361712883e-09,1.2452653359432648e-09,1.1104623775677562e-09,1.1104623775677562e-09,1.0053248424124793e-09,1.0055395366004006e-09,9.271976371815332e-12,1.0639371616234286e-11,4.62910821299426e-12,9.815021189007016e-13,8.271182132080694e-13,7.782025850943515e-14,1.044797112303079e-12,6.544352593613421e-13,8.09086836206233e-14,1.3524158135377266e-13,9.486269533729221e-14,6.450878079282665e-17
3.5451788119591216e-11,0.1122453730699455,0.9,0.0,0.0,0.0,0.0,0.0999999904704017,2.4409433762890587e-09,2.4142166033646884e-09,1.6861305821377922e-09,1.686552158434046e-09,1.4526651584337859e-09,1.4606928952093617e-09,1.4603943017709882e-09,1.460395227624986e-09,1.3023246943008943e-09,1.3023246943008943e-09,1.1790000675175229e-09,1.1792953516618756e-09,1.0865511725162213e-11,1.4353089792905998e-11,6.2691718827561066e-12,1.3245249932949597e-12,1.166645422950841e-12,1.2374505373913498e-13,1.4367016626035647e-12,8.99687294126745e-13,1.1128145046909699e-13,1.7098840608746007e-13,1.4321307508496111e-13,7.565935197415703e-17
