Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392),S(1634),C2F6(1110)
3.788908746356009e-08,0.11224687364248338,0.9,0.0,0.0,0.0,0.0,0.09998979294153684,2.9317214419563434e-06,1.5724707337430565e-06,1.5824723442374379e-06,1.8843294871548298e-06,7.131294741520666e-07,1.6498151751415478e-06,1.3515737791434272e-06,1.3919596392033635e-06,1.3917557314801523e-06,1.5008195026742477e-06,1.1056157836801901e-06,1.3849772472758994e-06,7.079927711142513e-09,5.2395627168974264e-08,2.1338343292688204e-08,3.6898683933244466e-09,1.6903332247242061e-06,6.818741204308548e-07,1.3736386543355984e-06,7.305566896060559e-07,1.3223969920934225e-07,2.487392485838419e-10,3.007282160760377e-07,9.088562525560216e-14,1.8463163914159206e-09,5.6417364039143905e-14,4.412062442656096e-14,5.703003733705107e-14,4.3009011942108345e-15,5.9499091177593225e-15,1.9574730531192323e-08,2.095578875792605e-08,1.1289716061980264e-14,5.875093881832071e-08,1.8209398953902104e-15,1.5650374611275136e-14,2.9321764246263716e-08,2.5060605093176545e-15,1.257426576144044e-17,5.5831962545122995e-11,1.4804222106926925e-18,1.3513545756293844e-12,2.001964278988501e-18,5.6618141382799406e-21,1.1343622490869172e-22,2.076218715321333e-19,9.81579013402972e-21,8.970207403487707e-13,6.604166500271048e-21,1.1831879077079593e-19,3.118033137633177e-22,5.591223203197987e-21,1.0829701382580198e-16,1.5586808130899826e-22,1.2960361028690965e-15
3.9579833916017114e-08,0.11224695349820411,0.9,0.0,0.0,0.0,0.0,0.09998933570042869,3.076427296919127e-06,1.611815581351866e-06,1.643867529672426e-06,1.9692532040268183e-06,7.24358827896014e-07,1.726468457556728e-06,1.4010555601563186e-06,1.4467385643793306e-06,1.453855953621043e-06,1.5737503101343484e-06,1.1483860973485498e-06,1.4517231538066174e-06,7.257074946558532e-09,5.371147487104618e-08,2.1676453348286528e-08,3.748261536404269e-09,1.8180627457280581e-06,7.299855918446454e-07,1.489419916739801e-06,7.870852337130074e-07,1.445062454833195e-07,2.578499723143888e-10,3.266332771699667e-07,9.537111542668802e-14,1.987306840548331e-09,5.89596935036962e-14,4.624667621033994e-14,5.967943743419384e-14,4.6998277937333545e-15,6.399309316381778e-15,2.1994237602065666e-08,2.3622480879154063e-08,1.1798525563773675e-14,6.415522852822579e-08,1.9884312100301207e-15,1.6404609891922063e-14,3.207857394954892e-08,2.741664066712514e-15,1.3547242932464543e-17,6.579280184913611e-11,1.6079609786991274e-18,1.6498337852608556e-12,2.1432237295556276e-18,6.229979485541995e-21,1.2989010435445316e-22,2.347290692999887e-19,1.1556267047373803e-20,1.1008049757223566e-12,7.52710385578408e-21,1.3291911761429236e-19,3.7007643593274527e-22,6.5409581386618344e-21,1.224377929898981e-16,1.7880892855853975e-22,1.6162056985120711e-15
4.127058036847414e-08,0.11224703420314248,0.9,0.0,0.0,0.0,0.0,0.09998887826193027,3.2222189423068556e-06,1.649401918648466e-06,1.7045631201183208e-06,2.054087399847953e-06,7.347422790445099e-07,1.8032929513208128e-06,1.4496010629160163e-06,1.5009373947964581e-06,1.5159557561391823e-06,1.6472452482256014e-06,1.1906484433506978e-06,1.5188114158148516e-06,7.426304620752047e-09,5.496851105424957e-08,2.19890937582551e-08,3.802256035900377e-09,1.948606275846581e-06,7.788235605382884e-07,1.6091942614578804e-06,8.449791156014119e-07,1.5733037428811913e-07,2.667883293683786e-10,3.534612376691991e-07,9.989021723100186e-14,2.1314488252300507e-09,6.149931525350907e-14,4.8383611221713685e-14,6.233472722826532e-14,5.116884495540625e-15,6.85860593931982e-15,2.4580188818452298e-08,2.64855299421304e-08,1.2306798712085848e-14,6.979750966061328e-08,2.1632970196622374e-15,1.7162713823881417e-14,3.496544656891074e-08,2.9883811670073406e-15,1.4543721454733517e-17,7.69912595259068e-11,1.7400446136313256e-18,1.9977414559257615e-12,2.286616570290357e-18,6.829943788032468e-21,1.4791290259959457e-22,2.639376007199312e-19,1.3507265274091734e-20,1.3389861816930913e-12,8.531341999615648e-21,1.4853210026613473e-19,4.360120030762488e-22,7.597869103551277e-21,1.3767487268256954e-16,2.0400243421244903e-22,1.997062375689844e-15
4.2961326820931165e-08,0.11224711573574964,0.9,0.0,0.0,0.0,0.0,0.09998842062202633,3.36908476367863e-06,1.6853083207800207e-06,1.7645694113078617e-06,2.138821119889112e-06,7.443435289506127e-07,1.8802791519172184e-06,1.4972163258754806e-06,1.5545616230269256e-06,1.5780551399403732e-06,1.7213088761610592e-06,1.2324088523511506e-06,1.586232378193082e-06,7.587970512450041e-09,5.6169363581214366e-08,2.2278182534042783e-08,3.852183139843647e-09,2.081826367427414e-06,8.283332969844063e-07,1.7328982996945393e-06,9.041773098370198e-07,1.7071328946498564e-07,2.7555543043717234e-10,3.8119452559277705e-07,1.0444256996957899e-13,2.2785881697248917e-09,6.403590128550574e-14,5.053112166021945e-14,6.499557801662269e-14,5.552110153119484e-15,7.327315220613268e-15,2.7334752545932514e-08,2.954910907141692e-08,1.281446987306869e-14,7.567750943778547e-08,2.3455287480962936e-15,1.7924577303492187e-14,3.7983037714702305e-08,3.246267659750713e-15,1.5562650919995905e-17,8.951798778733805e-11,1.8765866088812832e-18,2.400682526827001e-12,2.431982092723077e-18,7.46232655464058e-21,1.6758424703976306e-22,2.953026895923054e-19,1.5683013010339228e-20,1.615491022687864e-12,9.620082338435558e-21,1.6517447661927145e-19,5.102203145680534e-22,8.76823716986262e-21,1.5403706794264937e-16,2.3157207904650866e-22,2.4469262543244866e-15
4.465207327338819e-08,0.11224719807543532,0.9,0.0,0.0,0.0,0.0,0.09998796277689723,3.517013253712332e-06,1.7196098517135764e-06,1.8238966011030749e-06,2.223444284171096e-06,7.532214805856106e-07,1.957417745593767e-06,1.5439081225226712e-06,1.6076167039868734e-06,1.640154106176392e-06,1.7959455014320364e-06,1.273673283413118e-06,1.6539764662992448e-06,7.74241059155338e-09,5.7316542886866745e-08,2.2545493210556654e-08,3.8983491446215244e-09,2.217592734991232e-06,8.784641942083291e-07,1.860470726287371e-06,9.646215179124358e-07,1.846561261293234e-07,2.84152521620062e-10,4.0981568948382165e-07,1.0902781627192302e-13,2.4285787462181417e-09,6.656914979455331e-14,5.268890229555846e-14,6.766166769854425e-14,6.0055413831618254e-15,7.804978603471225e-15,3.025986882992685e-08,3.2817187871686654e-08,1.3321478653826408e-14,8.179492564543184e-08,2.535116906650989e-15,1.8690092136360606e-14,4.1131984319241095e-08,3.515377796469133e-15,1.660302785328535e-17,1.0346577030002503e-10,2.0175010457044597e-18,2.8646150132617618e-12,2.5791716927163204e-18,8.127750140827905e-21,1.8898474565173075e-22,3.2887758701534606e-19,1.8097930676829595e-20,1.9344886079489417e-12,1.0796486954446864e-20,1.828620711552159e-19,5.933292292080412e-22,1.0058363070457001e-20,1.715521644784773e-16,2.6164364379553557e-22,2.9748582275011635e-15
4.6342819725845216e-08,0.11224728120256161,0.9,0.0,0.0,0.0,0.0,0.09998750472290863,3.6659930115319793e-06,1.7523782212917648e-06,1.8825547880217098e-06,2.307947621316218e-06,7.61430600628348e-07,2.0346996068080277e-06,1.5896839002522621e-06,1.6601080548387502e-06,1.7022526562539218e-06,1.8711591929143917e-06,1.314447624848915e-06,1.7220341925991773e-06,7.88994772626845e-09,5.8412447230991126e-08,2.2792665748464908e-08,3.9410372778440134e-09,2.35578182543811e-06,9.291694566972175e-07,1.991852217636591e-06,1.026256046271075e-06,1.9915995204399518e-07,2.925809731651335e-10,4.393074117051548e-07,1.136456020750347e-13,2.5812819910681205e-09,6.909878319226345e-14,5.485665067912079e-14,7.033268068672268e-14,6.477212610297874e-15,8.291161227467767e-15,3.335726261670031e-08,3.629354300362683e-08,1.3827769506095828e-14,8.814942899407253e-08,2.7320511673744793e-15,1.9459151112420468e-14,4.4412904799279206e-08,3.795764244598699e-15,1.7663893614133027e-17,1.1892944245659284e-10,2.1627026592278397e-18,3.3958539165247637e-12,2.728047957258067e-18,8.826839593720573e-21,2.121959811644144e-22,3.647136519238546e-19,2.0766613424709196e-20,2.3003922642854202e-12,1.2063677545374485e-20,2.0160987586495442e-19,6.859834918116177e-22,1.1474562621717077e-20,1.9024696067394782e-16,2.943452072004335e-22,3.590693003880008e-15
4.803356617830224e-08,0.11224736509835304,0.9,0.0,0.0,0.0,0.0,0.09998704645660215,3.816012742029462e-06,1.7836819351759209e-06,1.940553969935542e-06,2.392322607441408e-06,7.690212539600357e-07,2.112115795674741e-06,1.6345517228074134e-06,1.7120410549057422e-06,1.7643507918426492e-06,1.9469537931669855e-06,1.3547376950601222e-06,1.790396162716835e-06,8.030890358214984e-09,5.945936771291968e-08,2.3021216605646644e-08,3.980509437718425e-09,2.4962764169581625e-06,9.804058130171664e-07,2.126985335902677e-06,1.089027689855075e-06,2.1422576897417713e-07,3.008422688676852e-10,4.696525206024608e-07,1.1829557660227309e-13,2.736566453484567e-09,7.162454627682502e-14,5.70340673366378e-14,7.30083078188372e-14,6.9671561112274164e-15,8.785450516791348e-15,3.6628456180393337e-08,3.998176812042328e-08,1.4333291360132356e-14,9.474066529983285e-08,2.936320430661689e-15,2.0231648074301246e-14,4.782639923094923e-08,4.087478102482348e-15,1.8744332392734078e-17,1.3600581540447935e-10,2.3121068988242816e-18,4.001074739031844e-12,2.878483820808336e-18,9.560222506964315e-21,2.3730050559266937e-22,4.028604267508702e-19,2.3703815008614695e-20,2.717861018650946e-12,1.3424734527083295e-20,2.2143211890546975e-19,7.888440689987942e-22,1.3023162782925253e-20,2.1014730707520939e-16,3.2980714282619003e-22,4.30507221200617e-15
4.9724312630759266e-08,0.11224744974486803,0.9,0.0,0.0,0.0,0.0,0.09998658797468643,3.967061255181252e-06,1.8135864381342046e-06,1.997904042926326e-06,2.4765614096288205e-06,7.760400131041619e-07,2.1896575554171056e-06,1.6785202160408926e-06,1.7634210455976867e-06,1.8264485148825956e-06,2.0233329299909596e-06,1.3945492433678426e-06,1.8590530809380326e-06,8.165533147569857e-09,6.045949306365164e-08,2.3232548054250675e-08,4.0170078021386206e-09,2.6389652441454785e-06,1.032133249956354e-06,2.2658144389399584e-06,1.152885620821785e-06,2.2985451402417485e-07,3.089379960799992e-10,5.008340016217563e-07,1.2297739234206918e-13,2.8943073739327444e-09,7.414620453994311e-14,5.922085594342321e-14,7.568824626926482e-14,7.475402058263433e-15,9.287454860726616e-15,4.007478082138961e-08,4.388528321816006e-08,1.483799728602119e-14,1.015682575011989e-07,3.1479128877860194e-15,2.10074779795209e-14,5.1373049535860874e-08,4.390568915320021e-15,1.9843469295036332e-17,1.5479360352155623e-10,2.4656299833091167e-18,4.6873166445218445e-12,3.03036178484813e-18,1.0328528881939785e-20,2.643818352049619e-22,4.433657097652396e-19,2.6924432190839533e-20,3.191800823422844e-12,1.488269622659887e-20,2.42342325506859e-19,9.02587494567197e-22,1.471049759520555e-20,2.312781441531109e-16,3.681621154175458e-22,5.129477548869355e-15
5.141505908321629e-08,0.11224753512494214,0.9,0.0,0.0,0.0,0.0,0.09998612927402874,4.119127465360345e-06,1.842154250782781e-06,2.0546148002940696e-06,2.5606568337791017e-06,7.825299436781463e-07,2.2673163098235816e-06,1.7215985169229405e-06,1.814253330348423e-06,1.8885458275906756e-06,2.100300027276241e-06,1.433887950832925e-06,1.927995755183377e-06,8.294157588734123e-09,6.141491421901739e-08,2.342795677548103e-08,4.05075631303567e-09,2.783742648325869e-06,1.0843147672778345e-06,2.408285595762128e-06,1.2177812823448984e-06,2.4604706095580176e-07,3.1686983631911583e-10,5.328350074105211e-07,1.27690705026488e-13,3.054386290763266e-09,7.666354260501216e-14,6.141672348270108e-14,7.837219946098421e-14,8.001978562273965e-15,9.796802382863723e-15,4.369738786011125e-08,4.8007343420163475e-08,1.5341844181246845e-14,1.0863180751874817e-07,3.3668160785631743e-15,2.1786536956680546e-14,5.5053419677703604e-08,4.705084692015594e-15,2.0960468515281557e-17,1.7539335522932544e-10,2.6231889511139427e-18,5.461985271245447e-12,3.1835731978866134e-18,1.1132390988338453e-20,2.935244446193356e-22,4.862756271538344e-19,3.0443490329695415e-20,3.727365532950235e-12,1.6440558131605524e-20,2.643533811418618e-19,1.0279052202470107e-21,1.6542905216171394e-20,2.536635398833414e-16,4.095450762769053e-22,6.07626396226634e-15
5.310580553567332e-08,0.11224762122214851,0.9,0.0,0.0,0.0,0.0,0.09998567035164695,4.272200390643979e-06,1.8694451002086576e-06,2.110695931704045e-06,2.644602276402522e-06,7.885308682910928e-07,2.345083660712078e-06,1.763796225558929e-06,1.864543174564024e-06,1.950642732466546e-06,2.177858315200738e-06,1.472759431066442e-06,1.9972151014940186e-06,8.417032598452794e-09,6.232762868822171e-08,2.360864180540953e-08,4.081962048648446e-09,2.9305082507087402e-06,1.1369161509904714e-06,2.5543465070322703e-06,1.2836682871673637e-06,2.628042214886171e-07,3.246395564289798e-10,5.656388669851708e-07,1.3243517360966376e-13,3.216690672437265e-09,7.917636278326447e-14,6.362138038840762e-14,8.105987697774066e-14,8.54691171503157e-15,1.03131397906646e-14,4.7497258988423215e-08,5.2351047246114524e-08,1.5844792481856136e-14,1.1593089797381025e-07,3.593016944639581e-15,2.2568722356153945e-14,5.886805586806179e-08,5.031071922810284e-15,2.209453159022138e-17,1.9790738686984664e-10,2.784701705808703e-18,6.332855230351267e-12,3.338017589789624e-18,1.197244323346281e-20,3.2481376108688235e-22,5.316347005621474e-19,3.4276130353616846e-20,4.329957658325973e-12,1.8101272293811025e-20,2.8747758424734434e-19,1.1655029775423634e-21,1.852672564492372e-20,2.773267250009894e-16,4.54093257409475e-22,7.158692850477949e-15
