Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516)
9.182376487064073e-07,0.11232285101150664,0.9,0.0,0.0,0.0,0.0,0.09972076416247183,0.00011744963680680379,2.450123200828559e-06,1.3525612204756834e-05,2.5659355407505742e-05,8.604494186563538e-07,2.7742209795317708e-05,3.468905246571562e-06,6.283683084681456e-06,3.396649957028934e-05,0.00010835108316338737,4.6930454500182325e-06,2.9547770967999403e-05,1.1031493817802167e-08,8.174802084836776e-08,2.577434862015018e-08,4.462203579982065e-09,7.145499632885729e-05,3.0589612533858706e-05,0.00026465375498358954,4.5325803826655016e-05,6.370612553899065e-05,6.396598770000227e-10,3.2780102462702664e-05,3.6287776241263556e-12,7.896250744915438e-08,7.656633490737742e-13,9.381232920031877e-13,9.557528519991135e-13,2.0649764204030996e-12,2.5060447691969003e-13,7.967347187867579e-06,3.2724408964082814e-05,1.5373516518767803e-13,2.4525835336425936e-05,7.576016068581741e-13,3.338931377484825e-13,1.7748790438497374e-05,1.5118436637413041e-12,7.801450848122929e-16,2.9971892331914325e-06,1.6136931183400097e-16,8.255086259344311e-07,8.981180488591832e-17,1.6364227675901344e-17,3.416423438109196e-18
9.272706040326229e-07,0.11232380586505404,0.9,0.0,0.0,0.0,0.0,0.09971776234473513,0.00011865584635073893,2.4501080357630637e-06,1.3599050872867247e-05,2.5765846045732077e-05,8.604311724072156e-07,2.7898765619302256e-05,3.468836456547999e-06,6.2841803008978e-06,3.430526286313087e-05,0.00010995497442211067,4.6933816832695636e-06,2.9718528451017e-05,1.1031425561826091e-08,8.174751461124522e-08,2.5773802304514108e-08,4.462207695447657e-09,7.186174589574737e-05,3.089734665810452e-05,0.0002684685389557787,4.578958071321417e-05,6.475765012544396e-05,6.39664560634438e-10,3.312892623816627e-05,3.665903705685844e-12,7.940925542281389e-08,7.68811301267124e-13,9.435083120989625e-13,9.611092875266626e-13,2.098979609138974e-12,2.5202157450827785e-13,8.02890403650627e-06,3.330624996338645e-05,1.543732040081443e-13,2.4920388719185162e-05,7.697596216431104e-13,3.358227278559569e-13,1.8056332883468208e-05,1.5379807866686113e-12,7.881274211417845e-16,3.0813568129311335e-06,1.6308624112299398e-16,8.538296202769974e-07,9.071526362257086e-17,1.6776868839397556e-17,3.522740315798055e-18
9.363035593588386e-07,0.11232476283718301,0.9,0.0,0.0,0.0,0.0,0.09971475735808334,0.00011986075368938433,2.4500929571513646e-06,1.367171934825227e-05,2.5870738297479174e-05,8.604129179483704e-07,2.8053921851159e-05,3.4687676698221154e-06,6.2846365986759254e-06,3.4644118976648374e-05,0.00011156545078793237,4.6936902907855305e-06,2.9887510370572593e-05,1.1031357695155092e-08,8.174701092293061e-08,2.5773256196591663e-08,4.4622119683763776e-09,7.226289299791922e-05,3.1205071041475725e-05,0.0002722978058680564,4.62533397480105e-05,6.581459102740759e-05,6.396692879418283e-10,3.347774151157463e-05,3.702986494466781e-12,7.984977111544896e-08,7.719112781101224e-13,9.488364975210704e-13,9.664170444048004e-13,2.1331556111731026e-12,2.5341890665227915e-13,8.089699702480136e-06,3.3891369178644636e-05,1.5500166657580968e-13,2.5316724733647023e-05,7.819717175175351e-13,3.377322542092547e-13,1.8365633425401796e-05,1.5642655522039846e-12,7.961094473881499e-16,3.166864891179609e-06,1.648031245495472e-16,8.827778440437708e-07,9.161869276543116e-17,1.7195306225625414e-17,3.6311524247163734e-18
9.453365146850542e-07,0.11232572189942208,0.9,0.0,0.0,0.0,0.0,0.09971174924802143,0.00012106435257859648,2.4500779576048984e-06,1.374361830197836e-05,2.5974055925928296e-05,8.603946562261385e-07,2.8207683593355258e-05,3.4686988860057225e-06,6.285054494551083e-06,3.498306698576974e-05,0.0001131824246703665,4.693972971438144e-06,3.0054735048247628e-05,1.1031290184517179e-08,8.174651076466539e-08,2.5772708803917777e-08,4.4622164340126436e-09,7.265847483231974e-05,3.151278567390016e-05,0.00027614139652873377,4.671708091272024e-05,6.687688847387367e-05,6.396740561528055e-10,3.382654827757011e-05,3.7400257992952035e-12,8.028409634754339e-08,7.74963994216818e-13,9.541084363115068e-13,9.716763038899162e-13,2.167502465349116e-12,2.547966059993722e-13,8.14973807548974e-06,3.4479721298652615e-05,1.5562069526666523e-13,2.5714821032822558e-05,7.942371966086413e-13,3.3962192384640977e-13,1.8676673580998082e-05,1.5906963659393522e-12,8.040911632536319e-16,3.253715606350076e-06,1.665199621134898e-16,9.123586735877596e-07,9.252209229289034e-17,1.7619547667586857e-17,3.7416746952565925e-18
9.543694700112697e-07,0.1123266830235238,0.9,0.0,0.0,0.0,0.0,0.09970873805974714,0.00012226663720634726,2.4500630317709045e-06,1.3814748605047667e-05,2.6075822342000268e-05,8.603763858414703e-07,2.836005580607223e-05,3.468630104358719e-06,6.285436352049589e-06,3.532210594585026e-05,0.00011480580932647729,4.694231320444664e-06,3.022022061697166e-05,1.1031223005811845e-08,8.174601315338003e-08,2.5772161000573497e-08,4.462221048634783e-09,7.304852860212808e-05,3.182049054556016e-05,0.0002799991526350918,4.7180804189614314e-05,6.794448296716898e-05,6.396788634913288e-10,3.417534653094439e-05,3.777021442508419e-12,8.071227294231201e-08,7.779701536015424e-13,9.593247104637036e-13,9.76887242324992e-13,2.202018219715581e-12,2.5615480520850143e-13,8.20902311964748e-06,3.507126131582556e-05,1.562304303461474e-13,2.6114655591019058e-05,8.065553710897741e-13,3.4149194167366544e-13,1.8989435054273965e-05,1.6172716496865022e-12,8.120725684526855e-16,3.341910923449034e-06,1.6823675381631827e-16,9.425774047018438e-07,9.342546218199233e-17,1.8049600501785254e-17,3.854321861231328e-18
9.634024253374852e-07,0.1123276461814582,0.9,0.0,0.0,0.0,0.0,0.09970572383815082,0.0001234676021836718,2.450048174778518e-06,1.3885111324511585e-05,2.6176060606920522e-05,8.603581047923923e-07,2.8511043316002256e-05,3.4685613238185588e-06,6.285784386363803e-06,3.566123489302569e-05,0.00011643551885736737,4.694466832554369e-06,3.0383985021966148e-05,1.103115613710812e-08,8.174551669882557e-08,2.5771614274909476e-08,4.462225748030874e-09,7.343309151544498e-05,3.212818564684471e-05,0.0002838709167681974,4.76445095615578e-05,6.901731528058967e-05,6.396837083308391e-10,3.452413626662115e-05,3.8139732596602575e-12,8.113434272409334e-08,7.809304497551745e-13,9.644858959514032e-13,9.820500314438166e-13,2.2367009314455485e-12,2.5749363694452977e-13,8.267558870848561e-06,3.5665944526206575e-05,1.5683100998451072e-13,2.6516206701226476e-05,8.189255630984566e-13,3.4334251047617754e-13,1.930389973561706e-05,1.6439898413954708e-12,8.200536627105224e-16,3.431452635257844e-06,1.699534996608298e-16,9.734392523627191e-07,9.432880240982804e-17,1.848547158495927e-17,3.969108455180878e-18
9.724353806637007e-07,0.11232861134542953,0.9,0.0,0.0,0.0,0.0,0.09970270662781551,0.00012466724252147528,2.4500333791428e-06,1.395470771311294e-05,2.6274793439091735e-05,8.603398143419239e-07,2.866065083855362e-05,3.468492543066165e-06,6.2861006762007775e-06,3.6000452845196726e-05,0.0001180714681987261,4.6946809101187885e-06,3.054604602329068e-05,1.1031089544698504e-08,8.174502270606875e-08,2.5771066839583737e-08,4.462230577864856e-09,7.381220078176811e-05,3.2435870968242187e-05,0.000287756532380681,4.810819701200683e-05,7.009532645301443e-05,6.396885875903337e-10,3.487291747961725e-05,3.85088109872187e-12,8.155034751587339e-08,7.838455658516077e-13,9.695925628028949e-13,9.871648391622723e-13,2.2715486666346356e-12,2.588132338635809e-13,8.325349430064335e-06,3.6263726529458524e-05,1.5742257029801302e-13,2.691945296810427e-05,8.313471045139174e-13,3.451738309466699e-13,1.9620049699237352e-05,1.6708493949342506e-12,8.280344457596626e-16,3.5223423655832215e-06,1.716701996487324e-16,1.0049493500002996e-06,9.523211295681432e-17,1.8927167386156542e-17,4.086048806354807e-18
9.814683359899162e-07,0.11232957848785152,0.9,0.0,0.0,0.0,0.0,0.09969968647301708,0.00012586555361599567,2.4500186379111084e-06,1.4023539202808186e-05,2.637204321842199e-05,8.603215153652922e-07,2.880888299173562e-05,3.4684237605650026e-06,6.286387171214517e-06,3.633975880262862e-05,0.00011971357311487847,4.694874868154464e-06,3.070642119744536e-05,1.1031023197275089e-08,8.174453202231285e-08,2.5770517305040418e-08,4.462235570771985e-09,7.418589360991491e-05,3.2743546500438194e-05,0.0002916558437890548,4.857186652499762e-05,7.117845778550581e-05,6.396934984705536e-10,3.5221690165015416e-05,3.887744819678219e-12,8.196032913651194e-08,7.867161748792499e-13,9.746452751565716e-13,9.922318300428841e-13,2.3065595002061125e-12,2.601137286070805e-13,8.382398959151106e-06,3.686456322885418e-05,1.5800524537483746e-13,2.732437330358371e-05,8.438193368221532e-13,3.4698610170353863e-13,1.993786720156331e-05,1.6978487799506188e-12,8.360149173429386e-16,3.6145815712840362e-06,1.733868537817412e-16,1.0371127490807235e-06,9.613539380360264e-17,1.9374693946406336e-17,4.205157048457476e-18
9.905012913161318e-07,0.11233054758136568,0.9,0.0,0.0,0.0,0.0,0.09969666341772408,0.00012706253122870596,2.4500039477831153e-06,1.4091607395291565e-05,2.6467831992719533e-05,8.603032043667148e-07,2.8955744314883822e-05,3.4683549746054075e-06,6.286645702116414e-06,3.667915174886595e-05,0.00012136175018993157,4.6950499412218334e-06,3.0865127939761836e-05,1.103095707998285e-08,8.17440419101273e-08,2.5769968685463055e-08,4.4622406119375326e-09,7.455420720486513e-05,3.305121223442153e-05,0.0002955686961644686,4.903551808513258e-05,7.226665083747434e-05,6.396984400847055e-10,3.557045431793396e-05,3.9245642939948005e-12,8.236432939535076e-08,7.895429398333209e-13,9.796445913458057e-13,9.972511659110106e-13,2.3417315158178166e-12,2.613952537927386e-13,8.438711675110885e-06,3.7468410831220444e-05,1.5857916731339818e-13,2.7730946920368624e-05,8.563416109181144e-13,3.487795193180392e-13,2.0257334678854006e-05,1.724986481667561e-12,8.439950772169569e-16,3.7081715453569604e-06,1.7510346206408788e-16,1.0699344184758045e-06,9.703864492745124e-17,1.9828056789792476e-17,4.326447123003671e-18
9.995342466423473e-07,0.11233151859882128,0.9,0.0,0.0,0.0,0.0,0.09969363750559797,0.00012825817147621814,2.44998930290685e-06,1.4158914057093979e-05,2.6562181481031362e-05,8.60284880766921e-07,2.910123927791865e-05,3.4682861833301144e-06,6.286877985719101e-06,3.701863065119249e-05,0.00012301591682311938,4.695207286854998e-06,3.102218346566156e-05,1.1030891166468674e-08,8.174355226449875e-08,2.576942106977232e-08,4.462245684676594e-09,7.491717876584613e-05,3.335886816128538e-05,0.000299494935528424,4.94991516775871e-05,7.335984742495872e-05,6.39703410009505e-10,3.59192099335168e-05,3.961339404188545e-12,8.276239009130814e-08,7.923265138140678e-13,9.845910639284417e-13,1.0022230062046705e-12,2.3770628057682147e-12,2.6265794200418083e-13,8.494291847239531e-06,3.8075225846893904e-05,1.5914446624236153e-13,2.813915332855004e-05,8.689132869948792e-13,3.5055427832844205e-13,2.0578434745943887e-05,1.7522610007742152e-12,8.519749251454792e-16,3.8031134185462094e-06,1.76820024499386e-16,1.103419244181377e-06,9.794186630876579e-17,2.028726104601154e-17,4.449932766381398e-18
9.999999999999997e-07,0.11233239413724144,0.9,0.0,0.0,0.0,0.0,0.09969348140817444,0.0001283197842411238,2.4499885488777093e-06,1.4162363884033075e-05,2.6567007667705306e-05,8.602839356688278e-07,2.9108704266618246e-05,3.4682826361638276e-06,6.286889281408105e-06,3.703613702726522e-05,0.00012310136910909412,4.695214939709899e-06,3.1030237047180326e-05,1.1030887772744384e-08,8.174352706405522e-08,2.576939281471003e-08,4.462245948395907e-09,7.493575001590453e-05,3.3374731117834516e-05,0.00029969773867355047,4.952305686611033e-05,7.341634892840328e-05,6.397036669717054e-10,3.5937192089037424e-05,3.963234381858304e-12,8.27827544784262e-08,7.924688803184999e-13,9.848446893892163e-13,1.0024780774173643e-12,2.3788888252390147e-12,2.627225399761031e-13,8.497137868662528e-06,3.8106593826596014e-05,1.5917338255729274e-13,2.8160244981162995e-05,8.695628299087359e-13,3.5064528543119057e-13,2.0595035109331663e-05,1.7536709993485308e-12,8.523863701712536e-16,3.808045439388726e-06,1.769085319105297e-16,1.1051638419890592e-06,9.79884370145406e-17,2.031109679020989e-17,4.456359653986798e-18
1.0076639064359414e-06,0.11233239413724144,0.9,0.0,0.0,0.0,0.0,0.09969091177793091,0.0001293331013132586,2.4499761543995564e-06,1.4218840529358093e-05,2.664588312201643e-05,8.602683809999261e-07,2.9231020158760456e-05,3.468224265011598e-06,6.287065934123287e-06,3.732423428981965e-05,0.00012450972024531505,4.695334640656534e-06,3.116213573445221e-05,1.1030831987873372e-08,8.174311393256179e-08,2.5768926412535628e-08,4.462250355322607e-09,7.523931646949943e-05,3.363575010308637e-05,0.000303039870247382,4.991640653663162e-05,7.434795449212057e-05,6.397079041473661e-10,3.623308268410906e-05,3.994398983326294e-12,8.311560092836711e-08,7.947953340851795e-13,9.889981600619807e-13,1.0066571840942249e-12,2.408995576440324e-12,2.637783653240241e-13,8.543691243668407e-06,3.862386079966301e-05,1.5964596860017027e-13,2.8507918432074374e-05,8.802695126842783e-13,3.5213576750075273e-13,2.0868806443723206e-05,1.7769238199528778e-12,8.591565213776969e-16,3.889717784495134e-06,1.7836489149271612e-16,1.1341265570178857e-06,9.875474010891961e-17,2.070554327054863e-17,4.562958253438167e-18
1.0157935662295356e-06,0.11233327119275409,0.9,0.0,0.0,0.0,0.0,0.09968818380274284,0.00013040694264439943,2.449963033134362e-06,1.4278153220256698e-05,2.6728451655477946e-05,8.60251871322509e-07,2.93597010591359e-05,3.4681623392906254e-06,6.287235037057922e-06,3.7629905929964104e-05,0.00012600824987046245,4.695449263024041e-06,3.130077662010231e-05,1.1030772931958439e-08,8.174267639013514e-08,2.5768431527671693e-08,4.462255065847197e-09,7.555718435318914e-05,3.3912624087781985e-05,0.0003065954133217142,5.0333646820278064e-05,7.53400254403432e-05,6.397124174096571e-10,3.654694851198402e-05,4.0274224696460675e-12,8.346406501645471e-08,7.972301533796967e-13,9.93363290664639e-13,1.011053132244165e-12,2.4410544423166167e-12,2.6488373463370267e-13,8.592503951638436e-06,3.9174833099687484e-05,1.6014068232537405e-13,2.887797520433806e-05,8.916647893791588e-13,3.5370243816397914e-13,2.116047417290985e-05,1.8016951875086153e-12,8.663378645907601e-16,3.977418577771503e-06,1.799097213535929e-16,1.1653783606331353e-06,9.956758978968919e-17,2.1128564086410778e-17,4.677782864352846e-18
1.0239232260231297e-06,0.11233414974601173,0.9,0.0,0.0,0.0,0.0,0.09968545361122531,0.00013147969331329143,2.4499499355740414e-06,1.433685372780049e-05,2.6809902254048682e-05,8.602353506702452e-07,2.9487285149173365e-05,3.4681004046100705e-06,6.287386340400327e-06,3.793564478814599e-05,0.0001275114471445944,4.695551858797243e-06,3.143811830740927e-05,1.1030713982796077e-08,8.174223898621004e-08,2.576793714190988e-08,4.462259782323278e-09,7.587080951147537e-05,3.418949010927038e-05,0.00031016145424571877,5.0750872518869045e-05,7.633601837907107e-05,6.397169483590407e-10,3.6860807413587625e-05,4.0604097985701246e-12,8.380781279228393e-08,7.996314279294356e-13,9.976868468312568e-13,1.0154109638311289e-12,2.473238030407446e-12,2.6597414647662766e-13,8.640733174487868e-06,3.972811167310886e-05,1.6062869832410088e-13,2.9249309303333563e-05,9.030986692731886e-13,3.5525442800915514e-13,2.1453425622224432e-05,1.826574041843763e-12,8.735189546328341e-16,4.066216296717727e-06,1.8145451408473591e-16,1.1971780428926833e-06,1.0038041533728122e-16,2.1556326377846297e-17,4.794416209009641e-18
