Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108)
7.366821921426396e-07,0.11230415506608647,0.9,0.0,0.0,0.0,0.0,0.09978035261159317,9.294434263185935e-05,2.450456623252656e-06,1.1887374224005457e-05,2.3139508488336184e-05,8.60815386268197e-07,2.4288480371527484e-05,3.470280763436828e-06,6.259140945431075e-06,2.717853179695094e-05,7.76552000135555e-05,4.676457205771681e-06,2.5708778536975866e-05,1.103299452399664e-08,8.17591456925431e-08,2.578531114837457e-08,4.462180889705759e-09,6.203377393172195e-05,2.4402345270594577e-05,0.00019130792018763493,3.600049405222836e-05,4.381594726249383e-05,6.395770013292988e-10,2.5767223149842845e-05,2.873845160876704e-12,6.859657016906304e-08,6.909998766016561e-13,8.168613854782543e-13,8.374070697091804e-13,1.4213395372692253e-12,2.1772417643408518e-13,6.5636132024177435e-06,2.17984711929452e-05,1.3863760261277548e-13,1.701166560108793e-05,5.258908860930737e-13,2.90511925574127e-13,1.197086021455971e-05,1.020458166760843e-12,6.196411198829863e-16,1.5847076154681551e-06,1.268506566980526e-16,3.801830430600908e-07,7.164679572259278e-17,9.282744227355598e-18,1.698651777848689e-18,3.2423268224329954e-16,1.601871856174663e-16
7.431794670743461e-07,0.11230480635290481,0.9,0.0,0.0,0.0,0.0,0.09977824696640616,9.382928044133419e-05,2.45044341809836e-06,1.19512270234006e-05,2.324349095209627e-05,8.608022849678308e-07,2.442258430259217e-05,3.470232503373792e-06,6.26074847000657e-06,2.7420733054533367e-05,7.869842598868229e-05,4.67754413213154e-06,2.586051290471279e-05,1.1032935153527335e-08,8.175870562600609e-08,2.578491953736349e-08,4.4621790162059775e-09,6.24136291310238e-05,2.4623834030484166e-05,0.00019381524087988097,3.633433842349395e-05,4.448382992206318e-05,6.395796285226244e-10,2.6018249248662905e-05,2.9011294525627363e-12,6.901508018079586e-08,6.940863770194255e-13,8.216604341476114e-13,8.420079930651454e-13,1.4429660718638732e-12,2.190516545690225e-13,6.619436914536663e-06,2.216190493829494e-05,1.39260606763759e-13,1.726564792521494e-05,5.337280209480562e-13,2.9222654596577153e-13,1.2163390698697678e-05,1.0368425695873646e-12,6.253870852881209e-16,1.6262794500649073e-06,1.28086274841855e-16,3.9234112482875136e-07,7.22969897966454e-17,9.496963707556117e-18,1.7471624993978708e-18,3.303534439215865e-16,1.6413660260740927e-16
7.496767420060526e-07,0.11230545906457161,0.9,0.0,0.0,0.0,0.0,0.09977613916738581,9.471368168880535e-05,2.450430331812316e-06,1.201470402900564e-05,2.33463512578399e-05,8.607891869432171e-07,2.4555871683929662e-05,3.4701840656111634e-06,6.262278906099189e-06,2.7662989173720087e-05,7.974608458752777e-05,4.678578849262626e-06,2.6011112466837003e-05,1.1032876265152534e-08,8.17582688170216e-08,2.578452710025185e-08,4.462177327486503e-09,6.279019654018941e-05,2.48453178794503e-05,0.00019633185142108368,3.666817382516064e-05,4.515518432194188e-05,6.39582265710766e-10,2.6269271116113635e-05,2.928395579680008e-12,6.942992778213502e-08,6.971391684333798e-13,8.264231397678786e-13,8.465804864586668e-13,1.4647040047207881e-12,2.2036751414807465e-13,6.6748410248856566e-06,2.252754659920144e-05,1.3987688754831285e-13,1.7520829461402617e-05,5.416017852277667e-13,2.9392834229705694e-13,1.2357048543602452e-05,1.0533221507430661e-12,6.31132947257477e-16,1.6685005820010963e-06,1.2932187593197505e-16,4.047586079430241e-07,7.294722716327519e-17,9.714040467624372e-18,1.7965771083076123e-18,3.365291769771837e-16,1.6814374436196848e-16
7.561740169377591e-07,0.11230611318842285,0.9,0.0,0.0,0.0,0.0,0.09977402923379905,9.559753829885826e-05,2.450417361035497e-06,1.207780327424573e-05,2.3448101430660393e-05,8.607760914166073e-07,2.4688347939706497e-05,3.4701354722268337e-06,6.263735687149319e-06,2.7905300030465612e-05,8.079813608887255e-05,4.6795636935948166e-06,2.6160585651632984e-05,1.103281782216922e-08,8.175783570346844e-08,2.578413433254973e-08,4.462175875504273e-09,6.316348973061441e-05,2.506679681212836e-05,0.00019885768365564583,3.7002000245273686e-05,4.5829985144658806e-05,6.395849065858918e-10,2.6520288736261165e-05,2.955643290345902e-12,6.98411282569613e-08,7.001586069409129e-13,8.311497726022247e-13,8.511247382474211e-13,1.4865525039923335e-12,2.2167180150367093e-13,6.72982566411816e-06,2.28953770097825e-05,1.4048651692083742e-13,1.7777198931494273e-05,5.495118268875563e-13,2.9561740947353524e-13,1.2551825265483466e-05,1.0698961780735381e-12,6.368787314593718e-16,1.711373340632531e-06,1.3055746336080007e-16,4.1743803965323487e-07,7.359753572333052e-17,9.933981673232339e-18,1.846902824445656e-18,3.4275976516958287e-16,1.7220867530286893e-16
7.626712918694656e-07,0.11230676871189148,0.9,0.0,0.0,0.0,0.0,0.09977191718483179,9.648084251139666e-05,2.4504045022087177e-06,1.2140522888498617e-05,2.3548753367112067e-05,8.607629970409191e-07,2.4820018260755836e-05,3.470086742938657e-06,6.265122095807281e-06,2.8147665490549647e-05,8.1854541043268e-05,4.680500898043562e-06,2.6308940825604692e-05,1.1032759960760318e-08,8.175740676724897e-08,2.578374229802467e-08,4.462174713104665e-09,6.353352229067046e-05,2.528827082321568e-05,0.00020139266986189138,3.733581767207789e-05,4.65082072350657e-05,6.395875788418928e-10,2.6771302094670146e-05,2.982872354120675e-12,7.024869690751682e-08,7.031450811271498e-13,8.358406028129971e-13,8.556409335407515e-13,1.508510741657259e-12,2.229645757133562e-13,6.7843910447575e-06,2.3265377084038556e-05,1.4108956679435082e-13,1.803474517890791e-05,5.574577963486344e-13,2.9729384427413603e-13,1.2747712442670534e-05,1.0865639239943245e-12,6.426242794068591e-16,1.754899994936546e-06,1.3179301785219693e-16,4.3038195083903256e-07,7.424774132611504e-17,1.0156793644714814e-17,1.898145948446415e-18,3.4904565324119923e-16,1.7633283868839537e-16
7.691685668011721e-07,0.1123074256224944,0.9,0.0,0.0,0.0,0.0,0.09976980303958917,9.736358687145142e-05,2.4503917530089022e-06,1.2202861096330599e-05,2.3648318836433703e-05,8.607499041856067e-07,2.495088761397618e-05,3.470037895310388e-06,6.266441269678612e-06,2.839008540975628e-05,8.291526027148205e-05,4.681392596008149e-06,2.6456186293819613e-05,1.1032702621874597e-08,8.175698146906507e-08,2.5783350389279924e-08,4.462173786122492e-09,6.390030782526853e-05,2.5509739907534817e-05,0.0002039367427399153,3.7669626094014254e-05,4.718982559508293e-05,6.39590279548256e-10,2.7022311178328693e-05,3.010082537032172e-12,7.065264905372322e-08,7.060989356997465e-13,8.404958963505487e-13,8.601292443701131e-13,1.5305778965931905e-12,2.2424588229981084e-13,6.838537457943175e-06,2.363752781593453e-05,1.416861074822607e-13,1.8293457167348017e-05,5.654393492530853e-13,2.9895773984297296e-13,1.2944701715204816e-05,1.1033246671690731e-12,6.483696398905653e-16,1.7990827539573461e-06,1.3302854515318136e-16,4.4359285578651053e-07,7.489789809043969e-17,1.0382483475432508e-17,1.950313726850633e-18,3.5538656823922096e-16,1.8051611327257833e-16
7.756658417328786e-07,0.11230808390782983,0.9,0.0,0.0,0.0,0.0,0.09976768681709504,9.824576422179538e-05,2.450379111135927e-06,1.226481621694971e-05,2.374680948143996e-05,8.607368134125552e-07,2.5080960749134654e-05,3.469988944896132e-06,6.267696205492047e-06,2.8632559633997807e-05,8.398025486337002e-05,4.682240824272825e-06,2.6602330300157942e-05,1.1032645657621347e-08,8.1756559352949e-08,2.5782957806011184e-08,4.462173051584405e-09,6.426385995538729e-05,2.573120405995958e-05,0.00020648983540277207,3.800342549972078e-05,4.7874815379894574e-05,6.39592986540166e-10,2.7273315975542624e-05,3.0372736083624956e-12,7.10530000327427e-08,7.090204927052734e-13,8.45115916251702e-13,8.645898327858519e-13,1.552753153528955e-12,2.2551576021322773e-13,6.8922652710763236e-06,2.4011810279459077e-05,1.4227620816687892e-13,1.855332397987033e-05,5.734561456612958e-13,3.006091873127293e-13,1.314278478454166e-05,1.1201776919855889e-12,6.541149566607802e-16,1.843923767120313e-06,1.3426406277423504e-16,4.57073252027768e-07,7.554816420795008e-17,1.061105840575405e-17,2.003413794385244e-18,3.617819591624155e-16,1.8475766336330583e-16
7.821631166645852e-07,0.11230874355558859,0.9,0.0,0.0,0.0,0.0,0.09976556853629225,9.912736768986297e-05,2.4503665730191646e-06,1.2326386663132814e-05,2.3844236820125956e-05,8.607237233946424e-07,2.5210242210978725e-05,3.469939905478813e-06,6.268889766465312e-06,2.8875087999549095e-05,8.504948617583808e-05,4.683047528130489e-06,2.6747381027767375e-05,1.1032589189981901e-08,8.175614097934398e-08,2.5782565595510107e-08,4.462172571742031e-09,6.462419231723912e-05,2.5952663275359774e-05,0.00020905188136101865,3.833721587803225e-05,4.8563151891239416e-05,6.395957221265352e-10,2.7524316475717925e-05,3.0644453642801877e-12,7.144976519819814e-08,7.119101261336174e-13,8.497009266583676e-13,8.690228611818729e-13,1.5750356996633626e-12,2.2677426753016824e-13,6.9455749236491015e-06,2.438820562872953e-05,1.4285993843313036e-13,1.881433481719846e-05,5.815078472714227e-13,3.0224828117716667e-13,1.3341953413014175e-05,1.1371222868405083e-12,6.598600869230482e-16,1.8894251248197802e-06,1.3549955345245746e-16,4.7082562005396233e-07,7.619838262730838e-17,1.0842524274180015e-17,2.0574523593808557e-18,3.6823223419953753e-16,1.8905880688262878e-16
7.886603915962917e-07,0.11230940455353841,0.9,0.0,0.0,0.0,0.0,0.09976344821604229,0.00010000839067736343,2.450354135763449e-06,1.2387570940257052e-05,2.394061224697274e-05,8.607106335588334e-07,2.533873634893847e-05,3.4698907892641226e-06,6.270024688150888e-06,2.9117670333233677e-05,8.612291583117789e-05,4.683814565445683e-06,2.689134659944077e-05,1.1032533294987618e-08,8.1755726299171e-08,2.5782174078231392e-08,4.462172342809865e-09,6.49813185618372e-05,2.6174117548705786e-05,0.00021162281451057817,3.867099721797574e-05,4.925481057211117e-05,6.395985053969057e-10,2.7775312669277328e-05,3.091597606493313e-12,7.18429599194822e-08,7.147681973462181e-13,8.542511891992425e-13,8.734284839967225e-13,1.5974247272613074e-12,2.280214595155366e-13,6.998466923941324e-06,2.4766695098075442e-05,1.4343736692402865e-13,1.9076478996351536e-05,5.895941197389064e-13,3.0387511454400163e-13,1.3542199423394038e-05,1.1541577455734224e-12,6.656049360445734e-16,1.9355888588943255e-06,1.3673500551458725e-16,4.848524230836235e-07,7.684844971889673e-17,1.1076887058863844e-17,2.1124358199823287e-18,3.747375959931743e-16,1.9342049315255595e-16
7.951576665279982e-07,0.11231006688953245,0.9,0.0,0.0,0.0,0.0,0.09976132587512543,0.0001008888268491153,2.450341797623325e-06,1.24483676450678e-05,2.4035947034404815e-05,8.606975450874507e-07,2.5466447327682772e-05,3.469841607073038e-06,6.271103584702859e-06,2.936030645263718e-05,8.720050571520392e-05,4.6845437110044525e-06,2.703423507804774e-05,1.1032477750752822e-08,8.175531443247919e-08,2.5781781857640968e-08,4.462172276378854e-09,6.533525235439641e-05,2.63955668750766e-05,0.00021420256911994974,3.900476950876864e-05,4.994976700111181e-05,6.396013032135972e-10,2.8026304547579706e-05,3.1187301249390173e-12,7.223259958098367e-08,7.175950021811366e-13,8.587669602480141e-13,8.778068410722308e-13,1.6199194357014061e-12,2.2925737018666946e-13,7.05094184547633e-06,2.5147260002128227e-05,1.4400856028444743e-13,1.9339745949115102e-05,5.977146345669578e-13,3.054897753832653e-13,1.3743514698399302e-05,1.1712833685959664e-12,6.713497262091165e-16,1.982416943172627e-06,1.3797044590037692e-16,4.991561068074501e-07,7.74986101278739e-17,1.1314153875474415e-17,2.1683720286505777e-18,3.812972137136719e-16,1.9784128650163974e-16
8.016549414597047e-07,0.11231073055150091,0.9,0.0,0.0,0.0,0.0,0.09975920153224044,0.00010176867012386262,2.4503295555152343e-06,1.2508775464485551e-05,2.413025233404696e-05,8.606844574086285e-07,2.5593379135923865e-05,3.469792368469137e-06,6.272128954022743e-06,2.9602996166286964e-05,8.828221797564593e-05,4.6852366600809866e-06,2.7176054466915213e-05,1.1032422549968009e-08,8.175490563936479e-08,2.5781389245612843e-08,4.462172405002444e-09,6.568600737360106e-05,2.6617011249534974e-05,0.00021679107981992316,3.933853273982061e-05,5.0647996887856563e-05,6.396041131872404e-10,2.827729210275815e-05,3.1458427317001983e-12,7.261869958152664e-08,7.203908765417148e-13,8.632484967449353e-13,8.82158072024212e-13,1.6425190268255446e-12,2.304820484017293e-13,7.103000324116762e-06,2.5529881735895047e-05,1.4457358535405207e-13,1.9604125220727797e-05,6.058690652052316e-13,3.070923542180778e-13,1.3945891180268918e-05,1.1884984604700167e-12,6.770944527177715e-16,2.02991129394221e-06,1.3920587424882074e-16,5.137390991718941e-07,7.814885849905009e-17,1.1554330610046149e-17,2.2252676844919404e-18,3.8791105584248095e-16,2.0232145888145776e-16
8.081522163914112e-07,0.11231139552746754,0.9,0.0,0.0,0.0,0.0,0.09975707520599378,0.00010264791469811365,2.4503174058438345e-06,1.256879318620699e-05,2.422353916199698e-05,8.606713689041228e-07,2.5719535572686432e-05,3.4697430817309554e-06,6.2731031678805656e-06,2.9845739272640527e-05,8.93680150553384e-05,4.685895021728774e-06,2.73168127023054e-05,1.1032367928568165e-08,8.175450046949809e-08,2.578099758895556e-08,4.462172787473624e-09,6.60335973128504e-05,2.6838450667196195e-05,0.0002193882816408583,3.967228690075629e-05,5.134947608545036e-05,6.396069795395502e-10,2.852827532771938e-05,3.172935263868462e-12,7.300127533566932e-08,7.231562033159935e-13,8.676960561490603e-13,8.864823166838462e-13,1.665222705065108e-12,2.316955608294729e-13,7.154643063209432e-06,2.5914541785587784e-05,1.451325091893615e-13,1.9869606483563364e-05,6.140570872004217e-13,3.086829444422534e-13,1.4149320878235542e-05,1.2058023304112135e-12,6.828388515387129e-16,2.0780737627782576e-06,1.4044125834970973e-16,5.286038077824405e-07,7.879890480847062e-17,1.1797422024329389e-17,2.2831282125170914e-18,3.945798946762536e-16,2.0686322628615422e-16
8.146494913231177e-07,0.1123120618054416,0.9,0.0,0.0,0.0,0.0,0.09975494691492177,0.00010352655496646102,2.4503053467928124e-06,1.2628419672345788e-05,2.431581843340481e-05,8.606582805547496e-07,2.5844920305463583e-05,3.469693754344059e-06,6.274028509437578e-06,3.0088535562762243e-05,9.045785961856228e-05,4.6865203444874e-06,2.7456517670193366e-05,1.1032313673658645e-08,8.175409816206268e-08,2.5780605693979256e-08,4.462173347582149e-09,6.637803587618789e-05,2.7059885123305582e-05,0.00022199410990252788,4.0006031981358747e-05,5.205418054964883e-05,6.396098699127972e-10,2.8779254215942656e-05,3.2000075346909342e-12,7.3380342269024e-08,7.258912693610777e-13,8.721098892687252e-13,8.907796979705649e-13,1.6880296822258268e-12,2.3289794220471506e-13,7.205870813326937e-06,2.6301221706696765e-05,1.4568539633323346e-13,2.0136179504487787e-05,6.222783824633783e-13,3.1026163216191055e-13,1.435379585171237e-05,1.22319429408252e-12,6.885831354904421e-16,2.126906152820713e-06,1.416766240437056e-16,5.437526244955119e-07,7.944898334002858e-17,1.2043434669340467e-17,2.341961244667796e-18,4.0130293562154607e-16,2.114652154041558e-16
