Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251)
9.733209610357065e-14,0.11224537200293672,0.9,0.0,0.0,0.0,0.0,0.09999999997383671,6.700719682360714e-12,6.674896639081134e-12,4.629812311666028e-12,4.629815708037505e-12,4.009955852291678e-12,4.010026620351499e-12,4.009915077061202e-12,4.009915276219128e-12,3.57550366425665e-12,3.57550366425665e-12,3.237322786044361e-12,3.237325160659316e-12,2.5680354893477244e-14,1.3219640726295155e-16,5.61052918818661e-17,1.2157663260893807e-17,5.5885665109535885e-18,3.524875530437644e-21,1.1572715311244035e-17,5.585041635423151e-18,8.947916747946149e-19,2.7314801755693008e-18
1.459988042398305e-13,0.11224537200440511,0.9,0.0,0.0,0.0,0.0,0.09999999996075488,1.0051127192262901e-11,1.0010080570690982e-11,6.944748326630698e-12,6.944756498422109e-12,6.014897618298468e-12,6.015067853038275e-12,6.0148984776670485e-12,6.014898957127265e-12,5.363279744197841e-12,5.363279744197841e-12,4.856005057707703e-12,4.8560107711412405e-12,4.0702136857486686e-14,3.178576967781035e-16,1.3495854759671227e-16,2.924289883614945e-17,1.4837272834461976e-17,1.441278878453892e-20,2.7842293386671874e-17,1.4822860045677437e-17,2.1529108273046783e-18,6.5701842833957495e-18
2.433322205123502e-13,0.11224537200734185,0.9,0.0,0.0,0.0,0.0,0.09999999993459123,1.6751946817903804e-11,1.668019361926491e-11,1.1574617171666611e-11,1.1574641261407419e-11,1.0024650203562824e-11,1.0025151823536315e-11,1.002486252895733e-11,1.0024863936201341e-11,8.93883190314473e-12,8.93883190314473e-12,8.093367374290705e-12,8.093384217154748e-12,7.073531986794044e-14,9.361548428120773e-16,3.9764674007430094e-16,8.615158428331993e-17,4.700981581873336e-17,7.856586619563558e-20,8.207194058040716e-17,4.693124995253773e-17,6.3466575394523554e-18,1.9357058155286914e-17
3.4066563678486985e-13,0.11224537201027861,0.9,0.0,0.0,0.0,0.0,0.09999999990842758,2.3452771049378496e-11,2.3350044107475585e-11,1.6204482831811294e-11,1.6204529206504955e-11,1.403427194626141e-11,1.4035237299156023e-11,1.4034823835522087e-11,1.4034826532534433e-11,1.2514384061156125e-11,1.2514384061156125e-11,1.133072746413156e-11,1.1330759888216391e-11,1.0076615320450371e-13,1.8011422767713386e-15,7.652213040979344e-16,1.6577280098366803e-16,9.287333553472862e-17,2.0200916004367015e-19,1.5799178704420946e-16,9.267132637468496e-17,1.2217913288353861e-17,3.72480227756866e-17
4.379990530573895e-13,0.11224537201321538,0.9,0.0,0.0,0.0,0.0,0.09999999988226392,3.0153599886684235e-11,3.0019631303642025e-11,2.0834345307066932e-11,2.0834420333610917e-11,1.8043762950481806e-11,1.804532427989458e-11,1.804478240255105e-11,1.8044786746127747e-11,1.6089936218232022e-11,1.6089936218232022e-11,1.4568085327231798e-11,1.4568137784324645e-11,1.3079565332458241e-13,2.9125360084495477e-15,1.237587016308821e-15,2.6808089465474837e-16,1.5244412066678006e-16,4.016365323118772e-19,2.5560154058767e-16,1.5204248413446817e-16,1.97666787036343e-17,6.023770889394324e-17
6.326658856024289e-13,0.11224537201908892,0.9,0.0,0.0,0.0,0.0,0.09999999982993661,4.355526837089072e-11,4.335818833704781e-11,3.009406278284541e-11,3.0094210055480144e-11,2.6062438446227293e-11,2.6065501773784735e-11,2.606469312316326e-11,2.6064701581173736e-11,2.3241040530188268e-11,2.3241040530188268e-11,2.104279582741312e-11,2.1042898798584625e-11,1.9085183514253532e-13,5.712744279809654e-15,2.4279618001672198e-15,5.258623251678892e-16,3.0380644605035937e-16,1.0320213405271254e-18,5.017250260649794e-16,3.027744247098322e-16,3.880122396963121e-17,1.181668348229544e-16
8.273327181474682e-13,0.11224537202496249,0.9,0.0,0.0,0.0,0.0,0.0999999997776093,5.695695379235792e-11,5.6695778961734484e-11,3.935376854666915e-11,3.935401147786821e-11,3.408063403323707e-11,3.4085684802510285e-11,3.408459381255695e-11,3.408460765404576e-11,3.039214483870437e-11,3.039214483870437e-11,2.7517498139087737e-11,2.7517667995121987e-11,2.5090366466817475e-13,9.416721940003511e-15,4.00290122793718e-15,8.668587973830671e-16,5.05710837270545e-16,2.082624641606908e-18,8.2760761174961745e-16,5.036282126289379e-16,6.400457580472009e-17,1.948012571923478e-16
1e-12,0.11224537203083602,0.9,0.0,0.0,0.0,0.0,0.09999999973119557,6.884411258597743e-11,6.852520626884115e-11,4.756701247633892e-11,4.75673612476944e-11,4.1192253232040496e-11,4.1199501529844745e-11,4.1198146179808696e-11,4.119816590534414e-11,3.673509359094881e-11,3.673509359094881e-11,3.326047862049179e-11,3.3260722481411536e-11,3.0416505651424884e-13,1.3510886261979098e-14,5.744141702452646e-15,1.24379021708329e-15,7.302071936860367e-16,3.4854276727118065e-18,1.1881757676765911e-15,7.267217660133248e-16,9.189089842993749e-17,2.795172097343085e-16
1.0219995506925075e-12,0.11224537203083602,0.9,0.0,0.0,0.0,0.0,0.099999999725282,7.035865736087191e-11,7.003233604456032e-11,4.8613461761984604e-11,4.8613825435834503e-11,4.2098316125909206e-11,4.210587376139777e-11,4.2104483788782596e-11,4.210450433888232e-11,3.754324914353459e-11,3.754324914353459e-11,3.399219167737253e-11,3.399244595837502e-11,3.1095083073530764e-13,1.4087132973316695e-14,5.989239641376975e-15,1.2968434085195763e-15,7.618763502635418e-16,3.6959562331347235e-18,1.2389444287740117e-15,7.581803940304071e-16,9.581736745803844e-17,2.9144130616551006e-16
1.2166663832375468e-12,0.11224537203670967,0.9,0.0,0.0,0.0,0.0,0.09999999967295468,8.376037940708825e-11,8.33678429483188e-11,5.787314220014894e-11,5.7873652156991815e-11,5.011547618069821e-11,5.012606875848498e-11,5.012436289715189e-11,5.012439146462327e-11,4.469435344461178e-11,4.469435344461178e-11,4.046687628241005e-11,4.046723284807976e-11,3.7099327468339424e-13,1.9739371032454898e-14,8.393729404243505e-15,1.8172374304860002e-15,1.0734194107075614e-15,6.0141508309441474e-18,1.7372903479749193e-15,1.067405259876617e-15,1.3436004166613147e-16,4.084095953999194e-16
