Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286)
8.391729585191658e-14,0.11224537200253198,0.9,0.0,0.0,0.0,0.0,0.09999999997744262,5.777192159195737e-12,5.7555685469957106e-12,3.991708505436479e-12,3.991710505568231e-12,3.457294670007175e-12,3.4573443000259766e-12,3.4572485969777563e-12,3.457248736757055e-12,3.082709720909074e-12,3.0827533969737697e-12,2.7911388258667317e-12,2.7911404161558855e-12,2.1523699460593472e-14,9.292631705664486e-17,3.9429962781542924e-17,8.54438991538234e-18,4.917621980138256e-17,1.922275178980051e-21,8.132855395199137e-18,3.6963566225416926e-18,6.287963708806685e-19,1.916258930195949e-18,3.409641220397039e-21,1.5853538058259915e-19,6.726766493285267e-20,1.0626632350294165e-19,7.842270974212343e-20,1.0419338026894814e-19,1.6166259767088038e-26,2.1231742695009484e-18,4.3418615882211606e-17,1.8188187060325156e-24,2.288670777510929e-20,2.574363930591563e-19,6.318733959393762e-27
1.104179990174913e-13,0.11224537200333158,0.9,0.0,0.0,0.0,0.0,0.0999999999703191,7.601604231417034e-12,7.571704778986457e-12,5.2522714232706156e-12,5.25227512129306e-12,4.549067739249627e-12,4.5491583028095385e-12,4.549031569931052e-12,4.549031825356362e-12,4.056215532941986e-12,4.056273813853132e-12,3.672567441634381e-12,3.672570378835084e-12,2.971658940035735e-14,1.6941991012021433e-16,7.191141202934208e-17,1.5582581919268534e-17,6.721825280081392e-17,5.08156214253028e-21,1.4833358561439796e-17,7.368981745963272e-18,1.146925139036239e-18,3.491971354144342e-18,9.007003863570968e-21,2.151461869320031e-19,8.85099684599634e-20,1.440388416369399e-19,1.0653078978178364e-19,1.4198455375021048e-19,3.1478649874743745e-26,2.1236587314423483e-18,5.780001733365945e-17,3.4206113306524425e-24,3.043902584001648e-20,4.808705656150288e-19,1.2620750303182524e-26
1.6341940534864077e-13,0.11224537200493075,0.9,0.0,0.0,0.0,0.0,0.09999999995607205,1.1250429741651044e-11,1.120392378749726e-11,7.773396314618771e-12,7.773405074694033e-12,6.732575024302268e-12,6.732786754749314e-12,6.732596699153836e-12,6.7325972960290725e-12,6.003227156682894e-12,6.003314869941131e-12,5.435424012900042e-12,5.435430964003769e-12,4.607711873547119e-14,3.9570863070469894e-16,1.6802647407817546e-16,3.640751085217726e-17,1.0736961999751759e-16,1.9844426859880843e-20,3.466606264747684e-17,1.8758174604059943e-17,2.6805936868936935e-18,8.144852200938433e-18,3.511815244994123e-20,3.282898264174207e-19,1.3099489143899825e-19,2.195388209151325e-19,1.627039886337213e-19,2.1749123851163243e-19,7.828540384754625e-26,2.123725482936071e-18,8.656371365501159e-17,8.537788830909216e-24,4.554402604192376e-20,1.1494889070429928e-18,3.2099942005722185e-26
2.694222180109397e-13,0.1122453720081291,0.9,0.0,0.0,0.0,0.0,0.09999999992757796,1.8548086224995078e-11,1.8468060445657766e-11,1.2815642320037436e-11,1.2815667869000674e-11,1.1099434315344427e-11,1.1100045443840927e-11,1.1099723697476656e-11,1.1099725411272435e-11,9.897250402865044e-12,9.897397867957416e-12,8.961134514354793e-12,8.961154773423052e-12,7.878508600339664e-14,1.1411251101421864e-15,4.847420582906708e-16,1.0501834606074635e-16,2.0399516368369601e-16,1.0501210789303709e-19,1.0005789239885234e-16,5.770585898449222e-17,7.737575642113774e-18,2.3411383057557562e-17,1.8522476864068907e-19,5.54551326309022e-19,2.1597157914890636e-19,3.705243440967528e-19,2.7503581325611877e-19,3.6847686891145846e-19,2.3661756253941865e-25,2.1237305632933136e-18,1.440912012604167e-16,2.798238520328341e-23,7.575409116015399e-20,3.3737274727327717e-18,9.855390886704939e-26
3.7542503067323863e-13,0.11224537201132745,0.9,0.0,0.0,0.0,0.0,0.09999999989908388,2.5845748171187795e-11,2.5731885800464473e-11,1.7857884548181287e-11,1.7857933550664008e-11,1.5466138461854427e-11,1.5467305918115713e-11,1.5466847442230522e-11,1.5466850700415303e-11,1.3791273647747524e-11,1.3791481751692197e-11,1.2486842374734949e-11,1.2486881221908873e-11,1.1149027502509969e-13,2.1790135710218206e-15,9.258200297734726e-16,2.0055699674335496e-16,3.170019058808297e-16,2.676596353805255e-19,1.911757669677227e-16,1.128214685933713e-16,1.4784203270137324e-17,4.4593966214836163e-17,4.711476188446505e-19,7.808108377973317e-19,3.00960704899485e-19,5.215087841217112e-19,3.873664723579475e-19,5.194600077272801e-19,4.596675929318209e-25,2.123731127087158e-18,2.016186614839145e-16,5.819866091179953e-23,1.0596417513992816e-19,6.484968473074067e-18,1.925030548402813e-25
4.814278433355375e-13,0.11224537201452578,0.9,0.0,0.0,0.0,0.0,0.0999999998705898,3.3143415580223684e-11,3.299539900841232e-11,2.290012299905315e-11,2.2900202119548423e-11,1.9832687598228397e-11,1.9834568177567706e-11,1.9833967939917717e-11,1.9833973163459235e-11,1.7685296891330338e-11,1.7685566521143136e-11,1.6012547594042492e-11,1.6012610309458125e-11,1.4419389696066857e-13,3.5090073667743575e-15,1.4911374368162367e-15,3.2299034147117864e-16,4.464485231035284e-16,5.295980433925481e-19,3.0801930908074635e-16,1.8410422873615478e-16,2.3820477384259183e-17,7.164822024536776e-17,9.305340579405563e-19,1.0070703391059086e-18,3.859678833083811e-19,6.724932163182847e-19,4.996971089468229e-19,6.704429736796931e-19,7.474354514224892e-25,2.1237315858705603e-18,2.591460914810057e-16,1.0075364690201572e-22,1.3617427646961995e-19,1.0483212415519077e-17,3.1394736070427276e-25
6.934334686601354e-13,0.11224537202092251,0.9,0.0,0.0,0.0,0.0,0.09999999981360162,4.773876321924257e-11,4.752169363024729e-11,3.2984591035779555e-11,3.298474603303127e-11,2.8565422488052108e-11,2.8569096886161514e-11,2.8568201334598936e-11,2.856821145687075e-11,2.5473343375445726e-11,2.547373813877271e-11,2.306395183422797e-11,2.3064074678270627e-11,2.0959780594512955e-13,6.853412720739781e-15,2.9129736725244904e-15,6.308746454386615e-16,7.441061720131942e-16,1.3540580995381319e-18,6.020817908772254e-16,3.646108858302605e-16,4.6562606623151427e-17,1.394008098159708e-16,2.3720940729130928e-18,1.4595897048913192e-18,5.560420967730591e-19,9.744622659110156e-19,7.243585587519401e-19,9.724090025350176e-19,1.4748600159900805e-24,2.123732621167726e-18,3.7420088505434195e-16,2.1970461358195856e-22,1.9659451973057435e-19,2.0561443468697086e-17,6.213654709859865e-25
9.054390939847332e-13,0.11224537202731927,0.9,0.0,0.0,0.0,0.0,0.09999999975661344,6.233413094705411e-11,6.204684281738871e-11,4.3069045182153156e-11,4.3069300562739517e-11,3.729758846481016e-11,3.730363215945749e-11,3.730242284194699e-11,3.730243935772147e-11,3.326138985478177e-11,3.32619130135132e-11,3.0115346362263914e-11,3.011554875184396e-11,2.749965584757955e-13,1.1268954397130762e-14,4.790663005442063e-15,1.0373857738601714e-15,1.1027027028187618e-15,2.724443821470778e-18,9.90743598188452e-16,6.045641189996129e-16,7.662138236876294e-17,2.2838175283055506e-16,4.7602044689932016e-18,1.9121097028222886e-18,7.262296010320949e-19,1.2764316385108007e-18,9.490203230487313e-19,1.274375268252033e-18,2.4402753108329836e-24,2.1237338891779516e-18,4.892555799536922e-16,3.9712741163554664e-22,2.570148265914332e-19,3.3901504898508083e-17,1.0298932087294992e-24
1e-12,0.11224537203371601,0.9,0.0,0.0,0.0,0.0,0.099999999731195,6.88441122997025e-11,6.85251026585084e-11,4.756701122333375e-11,4.7567319845165826e-11,4.119220169454956e-11,4.119950071803701e-11,4.1198145089538804e-11,4.1198164959831325e-11,3.673509358173416e-11,3.67356751357473e-11,3.3260477736883516e-11,3.326072231512109e-11,3.041645932399194e-13,1.3607732603556386e-14,5.7854119048207305e-15,1.2527085683255674e-15,1.2838276991487051e-15,3.571127347323653e-18,1.1967837629911825e-15,7.321290670906196e-16,9.255656230902586e-17,2.7531150399590205e-16,6.231555601035561e-18,2.113947486100447e-18,8.021897410705974e-19,1.4111191972754252e-18,1.0492263525872222e-18,1.409061406219562e-18,2.953110586386892e-24,2.1237345225500368e-18,5.405734149097256e-16,4.998844145232515e-22,2.83964128569203e-19,4.097860778104867e-17,1.2470444704579561e-24
1.117444719309331e-12,0.11224537203371601,0.9,0.0,0.0,0.0,0.0,0.09999999969962527,7.692952019854847e-11,7.657076720150386e-11,5.315348444602482e-11,5.315386646607834e-11,4.602914578716515e-11,4.603817446633864e-11,4.6036631655213e-11,4.6036656123696045e-11,4.10494363289971e-11,4.105009137802942e-11,3.716673048443857e-11,3.71670332233623e-11,3.403897844941249e-13,1.6829701627772315e-14,7.15594725112797e-15,1.5493480148746167e-15,1.52697677428112e-15,4.824937967613098e-18,1.4807593119428488e-15,9.0820548419934e-16,1.1451942766487051e-16,3.3981809979357134e-16,8.407845973303834e-18,2.3646303511015507e-18,8.96576423103247e-19,1.5784013425100958e-18,1.1736824087590618e-18,1.576341756732608e-18,3.660680851053639e-24,2.1237353674334237e-18,6.043101797684588e-16,6.47796928627206e-22,3.1743520160273864e-19,5.073638797024736e-17,1.5467527952365157e-24
