Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466)
1.8610175422476506e-15,0.11224537200005616,0.9,0.0,0.0,0.0,0.0,0.09999999999949975,1.2811963233142627e-13,1.2807253805252156e-13,8.852336855205973e-14,8.852336960454659e-14,7.66728096509757e-14,7.667284173007223e-14,7.667075169339407e-14,7.667075178139924e-14,6.836465368396511e-14,6.836490469772089e-14,6.1898560634427e-14,6.189856140807522e-14,4.703161551073126e-17,6.064375188436589e-20,2.5654879006843667e-20,5.559717674645345e-21,1.0087145018440228e-18,4.5262726271286174e-26,5.2934974392848714e-21,2.345454931542572e-22,4.0901450323296453e-22,1.2489928864219166e-21,8.039201001684629e-26,4.614223090240309e-22,1.4918194588876694e-21,3.176801029680425e-22,2.235336470872513e-22,2.7904220958993887e-22,1.2774864710234589e-30,7.590000170066814e-19,2.5097163348229625e-19,1.1257911009844876e-27,1.4022202645044018e-22,4.2120366487395225e-23,1.2369767469900916e-31,8.826892751039205e-23
3.723651954644951e-15,0.11224537200011236,0.9,0.0,0.0,0.0,0.0,0.09999999999899907,2.563505777408147e-13,2.5617459397818854e-13,1.771236455137447e-13,1.7712364984716972e-13,1.5341216934828563e-13,1.5341229784118458e-13,1.5340811434161915e-13,1.5340811469505913e-13,1.3678870324374987e-13,1.3678952523826585e-13,1.238508982538405e-13,1.2385090143113422e-13,1.7573202466783271e-16,2.4266273652479613e-19,1.0268535423448759e-19,2.225308458443033e-20,2.0195978974354615e-18,3.623728449442495e-25,2.1186541406365715e-20,1.76105240354276e-21,1.6371239336110292e-21,4.998847153050407e-21,6.435793130253842e-25,1.6765133327812569e-21,2.98493233855156e-21,1.1508075135281804e-21,8.140326328273594e-22,1.0228683249124353e-21,9.379590869773747e-30,1.1991025253404972e-18,8.217182423654807e-19,4.5084188293592796e-27,4.535838624353826e-22,2.7626087246934626e-22,1.4944014447439023e-30,3.5330567443257018e-22
7.448920779439553e-15,0.11224537200022476,0.9,0.0,0.0,0.0,0.0,0.0999999999979977,5.128124737644661e-13,5.121917396656366e-13,3.543241947720113e-13,3.543242128567782e-13,3.0689069655586703e-13,3.068912112834653e-13,3.068828356099519e-13,3.068828370320296e-13,2.7363680236171425e-13,2.736391964626222e-13,2.4775557023083057e-13,2.4775558344871627e-13,6.197207595690798e-16,9.704942616107106e-19,4.108670056766076e-19,8.903912242885535e-20,4.049083443862794e-18,2.9000171497437717e-24,8.476545960503558e-20,1.2527536472471564e-20,6.5506281865697554e-21,1.9998864672072178e-20,5.1498609868005324e-24,5.648661293569389e-21,5.9711501349493414e-21,3.8592729343392165e-21,2.7526189244185703e-21,3.495246741379696e-21,6.43219897981795e-29,1.6500373183408993e-18,2.3924816497641805e-18,1.8072051420875596e-26,1.301146953158112e-21,1.6191824935650189e-21,1.5100208133176614e-29,1.4136823325158631e-21
1.1174189604234155e-14,0.11224537200033717,0.9,0.0,0.0,0.0,0.0,0.09999999999699634,7.692743754236295e-13,7.680609422791709e-13,5.315247393651804e-13,5.315247786891674e-13,4.603690315822693e-13,4.603701261997562e-13,4.60357552846576e-13,4.603575558786508e-13,4.104849014780735e-13,4.104890885900935e-13,3.716602389459837e-13,3.716602676452129e-13,1.2112719870841018e-15,2.0618936161323283e-18,8.731639982545395e-19,1.8922301892160517e-19,6.088854007915937e-18,8.292935489511336e-24,1.8013331411508268e-19,3.3571111906589374e-20,1.39214178442205e-20,4.249719939223871e-20,1.4725622108652804e-23,1.0732137794507895e-20,8.9573600920675e-21,7.311524741750554e-21,5.2413431180768056e-21,6.698397184387314e-21,1.6911290495239758e-28,1.881054166909167e-18,4.183162961807545e-18,3.8468513931889365e-26,2.25742169588263e-21,3.9488724647453474e-21,4.508026348631792e-29,3.004361783919014e-21
1.4899458429028757e-14,0.11224537200044955,0.9,0.0,0.0,0.0,0.0,0.09999999999599497,1.0257362830286743e-12,1.0238130631918215e-12,7.08725279293255e-13,7.087253475573057e-13,6.138471744333512e-13,6.138490427785181e-13,6.138322660487128e-13,6.13832271234923e-13,5.473330005928275e-13,5.473390944233342e-13,4.955649043993e-13,4.955649541712689e-13,1.9195224916949994e-15,3.51667893839353e-18,1.4895709723028342e-18,3.228033287481641e-19,8.140939661061275e-18,1.7492936639821835e-23,3.072870203551961e-19,6.691920942902046e-20,2.3749492925066838e-20,7.249186005768081e-20,3.1059986375439554e-23,1.6616573083612715e-20,1.1943562357944344e-20,1.129458884196702e-20,8.12956095253012e-21,1.0443858543309473e-20,3.3186588292059048e-28,1.9994056135660367e-18,6.086509633051365e-18,6.573905948698335e-26,3.267211451704035e-21,7.320527420613686e-21,9.588310306870154e-29,5.12534365836796e-21
2.234999607861796e-14,0.11224537200067436,0.9,0.0,0.0,0.0,0.0,0.09999999999399223,1.5386601128362823e-12,1.5351140648884752e-12,1.0631263482007178e-12,1.0631264928542374e-12,9.208030091299785e-13,9.208068802421616e-13,9.207816829780762e-13,9.207816937558317e-13,8.210291988185686e-13,8.210392244530418e-13,7.433742276506016e-13,7.433743330056042e-13,3.5383618456283244e-15,7.278660065934479e-18,3.0840549864315e-18,6.683388026357289e-19,1.2278721923196176e-17,4.778031748447247e-23,6.36186714375857e-19,1.6719337052500338e-19,4.917274160274801e-20,1.5006842453773186e-19,8.482871580695765e-23,2.962234599726357e-20,1.7915949370355022e-20,2.0070544227131376e-20,1.4528694351571352e-20,1.88031493763416e-20,8.104804831378398e-28,2.1202599834705885e-18,1.0009051394749503e-17,1.3656133477430793e-25,5.339362540993331e-21,1.6582290266211224e-20,2.563427711938078e-28,1.0611893579784734e-20
2.9800533728207165e-14,0.11224537200089915,0.9,0.0,0.0,0.0,0.0,0.09999999999198948,2.0515839660104643e-12,2.046157499689937e-12,1.4175273999529743e-12,1.4175276503292447e-12,1.227758137178081e-12,1.2277647247738171e-12,1.2277310850564005e-12,1.227731103441482e-12,1.094725397038407e-12,1.0947394598094542e-12,9.911835389069668e-13,9.91183721143954e-13,5.413351501910319e-15,1.2375878404516294e-17,5.2452118462661234e-18,1.136672793949538e-18,1.647317716674294e-17,9.99738678047933e-23,1.0819569797367026e-18,3.2407972490473497e-19,8.363230539863563e-20,2.5519511924715685e-19,1.7747644800167433e-22,4.4072081489321377e-20,2.3888309578378182e-20,2.9783893648335173e-20,2.1659516444818264e-20,2.8202196252545235e-20,1.5423094974027862e-27,2.1397657706326382e-18,1.4032941573887923e-17,2.330742716484099e-25,7.45598740347684e-21,2.9828050093041745e-20,5.170318314915149e-28,1.8048551576721338e-20
4.4701609027385573e-14,0.11224537200134874,0.9,0.0,0.0,0.0,0.0,0.09999999998798399,3.0774317521348857e-12,3.0678408518610026e-12,2.1263294471257994e-12,2.1263300072792935e-12,1.841666073130022e-12,1.8416804391268273e-12,1.8416298404154894e-12,1.841629880666284e-12,1.6421177934587014e-12,1.6421399810107139e-12,1.4868021220325208e-12,1.4868025294964312e-12,9.562170681875835e-15,2.6951728357152405e-17,1.1428059292958236e-17,2.476508369296952e-18,2.5077343274355713e-17,3.156843219262832e-22,2.3572149341687263e-18,8.527992389170609e-19,1.8222353454893299e-19,5.558311881015729e-19,5.6026514712111935e-22,7.46646190885398e-20,3.583295060491458e-20,5.027693176801718e-20,3.6799136273233545e-20,4.833366156558864e-20,3.921418049546745e-27,2.1414838248488256e-18,2.211801490371414e-17,5.12863780278754e-25,1.1703123876702809e-20,6.953377361902715e-20,1.4188507589395095e-27,3.932532557228682e-20
5.811257679664614e-14,0.1122453720017534,0.9,0.0,0.0,0.0,0.0,0.09999999998437906,4.00069485042448e-12,3.987068526617818e-12,2.7642512261002152e-12,2.7642521764264634e-12,2.394180601063014e-12,2.394204611196641e-12,2.394138665240472e-12,2.3941387326730063e-12,2.134770950215124e-12,2.134800478952294e-12,1.9328588024594483e-12,1.9328594936087947e-12,1.3578169343463791e-14,4.5006074330322734e-17,1.9089118718901332e-17,4.136650872585458e-18,3.307474743559216e-17,6.654977038469999e-22,3.937347567105963e-18,1.5818697078854357e-18,3.0439363480742753e-19,9.281943075607597e-19,1.180869642454907e-21,1.0322921644747836e-19,4.6583045199043137e-20,6.936057914367955e-20,5.0965810911720593e-20,6.730185933497149e-20,7.119368729519034e-27,2.1290500083985096e-18,2.940856034883649e-17,8.644387376417644e-25,1.553039003991774e-20,1.2017104111276763e-19,2.6744749503693785e-27,6.569057555152729e-20
7.15235445659067e-14,0.11224537200215803,0.9,0.0,0.0,0.0,0.0,0.09999999998077412,4.9239580358020155e-12,4.906192632039413e-12,3.402172944726138e-12,3.4021743916028675e-12,2.9466926438779884e-12,2.9467288115885314e-12,2.9466474377788527e-12,2.9466475395279156e-12,2.627424106950782e-12,2.6274609840500045e-12,2.378915440690644e-12,2.3789164929179528e-12,1.769270771916714e-14,6.7751213134213e-17,2.8742952254995646e-17,6.228594093338866e-18,4.132455991761929e-17,1.2105355101645025e-21,5.928525150633315e-18,2.5628072021729744e-18,4.58351653375879e-19,1.3972263984776276e-18,2.1475698866214745e-21,1.3198426195445284e-19,5.733307295741026e-20,8.85518110719614e-20,6.523928351442547e-20,8.64694369949491e-20,1.1344899994879151e-26,2.123613900319931e-18,3.669210750169234e-17,1.3140414427045966e-24,1.9354498788364525e-20,1.8498280733467743e-19,4.3659653758523205e-27,9.891586234470043e-20
8.493451233516726e-14,0.11224537200256267,0.9,0.0,0.0,0.0,0.0,0.09999999997716918,5.847221308584962e-12,5.825281530917149e-12,4.040094602936601e-12,4.040096652993291e-12,3.499202199075697e-12,3.4992530405264594e-12,3.4991561579786417e-12,3.499156301180908e-12,3.120077263665653e-12,3.120121498304257e-12,2.8249720366792868e-12,2.8249735275806955e-12,2.1837414020198594e-14,9.51912761298828e-17,4.0391534807946065e-17,8.752753433626626e-18,4.9831674459896565e-17,1.99302286483611e-21,8.3311963022343e-18,3.8003885448400984e-18,6.441328685211145e-19,1.9629471252477444e-18,3.5350705013828896e-21,1.6070913689397229e-19,6.808304422437759e-20,1.0771678355933073e-19,7.950195603304036e-20,1.0564407839597736e-19,1.6605950781502126e-26,2.1231896483078055e-18,4.3970642216898446e-17,1.8646849743695964e-24,2.317659934043896e-20,2.639836507129585e-19,6.497720653588218e-27,1.3900878261751196e-19
1.117564478736884e-13,0.11224537200337195,0.9,0.0,0.0,0.0,0.0,0.09999999996995931,7.693748291422577e-12,7.663431355162783e-12,5.315937617113946e-12,5.3159414069378866e-12,4.604208867753212e-12,4.6043016413480864e-12,4.604173336685941e-12,4.604173598352882e-12,4.1053835769914e-12,4.1054425963637974e-12,3.717085017327536e-12,3.7170877737953086e-12,3.0129593053420024e-14,1.7354936710206658e-16,7.366499369512008e-17,1.5962549116341838e-17,6.814428383970814e-17,5.268575783613405e-21,1.5195115697741586e-17,7.569193132953828e-18,1.1748989251198444e-18,3.577009874698282e-18,9.338244982981457e-21,2.180038738347921e-19,8.958283605298493e-20,1.4594574224545773e-19,1.0794956339849547e-19,1.438916287580127e-19,3.2310785814762467e-26,2.123661440041564e-18,5.852638847946624e-17,3.508228532445562e-24,3.08204729720306e-20,4.929600854032444e-19,1.2964012429369248e-26,2.535514977590796e-19
1.6540031895073068e-13,0.11224537200499048,0.9,0.0,0.0,0.0,0.0,0.09999999995553957,1.13868036561965e-11,1.133967597607166e-11,7.867622678116333e-12,7.86763165438341e-12,6.8141824046762775e-12,6.8143993002474814e-12,6.814206857529434e-12,6.8142074689385926e-12,6.075996203310053e-12,6.0760850201899675e-12,5.501310302250268e-12,5.501316832164878e-12,4.668835480981248e-14,4.0535316641183417e-16,1.721232938539565e-16,3.7295125012200596e-17,1.0893627387941357e-16,2.0574671908926232e-20,3.551152113472235e-17,1.9249356585989893e-17,2.7459740296475755e-18,8.342995352577826e-18,3.6408820366427346e-20,3.3251816256967768e-19,1.3258276996584778e-19,2.2236040487419783e-19,1.6480321408812053e-19,2.2031285420528937e-19,8.029697336021657e-26,2.1237257272326244e-18,8.763875134085868e-17,8.763005634384002e-24,4.6108572337916655e-20,1.1780715108665106e-18,3.29393587846962e-26,5.925973500068428e-19
2.726880611048152e-13,0.11224537200822761,0.9,0.0,0.0,0.0,0.0,0.09999999992670008,1.877291998185929e-11,1.8691856268328625e-11,1.2970988930714827e-11,1.2971015107200758e-11,1.1233970416412897e-11,1.1234596446798346e-11,1.1234270559786066e-11,1.123427231507869e-11,1.0017221454615993e-11,1.0017370775280684e-11,9.06975816660272e-12,9.06977721251986e-12,7.979271973886682e-14,1.1689306272737475e-15,4.965576990136779e-16,1.0757779176450799e-16,2.0724303272786317e-16,1.0887554346561274e-19,1.0249821538119877e-16,5.917331675587728e-17,7.926297047278943e-18,2.3979703867274738e-17,1.9202304613995517e-19,5.61522167093896e-19,2.185898227670461e-19,3.751760309454478e-19,2.784965633915033e-19,3.7312851934672117e-19,2.425664461449185e-25,2.1237305850663383e-18,1.4586356655336486e-16,2.875663868465035e-23,7.66848340836473e-20,3.4569304561388497e-18,1.0105622702753079e-25,1.7105219385857192e-18
3.7997580325889977e-13,0.11224537201146473,0.9,0.0,0.0,0.0,0.0,0.0999999998978606,2.6159041903610643e-11,2.6043717636455263e-11,1.8074351313909976e-11,1.8074401517792115e-11,1.5653599505516715e-11,1.56547954220731e-11,1.565433092940507e-11,1.565433426618908e-11,1.3958446704590564e-11,1.395865743769255e-11,1.2638203325464212e-11,1.2638239856484606e-11,1.1289428284598419e-13,2.232097401730304e-15,9.483823115546924e-16,2.0544359280230985e-16,3.223331169422455e-16,2.7750559249926463e-19,1.9583840235482295e-16,1.1565950830946127e-16,1.5144793716719808e-17,4.567480212703504e-17,4.884257460939566e-19,7.905243099078416e-19,3.046098636358531e-19,5.279906473256867e-19,3.921888022831432e-19,5.259418086748973e-19,4.711322706614732e-25,2.123731146168722e-18,2.0408835345495686e-16,5.985351067694348e-23,1.0726111502559575e-19,6.6444260641617485e-18,1.973388861065272e-25,3.2682706076538335e-18
4.872635454129843e-13,0.11224537201470186,0.9,0.0,0.0,0.0,0.0,0.09999999986902111,3.3545169421445026e-11,3.3395259258139946e-11,2.317770982770471e-11,2.3177790886016982e-11,2.0073069811322965e-11,2.0074996226065747e-11,2.0074387973125184e-11,2.0074393322271377e-11,1.7899671953233773e-11,1.7899945007423508e-11,1.6206645778836795e-11,1.62067047640648e-11,1.459942476008844e-13,3.594473373753808e-15,1.527469661124574e-15,3.3085818988429333e-16,4.542673485735029e-16,5.490771320267138e-19,3.155316909130229e-16,1.8870713151776334e-16,2.440146488120029e-17,7.338229416955216e-17,9.646338325609524e-19,1.019526458721054e-18,3.9064871489297214e-19,6.808052647054919e-19,5.058810135217358e-19,6.787549395758514e-19,7.659944078038543e-25,2.123731613251145e-18,2.6231310946797465e-16,1.0367864947354664e-22,1.3783741373589227e-19,1.0740558860924723e-17,3.2178731932588484e-25,5.265834553799568e-18
7.018390297211534e-13,0.11224537202117614,0.9,0.0,0.0,0.0,0.0,0.09999999981134215,4.831743759076634e-11,4.8097592919164906e-11,3.33844177740574e-11,3.3384576563419124e-11,2.8911638199927414e-11,2.8915402125927786e-11,2.8914494275581758e-11,2.89145046399873e-11,2.5782122447395553e-11,2.578252227631415e-11,2.3343524335971486e-11,2.3343639891812855e-11,2.121907631713981e-13,7.020273716899238e-15,2.983927291696217e-15,6.462363691009969e-16,7.578556242220357e-16,1.4038516295446173e-18,6.167661719332941e-16,3.736687896985419e-16,4.769828057955262e-17,1.4276668305792223e-16,2.458915427300831e-18,1.4775311317243995e-18,5.627887001972252e-19,9.864346909725144e-19,7.332655860110782e-19,9.843813048389231e-19,1.511312140100815e-24,2.123732669700386e-18,3.787625537213168e-16,2.262651642070726e-22,1.989900527476544e-19,2.1065341932799715e-17,6.367875771425636e-25,1.0293154666099676e-17
9.164145140293226e-13,0.1122453720276504,0.9,0.0,0.0,0.0,0.0,0.0999999997536632,6.308972633884976e-11,6.279875332104375e-11,4.359111149126909e-11,4.359137311593733e-11,3.7749623841138866e-11,3.775581475060556e-11,3.775458840273987e-11,3.7754605311665817e-11,3.3664572936661423e-11,3.366510288175808e-11,3.048039294407557e-11,3.048058334373817e-11,2.783819972332125e-13,1.1543222254829691e-14,4.907318326907546e-15,1.0626366597704774e-15,1.1238870376402687e-15,2.8246135353735683e-18,1.014907162287038e-15,6.195267253415371e-16,7.849019783002706e-17,2.338837361382822e-16,4.934246552417109e-18,1.935536451581354e-18,7.350465010403193e-19,1.2920644476951293e-18,9.606504287609254e-19,1.2900079122094001e-18,2.50042526284861e-24,2.1237339631518477e-18,4.952118973875084e-16,4.0924177787699295e-22,2.6014275691080936e-19,3.473151237685141e-17,1.055363555769805e-24,1.693775928726582e-17
1e-12,0.11224537203412474,0.9,0.0,0.0,0.0,0.0,0.099999999731195,6.884411257878787e-11,6.85250868156806e-11,4.756701103036082e-11,4.756731999262711e-11,4.119219381675171e-11,4.119950080923724e-11,4.1198144925610044e-11,4.119816481545166e-11,3.6735093581667764e-11,3.673567518099751e-11,3.326047760195664e-11,3.326070245490524e-11,3.0416452209454357e-13,1.3622542919539183e-14,5.7917212064096715e-15,1.2540723772198566e-15,1.2846854200301767e-15,3.5829106252319074e-18,1.1980979232766894e-15,7.329548022170952e-16,9.265820989587948e-17,2.755981032020313e-16,6.251761851888304e-18,2.1139474948110308e-18,8.021924164072402e-19,1.4111192017147881e-18,1.0492257317827441e-18,1.4090614094928501e-18,2.956416907600288e-24,2.12373452576754e-18,5.405734138467075e-16,5.010045456846194e-22,2.8396412945264384e-19,4.1023923266642886e-17,1.2484491516841918e-24,1.9995040701334477e-17
