Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086)
4.91136817570471e-10,0.11224538688921981,0.9,0.0,0.0,0.0,0.0,0.09999986798018726,3.387033026655937e-08,3.2544609002033537e-08,2.332149778383136e-08,2.340138764453447e-08,1.9521372242313017e-08,2.025365189645109e-08,2.0206646948199538e-08,2.0203692095299175e-08,1.80419450751025e-08,1.80419450751025e-08,1.630719030393761e-08,1.6363805834481164e-08,1.4652545425549806e-10,8.949928762309172e-10,4.555862588452321e-10,8.315644616342383e-11,3.559041760068765e-10,1.3501631669256396e-10,2.732730743085809e-10,1.6880675193187606e-10,2.1369228098735638e-11,3.613807806065883e-12,5.221251961950594e-11,1.0501057729973835e-15,1.314122370695064e-13,7.007110262671962e-16,5.213438029396701e-16,7.001834968702485e-16,6.9505368105766e-19
5.042205241520444e-10,0.11224538728792335,0.9,0.0,0.0,0.0,0.0,0.09999986446322298,3.477422396517788e-08,3.340082829504168e-08,2.3941667715521427e-08,2.4025852482013875e-08,2.0031984290272383e-08,2.0793722541133233e-08,2.0744194513328538e-08,2.0741082940333527e-08,1.852257561858338e-08,1.852257561858338e-08,1.6740834452952908e-08,1.680050497645084e-08,1.5038053131282883e-10,9.235443099435927e-10,4.708003760175295e-10,8.580384762550092e-11,3.7630740312686066e-10,1.4347256761614025e-10,2.8798684089613764e-10,1.778649182172936e-10,2.252330671342525e-11,3.712774319037092e-12,5.511158272371864e-11,1.0781303424609484e-15,1.4166543029188792e-13,7.194097901657699e-16,5.352571158338873e-16,7.188545460301716e-16,7.325918916262637e-19
5.173042307336179e-10,0.11224538768673485,0.9,0.0,0.0,0.0,0.0,0.09999986094625836,3.5678200631514984e-08,3.42567332297893e-08,2.456178030343807e-08,2.465037177265675e-08,2.0542269001339873e-08,2.1333820118972914e-08,2.1281702767325148e-08,2.1278430844075917e-08,1.9003206145160633e-08,1.9003206145160633e-08,1.7174438509595568e-08,1.7237244211424763e-08,1.5423415087115118e-10,9.520972201490667e-10,4.860229123395216e-10,8.845069898758484e-11,3.972886286727475e-10,1.5219379236941218e-10,3.0308508532892724e-10,1.8715826572964372e-10,2.370775509480215e-11,3.8117335991742944e-12,5.808896328397156e-11,1.1061574543002657e-15,1.5239271028001124e-13,7.381101806714189e-16,5.491716805574414e-16,7.37526416428429e-16,7.711179567685606e-19
5.303879373151913e-10,0.11224538808565442,0.9,0.0,0.0,0.0,0.0,0.09999985742929339,3.658226025893829e-08,3.5112325466999166e-08,2.5181835552881497e-08,2.527494548166742e-08,2.1052228634873652e-08,2.187394462315538e-08,2.1819171689886865e-08,2.1815735809453288e-08,1.9483836654834255e-08,1.9483836654834255e-08,1.7608002477570872e-08,1.7674023536468798e-08,1.58086408304658e-10,9.80649965815662e-10,5.012518620207689e-10,9.10968456332806e-11,4.188476904440624e-10,1.6117992679667564e-10,3.1856772678783386e-10,1.9668670836949613e-10,2.4922574757151995e-11,3.910685642712259e-12,6.114465557469337e-11,1.1341871665016018e-15,1.636002968027627e-13,7.568122019204427e-16,5.630875481998449e-16,7.561993345804792e-16,8.10631899309621e-19
5.434716438967648e-10,0.1122453884846819,0.9,0.0,0.0,0.0,0.0,0.09999985391232803,3.7486402840816e-08,3.5967606621228226e-08,2.5801833469151417e-08,2.5899573574476714e-08,2.156186521353234e-08,2.2414096046867215e-08,2.2356601260864143e-08,2.2352997839392466e-08,1.9964467147604245e-08,1.9964467147604245e-08,1.8041526360583773e-08,1.8110842948647402e-08,1.6193721214306867e-10,1.0092011383195953e-09,5.164854474233793e-10,9.374215538164671e-11,4.409844128150925e-10,1.7043089262727112e-10,3.3443468482818217e-10,2.0645016049127873e-10,2.6167767214377577e-11,4.009630445901829e-12,6.427865386735696e-11,1.1622194131805614e-15,1.7529417081432245e-13,7.755158470308148e-16,5.770046609156633e-16,7.748730446230754e-16,8.511337980640769e-19
5.565553504783382e-10,0.11224538888381734,0.9,0.0,0.0,0.0,0.0,0.09999985039536233,3.8390628370516666e-08,3.682257790841189e-08,2.6421774057547062e-08,2.6524256016712445e-08,2.207118055687171e-08,2.295427438329536e-08,2.2893991460236513e-08,2.289021693682018e-08,2.04450976234706e-08,2.04450976234706e-08,1.847501016233886e-08,1.854770244502345e-08,1.6578667653520715e-10,1.037749521557831e-09,5.317220868872377e-10,9.638651460601593e-11,4.636986091146057e-10,1.7994659996435034e-10,3.506858793263744e-10,2.1644853680643088e-10,2.7443333980002925e-11,4.108568005021213e-12,6.749095243052404e-11,1.1902542665222465e-15,1.8748008669967327e-13,7.942211214179598e-16,5.909230822598509e-16,7.93547827972485e-16,8.92623669432352e-19
5.696390570599117e-10,0.11224538928306065,0.9,0.0,0.0,0.0,0.0,0.09999984687839625,3.929493684140938e-08,3.76772405866527e-08,2.7041657323367187e-08,2.7148992774179363e-08,2.258017630374865e-08,2.3494479625628122e-08,2.343134226809741e-08,2.342739310466305e-08,2.092572808243332e-08,2.092572808243332e-08,1.89084538865404e-08,1.898460202265849e-08,1.6963470512304597e-10,1.0662940673174408e-09,5.469603732138571e-10,9.902982584030228e-11,4.869900831227796e-10,1.8972694881081347e-10,3.673212304448704e-10,2.266817523663113e-10,2.8749276567182924e-11,4.207498316378584e-12,7.078154552992926e-11,1.218291658291815e-15,2.0016358427440698e-13,8.129280180007164e-16,6.048427523288517e-16,8.122234197787649e-16,9.351015932591137e-19
5.827227636414851e-10,0.11224538968241186,0.9,0.0,0.0,0.0,0.0,0.0999998433614298,4.019932824686353e-08,3.8531595533678406e-08,2.766148327191005e-08,2.7773783812845203e-08,2.308885392876786e-08,2.4034711767054055e-08,2.3968653664642825e-08,2.396452634584758e-08,2.1406358524492408e-08,2.1406358524492408e-08,1.9341857536892323e-08,1.9421541678612492e-08,1.7348143325776496e-10,1.0948338756761174e-09,5.62199057916079e-10,1.0167200586869126e-10,5.108586302327484e-10,1.997718302971497e-10,3.843406586068002e-10,2.3714972249898826e-10,3.008559648869543e-11,4.306421376307845e-12,7.415042742843801e-11,1.2463316761093796e-15,2.1334999182757383e-13,8.316365435807952e-16,6.187637482329625e-16,8.309001612248397e-16,9.785675789592089e-19
5.958064702230586e-10,0.11224539008187086,0.9,0.0,0.0,0.0,0.0,0.09999983984446294,4.110380258024919e-08,3.9385643839186856e-08,2.828125190847345e-08,2.8398629098829282e-08,2.359721475603444e-08,2.4574970800763525e-08,2.4505925630161692e-08,2.4501616663300182e-08,2.1886988949647858e-08,2.1886988949647858e-08,1.9775221117098223e-08,1.985852140994411e-08,1.7732665227249816e-10,1.1233681783851093e-09,5.774370380535868e-10,1.0431298410665529e-10,5.353040385006297e-10,2.1008112772376724e-10,4.017440844748031e-10,2.47852362818397e-10,3.1452295256930595e-11,4.4053371811619405e-12,7.759759238598571e-11,1.2743741768826005e-15,2.270444275202895e-13,8.503466844183593e-16,6.326859442799809e-16,8.495774967426667e-16,1.0230217401562287e-18
6.08890176804632e-10,0.11224539048143771,0.9,0.0,0.0,0.0,0.0,0.0999998363274957,4.200835983493657e-08,4.02393859728231e-08,2.890096323835465e-08,2.9023528598387872e-08,2.4105259975849086e-08,2.5115256719946423e-08,2.5043158145024983e-08,2.5038664059947124e-08,2.2367619357899663e-08,2.2367619357899663e-08,2.0208544630861344e-08,2.0295541213710225e-08,1.8117066002899038e-10,1.1518963204448344e-09,5.926733401994138e-10,1.0695270080937361e-10,5.603260896945431e-10,2.2065471770540824e-10,4.195314289256067e-10,2.587895891358334e-10,3.284937438389033e-11,4.504245727309485e-12,8.112303465958738e-11,1.3024193585699475e-15,2.412518062857955e-13,8.690584571527197e-16,6.466095145482751e-16,8.682561959780148e-16,1.0684640364161288e-18
